--------- beginning of /dev/log/system
04-27 23:52:07.740 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 23:52:07.740 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 23:52:07.820 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 23:52:07.820 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 23:52:12.860 D/VoldCmdListener(   78): volume list
04-27 23:52:12.870 D/VoldCmdListener(   78): volume mount sdcard
04-27 23:52:12.870 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 23:52:12.870 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 23:52:12.870 W/Vold    (   78): Skipping fs checks
04-27 23:52:12.920 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 23:52:12.920 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 23:52:14.100 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 23:52:14.100 D/SPRDENG (  160): AT > AT+SNVM=0,401
04-27 23:52:14.100 D/SPRDENG (  160): 41
04-27 23:52:14.100 D/SPRDENG (  160): 54
04-27 23:52:14.100 D/SPRDENG (  160): 2b
04-27 23:52:14.100 D/SPRDENG (  160): 53
04-27 23:52:14.100 D/SPRDENG (  160): 4e
04-27 23:52:14.100 D/SPRDENG (  160): 56
04-27 23:52:14.100 D/SPRDENG (  160): 4d
04-27 23:52:14.100 D/SPRDENG (  160): 3d
04-27 23:52:14.100 D/SPRDENG (  160): 30
04-27 23:52:14.100 D/SPRDENG (  160): 2c
04-27 23:52:14.100 D/SPRDENG (  160): 34
04-27 23:52:14.100 D/SPRDENG (  160): 30
04-27 23:52:14.100 D/SPRDENG (  160): 31
04-27 23:52:14.100 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 23:52:14.100 D/SPRDENG (  160): AT < 
04-27 23:52:14.100 D/SPRDENG (  160): +SNVM: 8,FFFFFFFFFFFF2500
04-27 23:52:14.100 D/SPRDENG (  160): 
04-27 23:52:14.100 D/SPRDENG (  160): OK
04-27 23:52:14.100 D/SPRDENG (  160): 
04-27 23:52:14.100 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-27 23:52:14.100 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-27 23:52:14.100 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-27 23:52:14.100 D/BTWIFIMAC(   94): 
04-27 23:52:14.100 D/BTWIFIMAC(   94): OK
04-27 23:52:14.100 D/BTWIFIMAC(   94): 
04-27 23:52:14.200 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 23:52:14.200 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-27 23:52:14.200 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 23:52:14.200 D/BTWIFIMAC(   94): send_to_modem
04-27 23:52:14.200 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-27 23:52:14.200 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 23:52:14.200 D/SPRDENG (  160): AT > AT+SNVM=0,409
04-27 23:52:14.200 D/SPRDENG (  160): 41
04-27 23:52:14.200 D/SPRDENG (  160): 54
04-27 23:52:14.200 D/SPRDENG (  160): 2b
04-27 23:52:14.200 D/SPRDENG (  160): 53
04-27 23:52:14.200 D/SPRDENG (  160): 4e
04-27 23:52:14.200 D/SPRDENG (  160): 56
04-27 23:52:14.200 D/SPRDENG (  160): 4d
04-27 23:52:14.200 D/SPRDENG (  160): 3d
04-27 23:52:14.200 D/SPRDENG (  160): 30
04-27 23:52:14.200 D/SPRDENG (  160): 2c
04-27 23:52:14.200 D/SPRDENG (  160): 34
04-27 23:52:14.200 D/SPRDENG (  160): 30
04-27 23:52:14.200 D/SPRDENG (  160): 39
04-27 23:52:14.200 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 23:52:14.210 D/SPRDENG (  160): AT < 
04-27 23:52:14.210 D/SPRDENG (  160): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 23:52:14.210 D/SPRDENG (  160): 
04-27 23:52:14.210 D/SPRDENG (  160): OK
04-27 23:52:14.210 D/SPRDENG (  160): 
04-27 23:52:14.210 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-27 23:52:14.210 D/BTWIFIMAC(   94): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 23:52:14.210 D/BTWIFIMAC(   94): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 23:52:14.210 D/BTWIFIMAC(   94): 
04-27 23:52:14.210 D/BTWIFIMAC(   94): OK
04-27 23:52:14.210 D/BTWIFIMAC(   94): 
04-27 23:52:14.210 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 23:52:14.210 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-27 23:52:14.210 D/BTWIFIMAC(   94): +mac_rand+
04-27 23:52:14.210 D/BTWIFIMAC(   94): mac_rand: /data/rand_mac.txt exists
04-27 23:52:14.210 D/BTWIFIMAC(   94): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-27 23:52:14.210 D/BTWIFIMAC(   94): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-27 23:52:14.210 D/BTWIFIMAC(   94): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-27 23:52:14.210 D/BTWIFIMAC(   94): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-27 23:52:14.210 D/BTWIFIMAC(   94): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-27 23:52:14.210 D/BTWIFIMAC(   94): begin to run  trout_genpskey
04-27 23:52:14.210 D/BTWIFIMAC(   94): run trout_genpskey, ret=0
04-27 23:52:14.230 D/pskey_bt(  329): set BT mac
04-27 23:52:14.230 D/pskey_bt(  329): main, bt_mac from nv:
04-27 23:52:14.230 D/pskey_bt(  329): get_pskey_from_file
04-27 23:52:14.230 D/pskey_bt(  329): open bt pskey structure file fd=7
04-27 23:52:14.230 D/pskey_bt(  329): buf from pskey file:2048
04-27 23:52:14.230 D/pskey_bt(  329): parser_pskey_info
04-27 23:52:14.230 D/pskey_bt(  329): char:0, 0
04-27 23:52:14.230 D/pskey_bt(  329): get_one_item(data) = 0x0
04-27 23:52:14.230 D/pskey_bt(  329): get_next_u8: here:0
04-27 23:52:14.230 D/pskey_bt(  329): char:1, 1
04-27 23:52:14.230 D/pskey_bt(  329): get_one_item(data) = 0x1
04-27 23:52:14.230 D/pskey_bt(  329): get_next_u8: here:1
