--------- beginning of /dev/log/system
04-28 08:18:12.830 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-28 08:18:12.860 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 08:18:12.910 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-28 08:18:12.910 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-28 08:18:17.840 D/VoldCmdListener(   78): volume list
04-28 08:18:17.850 D/VoldCmdListener(   78): volume mount sdcard
04-28 08:18:17.850 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-28 08:18:17.850 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-28 08:18:17.850 W/Vold    (   78): Skipping fs checks
04-28 08:18:17.900 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-28 08:18:17.900 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0x0
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:0
04-28 08:18:19.320 D/pskey_bt(  329): char:1, 1
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:18:19.320 D/pskey_bt(  329): char:5, 5
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0x5
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:5
04-28 08:18:19.320 D/pskey_bt(  329): char:E, E
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0xe
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:e
04-28 08:18:19.320 D/pskey_bt(  329): char:1, 1
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:18:19.320 D/pskey_bt(  329): char:1, 1
04-28 08:18:19.320 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:18:19.320 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:18:19.320 D/pskey_bt(  329): char:5, 5
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
04-28 08:18:19.320 D/pskey_bt(  329): char:0, 0
