--------- beginning of /dev/log/system
04-25 14:06:48.280 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 14:06:48.280 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 14:06:48.360 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 14:06:48.360 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 14:06:53.400 D/VoldCmdListener(   78): volume list
04-25 14:06:53.410 D/VoldCmdListener(   78): volume mount sdcard
04-25 14:06:53.410 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 14:06:53.410 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 14:06:53.410 W/Vold    (   78): Skipping fs checks
04-25 14:06:53.460 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 14:06:53.470 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 14:06:54.570 I/EventHub(   84): New device: id=6, fd=57, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-25 14:06:54.580 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-25 14:06:54.580 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-25 14:06:54.580 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-25 14:06:54.580 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-25 14:06:54.580 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-25 14:06:54.770 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-25 14:06:54.770 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-25 14:06:54.770 D/BTWIFIMAC(   94): ===========BT MAC===========
04-25 14:06:54.770 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 14:06:54.770 D/BTWIFIMAC(   94): send_to_modem
04-25 14:06:54.770 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 14:06:54.770 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 14:06:54.770 D/SPRDENG (  155): AT > AT+SNVM=0,401
04-25 14:06:54.770 D/SPRDENG (  155): 41
04-25 14:06:54.770 D/SPRDENG (  155): 54
04-25 14:06:54.770 D/SPRDENG (  155): 2b
04-25 14:06:54.770 D/SPRDENG (  155): 53
04-25 14:06:54.770 D/SPRDENG (  155): 4e
04-25 14:06:54.770 D/SPRDENG (  155): 56
04-25 14:06:54.770 D/SPRDENG (  155): 4d
04-25 14:06:54.770 D/SPRDENG (  155): 3d
04-25 14:06:54.770 D/SPRDENG (  155): 30
04-25 14:06:54.770 D/SPRDENG (  155): 2c
04-25 14:06:54.770 D/SPRDENG (  155): 34
04-25 14:06:54.770 D/SPRDENG (  155): 30
04-25 14:06:54.770 D/SPRDENG (  155): 31
04-25 14:06:54.770 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 14:06:54.770 D/SPRDENG (  155): AT < 
04-25 14:06:54.770 D/SPRDENG (  155): +SNVM: 8,FFFFFFFFFFFF2500
04-25 14:06:54.770 D/SPRDENG (  155): 
04-25 14:06:54.770 D/SPRDENG (  155): OK
04-25 14:06:54.770 D/SPRDENG (  155): 
04-25 14:06:54.770 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 14:06:54.770 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-25 14:06:54.770 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-25 14:06:54.770 D/BTWIFIMAC(   94): 
04-25 14:06:54.770 D/BTWIFIMAC(   94): OK
04-25 14:06:54.770 D/BTWIFIMAC(   94): 
04-25 14:06:54.870 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 14:06:54.870 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-25 14:06:54.870 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-25 14:06:54.870 D/BTWIFIMAC(   94): send_to_modem
04-25 14:06:54.870 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 14:06:54.870 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 14:06:54.870 D/SPRDENG (  155): AT > AT+SNVM=0,409
04-25 14:06:54.870 D/SPRDENG (  155): 41
04-25 14:06:54.870 D/SPRDENG (  155): 54
04-25 14:06:54.870 D/SPRDENG (  155): 2b
04-25 14:06:54.870 D/SPRDENG (  155): 53
04-25 14:06:54.870 D/SPRDENG (  155): 4e
04-25 14:06:54.870 D/SPRDENG (  155): 56
04-25 14:06:54.870 D/SPRDENG (  155): 4d
04-25 14:06:54.870 D/SPRDENG (  155): 3d
04-25 14:06:54.870 D/SPRDENG (  155): 30
04-25 14:06:54.870 D/SPRDENG (  155): 2c
04-25 14:06:54.870 D/SPRDENG (  155): 34
04-25 14:06:54.870 D/SPRDENG (  155): 30
04-25 14:06:54.870 D/SPRDENG (  155): 39
04-25 14:06:54.870 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 14:06:54.870 D/SPRDENG (  155): AT < 
04-25 14:06:54.870 D/SPRDENG (  155): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 14:06:54.870 D/SPRDENG (  155): 
04-25 14:06:54.870 D/SPRDENG (  155): OK
04-25 14:06:54.870 D/SPRDENG (  155): 
04-25 14:06:54.870 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 14:06:54.870 D/BTWIFIMAC(   94): read_btwifimac_from_modem: WIFI timeout=60, response=
04-25 14:06:54.870 D/BTWIFIMAC(   94): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 14:06:54.870 D/BTWIFIMAC(   94): 
04-25 14:06:54.870 D/BTWIFIMAC(   94): OK
04-25 14:06:54.870 D/BTWIFIMAC(   94): 
04-25 14:06:54.870 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 14:06:54.870 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-25 14:06:54.870 D/BTWIFIMAC(   94): +mac_rand+
