--------- beginning of /dev/log/system
04-27 21:25:54.680 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 21:25:54.680 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 21:25:54.800 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 21:25:54.800 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 21:25:59.720 D/VoldCmdListener(   78): volume list
04-27 21:25:59.730 D/VoldCmdListener(   78): volume mount sdcard
04-27 21:25:59.730 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 21:25:59.730 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 21:25:59.730 W/Vold    (   78): Skipping fs checks
04-27 21:25:59.780 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 21:25:59.790 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 21:26:02.270 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 21:26:02.270 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-27 21:26:02.270 D/BTWIFIMAC(   94): +mac_rand+
04-27 21:26:02.270 D/BTWIFIMAC(   94): mac_rand: /data/rand_mac.txt exists
04-27 21:26:02.270 D/BTWIFIMAC(   94): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-27 21:26:02.270 D/BTWIFIMAC(   94): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-27 21:26:02.270 D/BTWIFIMAC(   94): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-27 21:26:02.270 D/BTWIFIMAC(   94): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-27 21:26:02.270 D/BTWIFIMAC(   94): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-27 21:26:02.280 D/BTWIFIMAC(   94): begin to run  trout_genpskey
04-27 21:26:02.280 D/BTWIFIMAC(   94): run trout_genpskey, ret=0
04-27 21:26:02.310 E/bluedroid(   84): test bt_is_enabled
04-27 21:26:02.320 D/pskey_bt(  336): set BT mac
04-27 21:26:02.320 D/pskey_bt(  336): main, bt_mac from nv:
04-27 21:26:02.320 D/pskey_bt(  336): get_pskey_from_file
04-27 21:26:02.320 D/pskey_bt(  336): open bt pskey structure file fd=7
04-27 21:26:02.320 D/pskey_bt(  336): buf from pskey file:2048
04-27 21:26:02.320 D/pskey_bt(  336): parser_pskey_info
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x0
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u8: here:0
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x1
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u8: here:1
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x1
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u8: here:1
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x1
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u8: here:1
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): char:8, 8
04-27 21:26:02.320 D/pskey_bt(  336): char:C, C
04-27 21:26:02.320 D/pskey_bt(  336): char:B, B
04-27 21:26:02.320 D/pskey_bt(  336): char:A, A
04-27 21:26:02.320 D/pskey_bt(  336): char:8, 8
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x18cba80
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:18cba80
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): char:f, f
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x1f00
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:1f00
04-27 21:26:02.320 D/pskey_bt(  336): char:1, 1
04-27 21:26:02.320 D/pskey_bt(  336): char:E, E
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x1e
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:1e
04-27 21:26:02.320 D/pskey_bt(  336): char:7, 7
04-27 21:26:02.320 D/pskey_bt(  336): char:B, B
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:7, 7
04-27 21:26:02.320 D/pskey_bt(  336): char:C, C
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x7b007c
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:7b007c
04-27 21:26:02.320 D/pskey_bt(  336): char:3, 3
04-27 21:26:02.320 D/pskey_bt(  336): char:7, 7
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:7, 7
04-27 21:26:02.320 D/pskey_bt(  336): char:A, A
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x37007a
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:37007a
04-27 21:26:02.320 D/pskey_bt(  336): char:3, 3
04-27 21:26:02.320 D/pskey_bt(  336): char:5, 5
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:3, 3
04-27 21:26:02.320 D/pskey_bt(  336): char:6, 6
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x350036
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:350036
04-27 21:26:02.320 D/pskey_bt(  336): char:2, 2
04-27 21:26:02.320 D/pskey_bt(  336): char:9, 9
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:3, 3
04-27 21:26:02.320 D/pskey_bt(  336): char:4, 4
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x290034
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:290034
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:A, A
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:2, 2
04-27 21:26:02.320 D/pskey_bt(  336): char:8, 8
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0xa0028
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:a0028
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:6, 6
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:0, 0
04-27 21:26:02.320 D/pskey_bt(  336): char:9, 9
04-27 21:26:02.320 D/pskey_bt(  336): get_one_item(data) = 0x60009
04-27 21:26:02.320 D/pskey_bt(  336): get_next_u32: here:60009
04-27 21:26:02.320 D/pskey_bt(  336): end of buff, str=},
04-27 21:26:02.320 D/pskey_bt(  336): {0x0B,0x0A,0x09, 0x08, 0x07},
04-27 21:26:02.320 D/pskey_bt(  336): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
04-27 21:26:02.320 D/pskey_bt(  336):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
04-27 21:26:02.320 D/pskey_bt(  336): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
04-27 21:26:02.320 D/pskey_bt(  336): 0,
04-27 21:26:02.320 D/pskey_bt(  336): 1,
