--------- beginning of /dev/log/system
04-27 15:40:31.690 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 15:40:31.690 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 15:40:31.810 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 15:40:31.810 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 15:40:36.830 D/VoldCmdListener(   78): volume list
04-27 15:40:36.840 D/VoldCmdListener(   78): volume mount sdcard
04-27 15:40:36.840 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 15:40:36.840 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 15:40:36.840 W/Vold    (   78): Skipping fs checks
04-27 15:40:36.880 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 15:40:36.890 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 15:40:38.200 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 15:40:38.200 D/SPRDENG (  154): AT > AT+SNVM=0,401
04-27 15:40:38.200 D/SPRDENG (  154): 41
04-27 15:40:38.200 D/SPRDENG (  154): 54
04-27 15:40:38.200 D/SPRDENG (  154): 2b
04-27 15:40:38.200 D/SPRDENG (  154): 53
04-27 15:40:38.200 D/SPRDENG (  154): 4e
04-27 15:40:38.200 D/SPRDENG (  154): 56
04-27 15:40:38.200 D/SPRDENG (  154): 4d
04-27 15:40:38.200 D/SPRDENG (  154): 3d
04-27 15:40:38.200 D/SPRDENG (  154): 30
04-27 15:40:38.200 D/SPRDENG (  154): 2c
04-27 15:40:38.200 D/SPRDENG (  154): 34
04-27 15:40:38.200 D/SPRDENG (  154): 30
04-27 15:40:38.200 D/SPRDENG (  154): 31
04-27 15:40:38.200 D/SPRDENG (  154): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 15:40:38.200 D/SPRDENG (  154): AT < 
04-27 15:40:38.200 D/SPRDENG (  154): +SNVM: 8,FFFFFFFFFFFF2500
04-27 15:40:38.200 D/SPRDENG (  154): 
04-27 15:40:38.200 D/SPRDENG (  154): OK
04-27 15:40:38.200 D/SPRDENG (  154): 
04-27 15:40:38.200 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-27 15:40:38.200 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-27 15:40:38.200 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-27 15:40:38.200 D/BTWIFIMAC(   97): 
04-27 15:40:38.200 D/BTWIFIMAC(   97): OK
04-27 15:40:38.200 D/BTWIFIMAC(   97): 
04-27 15:40:38.300 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 15:40:38.300 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-27 15:40:38.300 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 15:40:38.300 D/BTWIFIMAC(   97): send_to_modem
04-27 15:40:38.300 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-27 15:40:38.300 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 15:40:38.300 D/SPRDENG (  154): AT > AT+SNVM=0,409
04-27 15:40:38.300 D/SPRDENG (  154): 41
04-27 15:40:38.300 D/SPRDENG (  154): 54
04-27 15:40:38.300 D/SPRDENG (  154): 2b
04-27 15:40:38.300 D/SPRDENG (  154): 53
04-27 15:40:38.300 D/SPRDENG (  154): 4e
04-27 15:40:38.300 D/SPRDENG (  154): 56
04-27 15:40:38.300 D/SPRDENG (  154): 4d
04-27 15:40:38.300 D/SPRDENG (  154): 3d
04-27 15:40:38.300 D/SPRDENG (  154): 30
04-27 15:40:38.300 D/SPRDENG (  154): 2c
04-27 15:40:38.300 D/SPRDENG (  154): 34
04-27 15:40:38.300 D/SPRDENG (  154): 30
04-27 15:40:38.300 D/SPRDENG (  154): 39
04-27 15:40:38.300 D/SPRDENG (  154): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 15:40:38.300 D/SPRDENG (  154): AT < 
04-27 15:40:38.300 D/SPRDENG (  154): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 15:40:38.300 D/SPRDENG (  154): 
04-27 15:40:38.300 D/SPRDENG (  154): OK
04-27 15:40:38.300 D/SPRDENG (  154): 
04-27 15:40:38.300 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-27 15:40:38.300 D/BTWIFIMAC(   97): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 15:40:38.300 D/BTWIFIMAC(   97): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 15:40:38.300 D/BTWIFIMAC(   97): 
