--------- beginning of /dev/log/system
04-25 11:47:07.720 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 11:47:07.720 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 11:47:07.810 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 11:47:07.820 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 11:47:12.840 D/VoldCmdListener(   78): volume list
04-25 11:47:12.850 D/VoldCmdListener(   78): volume mount sdcard
04-25 11:47:12.850 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 11:47:12.850 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 11:47:12.850 W/Vold    (   78): Skipping fs checks
04-25 11:47:12.890 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 11:47:12.890 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 11:47:14.260 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 11:47:14.260 D/SPRDENG (  156): AT > AT+SNVM=0,401
04-25 11:47:14.260 D/SPRDENG (  156): 41
04-25 11:47:14.260 D/SPRDENG (  156): 54
04-25 11:47:14.260 D/SPRDENG (  156): 2b
04-25 11:47:14.260 D/SPRDENG (  156): 53
04-25 11:47:14.260 D/SPRDENG (  156): 4e
04-25 11:47:14.260 D/SPRDENG (  156): 56
04-25 11:47:14.260 D/SPRDENG (  156): 4d
04-25 11:47:14.260 D/SPRDENG (  156): 3d
04-25 11:47:14.260 D/SPRDENG (  156): 30
04-25 11:47:14.260 D/SPRDENG (  156): 2c
04-25 11:47:14.260 D/SPRDENG (  156): 34
04-25 11:47:14.260 D/SPRDENG (  156): 30
04-25 11:47:14.260 D/SPRDENG (  156): 31
04-25 11:47:14.260 D/SPRDENG (  156): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 11:47:14.260 D/SPRDENG (  156): AT < 
04-25 11:47:14.260 D/SPRDENG (  156): +SNVM: 8,FFFFFFFFFFFF2500
04-25 11:47:14.260 D/SPRDENG (  156): 
04-25 11:47:14.260 D/SPRDENG (  156): OK
04-25 11:47:14.260 D/SPRDENG (  156): 
04-25 11:47:14.260 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 11:47:14.260 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-25 11:47:14.260 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-25 11:47:14.260 D/BTWIFIMAC(   94): 
04-25 11:47:14.260 D/BTWIFIMAC(   94): OK
04-25 11:47:14.260 D/BTWIFIMAC(   94): 
04-25 11:47:14.360 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 11:47:14.360 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-25 11:47:14.360 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-25 11:47:14.360 D/BTWIFIMAC(   94): send_to_modem
04-25 11:47:14.360 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 11:47:14.370 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 11:47:14.370 D/SPRDENG (  156): AT > AT+SNVM=0,409
04-25 11:47:14.370 D/SPRDENG (  156): 41
04-25 11:47:14.370 D/SPRDENG (  156): 54
04-25 11:47:14.370 D/SPRDENG (  156): 2b
04-25 11:47:14.370 D/SPRDENG (  156): 53
04-25 11:47:14.370 D/SPRDENG (  156): 4e
04-25 11:47:14.370 D/SPRDENG (  156): 56
04-25 11:47:14.370 D/SPRDENG (  156): 4d
04-25 11:47:14.370 D/SPRDENG (  156): 3d
04-25 11:47:14.370 D/SPRDENG (  156): 30
04-25 11:47:14.370 D/SPRDENG (  156): 2c
04-25 11:47:14.370 D/SPRDENG (  156): 34
04-25 11:47:14.370 D/SPRDENG (  156): 30
04-25 11:47:14.370 D/SPRDENG (  156): 39
04-25 11:47:14.370 D/SPRDENG (  156): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 11:47:14.370 D/SPRDENG (  156): AT < 
04-25 11:47:14.370 D/SPRDENG (  156): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 11:47:14.370 D/SPRDENG (  156): 
04-25 11:47:14.370 D/SPRDENG (  156): OK
04-25 11:47:14.370 D/SPRDENG (  156): 
04-25 11:47:14.370 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 11:47:14.370 D/BTWIFIMAC(   94): read_btwifimac_from_modem: WIFI timeout=60, response=
04-25 11:47:14.370 D/BTWIFIMAC(   94): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 11:47:14.370 D/BTWIFIMAC(   94): 
04-25 11:47:14.370 D/BTWIFIMAC(   94): OK
04-25 11:47:14.370 D/BTWIFIMAC(   94): 
04-25 11:47:14.370 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 11:47:14.370 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-25 11:47:14.370 D/BTWIFIMAC(   94): +mac_rand+
04-25 11:47:14.370 D/BTWIFIMAC(   94): mac_rand: /data/rand_mac.txt exists
04-25 11:47:14.370 D/BTWIFIMAC(   94): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-25 11:47:14.370 D/BTWIFIMAC(   94): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-25 11:47:14.370 D/BTWIFIMAC(   94): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-25 11:47:14.370 D/BTWIFIMAC(   94): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-25 11:47:14.370 D/BTWIFIMAC(   94): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-25 11:47:14.380 D/BTWIFIMAC(   94): begin to run  trout_genpskey
04-25 11:47:14.380 D/BTWIFIMAC(   94): run trout_genpskey, ret=0
04-25 11:47:14.410 D/pskey_bt(  331): set BT mac
04-25 11:47:14.410 D/pskey_bt(  331): main, bt_mac from nv:
04-25 11:47:14.410 D/pskey_bt(  331): get_pskey_from_file
04-25 11:47:14.410 D/pskey_bt(  331): open bt pskey structure file fd=7
04-25 11:47:14.410 D/pskey_bt(  331): buf from pskey file:2048
04-25 11:47:14.410 D/pskey_bt(  331): parser_pskey_info
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x0
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u8: here:0
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x1
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u8: here:1
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x1
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u8: here:1
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x1
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u8: here:1
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): char:8, 8
04-25 11:47:14.410 D/pskey_bt(  331): char:C, C
04-25 11:47:14.410 D/pskey_bt(  331): char:B, B
04-25 11:47:14.410 D/pskey_bt(  331): char:A, A
04-25 11:47:14.410 D/pskey_bt(  331): char:8, 8
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x18cba80
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:18cba80
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): char:f, f
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x1f00
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:1f00
04-25 11:47:14.410 D/pskey_bt(  331): char:1, 1
04-25 11:47:14.410 D/pskey_bt(  331): char:E, E
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x1e
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:1e
04-25 11:47:14.410 D/pskey_bt(  331): char:7, 7
04-25 11:47:14.410 D/pskey_bt(  331): char:B, B
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:7, 7
04-25 11:47:14.410 D/pskey_bt(  331): char:C, C
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x7b007c
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:7b007c
04-25 11:47:14.410 D/pskey_bt(  331): char:3, 3
04-25 11:47:14.410 D/pskey_bt(  331): char:7, 7
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:7, 7
04-25 11:47:14.410 D/pskey_bt(  331): char:A, A
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x37007a
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:37007a
04-25 11:47:14.410 D/pskey_bt(  331): char:3, 3
04-25 11:47:14.410 D/pskey_bt(  331): char:5, 5
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:3, 3
04-25 11:47:14.410 D/pskey_bt(  331): char:6, 6
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x350036
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:350036
04-25 11:47:14.410 D/pskey_bt(  331): char:2, 2
04-25 11:47:14.410 D/pskey_bt(  331): char:9, 9
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:3, 3
04-25 11:47:14.410 D/pskey_bt(  331): char:4, 4
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0x290034
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:290034
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:A, A
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:2, 2
04-25 11:47:14.410 D/pskey_bt(  331): char:8, 8
04-25 11:47:14.410 D/pskey_bt(  331): get_one_item(data) = 0xa0028
04-25 11:47:14.410 D/pskey_bt(  331): get_next_u32: here:a0028
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:6, 6
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
04-25 11:47:14.410 D/pskey_bt(  331): char:0, 0
