--------- beginning of /dev/log/system
04-26 19:59:40.820 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 19:59:40.820 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 19:59:40.950 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 19:59:40.950 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 19:59:45.870 D/VoldCmdListener(   78): volume list
04-26 19:59:45.880 D/VoldCmdListener(   78): volume mount sdcard
04-26 19:59:45.880 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 19:59:45.880 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 19:59:45.880 W/Vold    (   78): Skipping fs checks
04-26 19:59:45.930 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 19:59:45.940 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 19:59:47.280 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-26 19:59:47.280 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-26 19:59:47.280 D/BTWIFIMAC(   94): ===========BT MAC===========
04-26 19:59:47.280 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 19:59:47.280 D/BTWIFIMAC(   94): send_to_modem
04-26 19:59:47.280 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-26 19:59:47.280 D/SPRDENG (  153): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 19:59:47.280 D/SPRDENG (  153): AT > AT+SNVM=0,401
04-26 19:59:47.280 D/SPRDENG (  153): 41
04-26 19:59:47.280 D/SPRDENG (  153): 54
04-26 19:59:47.280 D/SPRDENG (  153): 2b
04-26 19:59:47.280 D/SPRDENG (  153): 53
04-26 19:59:47.280 D/SPRDENG (  153): 4e
04-26 19:59:47.280 D/SPRDENG (  153): 56
04-26 19:59:47.280 D/SPRDENG (  153): 4d
04-26 19:59:47.280 D/SPRDENG (  153): 3d
04-26 19:59:47.280 D/SPRDENG (  153): 30
04-26 19:59:47.280 D/SPRDENG (  153): 2c
04-26 19:59:47.280 D/SPRDENG (  153): 34
04-26 19:59:47.280 D/SPRDENG (  153): 30
04-26 19:59:47.280 D/SPRDENG (  153): 31
04-26 19:59:47.280 D/SPRDENG (  153): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 19:59:47.280 D/SPRDENG (  153): AT < 
04-26 19:59:47.280 D/SPRDENG (  153): +SNVM: 8,FFFFFFFFFFFF2500
04-26 19:59:47.280 D/SPRDENG (  153): 
04-26 19:59:47.280 D/SPRDENG (  153): OK
04-26 19:59:47.280 D/SPRDENG (  153): 
04-26 19:59:47.280 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-26 19:59:47.280 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-26 19:59:47.280 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-26 19:59:47.280 D/BTWIFIMAC(   94): 
04-26 19:59:47.280 D/BTWIFIMAC(   94): OK
04-26 19:59:47.280 D/BTWIFIMAC(   94): 
04-26 19:59:47.380 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 19:59:47.380 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-26 19:59:47.380 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 19:59:47.380 D/BTWIFIMAC(   94): send_to_modem
04-26 19:59:47.380 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-26 19:59:47.380 D/SPRDENG (  153): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 19:59:47.380 D/SPRDENG (  153): AT > AT+SNVM=0,409
04-26 19:59:47.380 D/SPRDENG (  153): 41
04-26 19:59:47.380 D/SPRDENG (  153): 54
04-26 19:59:47.380 D/SPRDENG (  153): 2b
04-26 19:59:47.380 D/SPRDENG (  153): 53
04-26 19:59:47.380 D/SPRDENG (  153): 4e
04-26 19:59:47.380 D/SPRDENG (  153): 56
04-26 19:59:47.380 D/SPRDENG (  153): 4d
04-26 19:59:47.380 D/SPRDENG (  153): 3d
04-26 19:59:47.380 D/SPRDENG (  153): 30
04-26 19:59:47.380 D/SPRDENG (  153): 2c
04-26 19:59:47.380 D/SPRDENG (  153): 34
04-26 19:59:47.380 D/SPRDENG (  153): 30
04-26 19:59:47.380 D/SPRDENG (  153): 39
04-26 19:59:47.380 D/SPRDENG (  153): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 19:59:47.390 D/SPRDENG (  153): AT < 
04-26 19:59:47.390 D/SPRDENG (  153): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 19:59:47.390 D/SPRDENG (  153): 
04-26 19:59:47.390 D/SPRDENG (  153): OK
04-26 19:59:47.390 D/SPRDENG (  153): 
04-26 19:59:47.390 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-26 19:59:47.390 D/BTWIFIMAC(   94): read_btwifimac_from_modem: WIFI timeout=60, response=
04-26 19:59:47.390 D/BTWIFIMAC(   94): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 19:59:47.390 D/BTWIFIMAC(   94): 
04-26 19:59:47.390 D/BTWIFIMAC(   94): OK
04-26 19:59:47.390 D/BTWIFIMAC(   94): 
04-26 19:59:47.390 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 19:59:47.390 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-26 19:59:47.390 D/BTWIFIMAC(   94): +mac_rand+
04-26 19:59:47.390 D/BTWIFIMAC(   94): mac_rand: /data/rand_mac.txt exists
04-26 19:59:47.390 D/BTWIFIMAC(   94): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-26 19:59:47.390 D/BTWIFIMAC(   94): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-26 19:59:47.390 D/BTWIFIMAC(   94): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-26 19:59:47.390 D/BTWIFIMAC(   94): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-26 19:59:47.390 D/BTWIFIMAC(   94): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-26 19:59:47.390 D/BTWIFIMAC(   94): begin to run  trout_genpskey
04-26 19:59:47.390 D/BTWIFIMAC(   94): run trout_genpskey, ret=0
04-26 19:59:47.430 D/pskey_bt(  331): set BT mac
04-26 19:59:47.430 D/pskey_bt(  331): main, bt_mac from nv:
04-26 19:59:47.430 D/pskey_bt(  331): get_pskey_from_file
04-26 19:59:47.430 D/pskey_bt(  331): open bt pskey structure file fd=7
04-26 19:59:47.430 D/pskey_bt(  331): buf from pskey file:2048
04-26 19:59:47.430 D/pskey_bt(  331): parser_pskey_info
04-26 19:59:47.430 D/pskey_bt(  331): char:0, 0
04-26 19:59:47.430 D/pskey_bt(  331): get_one_item(data) = 0x0
04-26 19:59:47.430 D/pskey_bt(  331): get_next_u8: here:0
04-26 19:59:47.430 D/pskey_bt(  331): char:1, 1
04-26 19:59:47.430 D/pskey_bt(  331): get_one_item(data) = 0x1
