--------- beginning of /dev/log/system
04-27 22:57:26.630 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 22:57:26.630 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 22:57:26.710 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 22:57:26.710 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 22:57:31.860 D/VoldCmdListener(   78): volume list
04-27 22:57:31.870 D/VoldCmdListener(   78): volume mount sdcard
04-27 22:57:31.870 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 22:57:31.870 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 22:57:31.870 W/Vold    (   78): Skipping fs checks
04-27 22:57:31.920 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 22:57:31.930 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 22:57:33.240 D/SPRDENG (  163): AT > AT+SNVM=0,401
04-27 22:57:33.240 D/SPRDENG (  163): 41
04-27 22:57:33.240 D/SPRDENG (  163): 54
04-27 22:57:33.240 D/SPRDENG (  163): 2b
04-27 22:57:33.240 D/SPRDENG (  163): 53
04-27 22:57:33.240 D/SPRDENG (  163): 4e
04-27 22:57:33.240 D/SPRDENG (  163): 56
04-27 22:57:33.240 D/SPRDENG (  163): 4d
04-27 22:57:33.240 D/SPRDENG (  163): 3d
04-27 22:57:33.240 D/SPRDENG (  163): 30
04-27 22:57:33.240 D/SPRDENG (  163): 2c
04-27 22:57:33.240 D/SPRDENG (  163): 34
04-27 22:57:33.240 D/SPRDENG (  163): 30
04-27 22:57:33.240 D/SPRDENG (  163): 31
04-27 22:57:33.240 D/SPRDENG (  163): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 22:57:33.240 D/SPRDENG (  163): AT < 
04-27 22:57:33.240 D/SPRDENG (  163): +SNVM: 8,FFFFFFFFFFFF2500
04-27 22:57:33.240 D/SPRDENG (  163): 
04-27 22:57:33.240 D/SPRDENG (  163): OK
