--------- beginning of /dev/log/system
04-25 00:57:39.950 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 00:57:39.950 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 00:57:40.070 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 00:57:40.070 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 00:57:44.950 D/VoldCmdListener(   78): volume list
04-25 00:57:44.960 D/VoldCmdListener(   78): volume mount sdcard
04-25 00:57:44.960 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 00:57:44.960 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 00:57:44.960 W/Vold    (   78): Skipping fs checks
04-25 00:57:45.000 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 00:57:45.000 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 00:57:46.180 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-25 00:57:46.390 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-25 00:57:46.390 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-25 00:57:46.390 D/BTWIFIMAC(   94): ===========BT MAC===========
04-25 00:57:46.390 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 00:57:46.390 D/BTWIFIMAC(   94): send_to_modem
04-25 00:57:46.390 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 00:57:46.390 D/SPRDENG (  158): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 00:57:46.390 D/SPRDENG (  158): AT > AT+SNVM=0,401
04-25 00:57:46.390 D/SPRDENG (  158): 41
04-25 00:57:46.390 D/SPRDENG (  158): 54
04-25 00:57:46.390 D/SPRDENG (  158): 2b
04-25 00:57:46.390 D/SPRDENG (  158): 53
04-25 00:57:46.390 D/SPRDENG (  158): 4e
04-25 00:57:46.390 D/SPRDENG (  158): 56
04-25 00:57:46.390 D/SPRDENG (  158): 4d
04-25 00:57:46.390 D/SPRDENG (  158): 3d
04-25 00:57:46.390 D/SPRDENG (  158): 30
04-25 00:57:46.390 D/SPRDENG (  158): 2c
04-25 00:57:46.390 D/SPRDENG (  158): 34
04-25 00:57:46.390 D/SPRDENG (  158): 30
04-25 00:57:46.390 D/SPRDENG (  158): 31
04-25 00:57:46.390 D/SPRDENG (  158): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 00:57:46.400 D/SPRDENG (  158): AT < 
04-25 00:57:46.400 D/SPRDENG (  158): +SNVM: 8,FFFFFFFFFFFF2500
04-25 00:57:46.400 D/SPRDENG (  158): 
04-25 00:57:46.400 D/SPRDENG (  158): OK
04-25 00:57:46.400 D/SPRDENG (  158): 
04-25 00:57:46.400 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 00:57:46.400 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-25 00:57:46.400 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
