--------- beginning of /dev/log/system
04-25 01:08:52.980 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 01:08:53.050 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 01:08:53.150 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 01:08:53.150 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 01:08:58.090 D/VoldCmdListener(   78): volume list
04-25 01:08:58.100 D/VoldCmdListener(   78): volume mount sdcard
04-25 01:08:58.100 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 01:08:58.100 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 01:08:58.100 W/Vold    (   78): Skipping fs checks
04-25 01:08:58.150 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 01:08:58.180 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 01:08:59.490 D/pskey_bt(  329): char:E, E
04-25 01:08:59.490 D/pskey_bt(  329): get_one_item(data) = 0x1e
04-25 01:08:59.490 D/pskey_bt(  329): get_next_u32: here:1e
04-25 01:08:59.490 D/pskey_bt(  329): char:7, 7
04-25 01:08:59.490 D/pskey_bt(  329): char:B, B
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:7, 7
04-25 01:08:59.490 D/pskey_bt(  329): char:C, C
04-25 01:08:59.490 D/pskey_bt(  329): get_one_item(data) = 0x7b007c
04-25 01:08:59.490 D/pskey_bt(  329): get_next_u32: here:7b007c
04-25 01:08:59.490 D/pskey_bt(  329): char:3, 3
04-25 01:08:59.490 D/pskey_bt(  329): char:7, 7
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:7, 7
04-25 01:08:59.490 D/pskey_bt(  329): char:A, A
04-25 01:08:59.490 D/pskey_bt(  329): get_one_item(data) = 0x37007a
04-25 01:08:59.490 D/pskey_bt(  329): get_next_u32: here:37007a
04-25 01:08:59.490 D/pskey_bt(  329): char:3, 3
04-25 01:08:59.490 D/pskey_bt(  329): char:5, 5
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:0, 0
04-25 01:08:59.490 D/pskey_bt(  329): char:3, 3
04-25 01:08:59.490 D/pskey_bt(  329): char:6, 6
04-25 01:08:59.490 D/pskey_bt(  329): get_one_item(data) = 0x350036
04-25 01:08:59.490 D/pskey_bt(  329): get_next_u32: here:350036
04-25 01:08:59.490 D/pskey_bt(  329): char:2, 2
