--------- beginning of /dev/log/system
04-25 04:27:48.980 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 04:27:48.980 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 04:27:49.070 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 04:27:49.070 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 04:27:53.980 D/VoldCmdListener(   78): volume list
04-25 04:27:53.990 D/VoldCmdListener(   78): volume mount sdcard
04-25 04:27:53.990 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 04:27:53.990 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 04:27:53.990 W/Vold    (   78): Skipping fs checks
04-25 04:27:54.040 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 04:27:54.050 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 04:27:55.350 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 04:27:55.350 D/BTWIFIMAC(   94): send_to_modem
04-25 04:27:55.350 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 04:27:55.350 D/SPRDENG (  168): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 04:27:55.350 D/SPRDENG (  168): AT > AT+SNVM=0,401
04-25 04:27:55.350 D/SPRDENG (  168): 41
04-25 04:27:55.350 D/SPRDENG (  168): 54
04-25 04:27:55.350 D/SPRDENG (  168): 2b
04-25 04:27:55.350 D/SPRDENG (  168): 53
04-25 04:27:55.350 D/SPRDENG (  168): 4e
04-25 04:27:55.350 D/SPRDENG (  168): 56
04-25 04:27:55.350 D/SPRDENG (  168): 4d
04-25 04:27:55.350 D/SPRDENG (  168): 3d
04-25 04:27:55.350 D/SPRDENG (  168): 30
04-25 04:27:55.350 D/SPRDENG (  168): 2c
04-25 04:27:55.350 D/SPRDENG (  168): 34
04-25 04:27:55.350 D/SPRDENG (  168): 30
04-25 04:27:55.350 D/SPRDENG (  168): 31
