--------- beginning of /dev/log/system
04-27 05:28:46.690 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 05:28:46.690 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 05:28:46.790 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 05:28:46.790 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 05:28:51.820 D/VoldCmdListener(   78): volume list
04-27 05:28:51.830 D/VoldCmdListener(   78): volume mount sdcard
04-27 05:28:51.830 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 05:28:51.830 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 05:28:51.830 W/Vold    (   78): Skipping fs checks
04-27 05:28:51.880 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 05:28:51.890 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 05:28:53.050 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 05:28:53.050 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 05:28:53.050 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 05:28:53.050 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 05:28:53.050 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 05:28:53.090 E/eng_rf_nv_update(  103): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-27 05:28:53.090 E/eng_rf_nv_update(  103): [eng_rf_nv_update]: end eng rf nv update!
04-27 05:28:53.090 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-27 05:28:53.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-27 05:28:53.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-27 05:28:53.130 D/BTWIFIMAC(   94): ===========BT MAC===========
04-27 05:28:53.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 05:28:53.130 D/BTWIFIMAC(   94): send_to_modem
04-27 05:28:53.130 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-27 05:28:53.130 D/SPRDENG (  168): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 05:28:53.130 D/SPRDENG (  168): AT > AT+SNVM=0,401
04-27 05:28:53.130 D/SPRDENG (  168): 41
04-27 05:28:53.130 D/SPRDENG (  168): 54
04-27 05:28:53.130 D/SPRDENG (  168): 2b
04-27 05:28:53.130 D/SPRDENG (  168): 53
04-27 05:28:53.130 D/SPRDENG (  168): 4e
04-27 05:28:53.130 D/SPRDENG (  168): 56
04-27 05:28:53.130 D/SPRDENG (  168): 4d
04-27 05:28:53.130 D/SPRDENG (  168): 3d
04-27 05:28:53.130 D/SPRDENG (  168): 30
04-27 05:28:53.130 D/SPRDENG (  168): 2c
04-27 05:28:53.130 D/SPRDENG (  168): 34
04-27 05:28:53.130 D/SPRDENG (  168): 30
04-27 05:28:53.130 D/SPRDENG (  168): 31
04-27 05:28:53.130 D/SPRDENG (  168): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 05:28:53.130 D/SPRDENG (  168): AT < 
04-27 05:28:53.130 D/SPRDENG (  168): +SNVM: 8,FFFFFFFFFFFF2500
04-27 05:28:53.130 D/SPRDENG (  168): 
04-27 05:28:53.130 D/SPRDENG (  168): OK
04-27 05:28:53.130 D/SPRDENG (  168): 
04-27 05:28:53.130 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-27 05:28:53.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-27 05:28:53.130 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-27 05:28:53.130 D/BTWIFIMAC(   94): 
04-27 05:28:53.130 D/BTWIFIMAC(   94): OK
04-27 05:28:53.130 D/BTWIFIMAC(   94): 
04-27 05:28:53.230 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 05:28:53.230 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-27 05:28:53.230 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 05:28:53.230 D/BTWIFIMAC(   94): send_to_modem
04-27 05:28:53.230 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
