--------- beginning of /dev/log/system
04-26 22:04:29.860 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 22:04:29.860 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 22:04:29.980 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 22:04:29.980 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 22:04:35.060 D/VoldCmdListener(   78): volume list
04-26 22:04:35.070 D/VoldCmdListener(   78): volume mount sdcard
04-26 22:04:35.070 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 22:04:35.070 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 22:04:35.070 W/Vold    (   78): Skipping fs checks
04-26 22:04:35.100 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 22:04:35.110 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 22:04:36.220 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 22:04:36.220 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 22:04:36.220 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 22:04:36.220 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 22:04:36.290 E/eng_rf_nv_update(  101): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-26 22:04:36.290 E/eng_rf_nv_update(  101): [eng_rf_nv_update]: end eng rf nv update!
04-26 22:04:36.290 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-26 22:04:36.330 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-26 22:04:36.330 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
