--------- beginning of /dev/log/system
04-28 07:01:34.650 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-28 07:01:34.700 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 07:01:34.730 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-28 07:01:34.730 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-28 07:01:39.790 D/VoldCmdListener(   78): volume list
04-28 07:01:39.800 D/VoldCmdListener(   78): volume mount sdcard
04-28 07:01:39.800 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-28 07:01:39.800 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-28 07:01:39.800 W/Vold    (   78): Skipping fs checks
04-28 07:01:39.850 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-28 07:01:39.850 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-28 07:01:41.020 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-28 07:01:41.020 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-28 07:01:41.020 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-28 07:01:41.020 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-28 07:01:41.020 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-28 07:01:41.080 D/BTWIFIMAC(   97): read_btwifimac_from_modem
04-28 07:01:41.080 D/BTWIFIMAC(   97): read_btwifimac_from_modem modem_fd=7
04-28 07:01:41.080 D/BTWIFIMAC(   97): ===========BT MAC===========
04-28 07:01:41.080 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-28 07:01:41.080 D/BTWIFIMAC(   97): send_to_modem
04-28 07:01:41.080 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-28 07:01:41.090 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 07:01:41.090 D/SPRDENG (  154): AT > AT+SNVM=0,401
04-28 07:01:41.090 D/SPRDENG (  154): 41
04-28 07:01:41.090 D/SPRDENG (  154): 54
04-28 07:01:41.090 D/SPRDENG (  154): 2b
04-28 07:01:41.090 D/SPRDENG (  154): 53
04-28 07:01:41.090 D/SPRDENG (  154): 4e
04-28 07:01:41.090 D/SPRDENG (  154): 56
04-28 07:01:41.090 D/SPRDENG (  154): 4d
04-28 07:01:41.090 D/SPRDENG (  154): 3d
04-28 07:01:41.090 D/SPRDENG (  154): 30
04-28 07:01:41.090 D/SPRDENG (  154): 2c
04-28 07:01:41.090 D/SPRDENG (  154): 34
04-28 07:01:41.090 D/SPRDENG (  154): 30
04-28 07:01:41.090 D/SPRDENG (  154): 31
04-28 07:01:41.090 D/SPRDENG (  154): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 07:01:41.090 D/SPRDENG (  154): AT < 
04-28 07:01:41.090 D/SPRDENG (  154): +SNVM: 8,FFFFFFFFFFFF2500
04-28 07:01:41.090 D/SPRDENG (  154): 
04-28 07:01:41.090 D/SPRDENG (  154): OK
04-28 07:01:41.090 D/SPRDENG (  154): 
04-28 07:01:41.090 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-28 07:01:41.090 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-28 07:01:41.090 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-28 07:01:41.090 D/BTWIFIMAC(   97): 
04-28 07:01:41.090 D/BTWIFIMAC(   97): OK
04-28 07:01:41.090 D/BTWIFIMAC(   97): 
04-28 07:01:41.090 E/eng_rf_nv_update(   93): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-28 07:01:41.090 E/eng_rf_nv_update(   93): [eng_rf_nv_update]: end eng rf nv update!
