--------- beginning of /dev/log/system
04-25 20:55:28.440 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 20:55:28.440 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 20:55:28.610 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 20:55:28.610 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 20:55:33.660 D/VoldCmdListener(   78): volume list
04-25 20:55:33.670 D/VoldCmdListener(   78): volume mount sdcard
04-25 20:55:33.670 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 20:55:33.670 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 20:55:33.670 W/Vold    (   78): Skipping fs checks
04-25 20:55:33.720 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 20:55:33.730 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 20:55:34.990 E/eng_rf_nv_update(  101): [eng_rf_nv_update]: end eng rf nv update!
04-25 20:55:34.990 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-25 20:55:35.040 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-25 20:55:35.040 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-25 20:55:35.040 D/BTWIFIMAC(   94): ===========BT MAC===========
04-25 20:55:35.040 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 20:55:35.040 D/BTWIFIMAC(   94): send_to_modem
04-25 20:55:35.040 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 20:55:35.040 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 20:55:35.040 D/SPRDENG (  160): AT > AT+SNVM=0,401
04-25 20:55:35.040 D/SPRDENG (  160): 41
04-25 20:55:35.040 D/SPRDENG (  160): 54
04-25 20:55:35.040 D/SPRDENG (  160): 2b
04-25 20:55:35.040 D/SPRDENG (  160): 53
04-25 20:55:35.040 D/SPRDENG (  160): 4e
04-25 20:55:35.040 D/SPRDENG (  160): 56
04-25 20:55:35.040 D/SPRDENG (  160): 4d
04-25 20:55:35.040 D/SPRDENG (  160): 3d
04-25 20:55:35.040 D/SPRDENG (  160): 30
04-25 20:55:35.040 D/SPRDENG (  160): 2c
04-25 20:55:35.040 D/SPRDENG (  160): 34
04-25 20:55:35.040 D/SPRDENG (  160): 30
04-25 20:55:35.040 D/SPRDENG (  160): 31
04-25 20:55:35.040 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 20:55:35.040 D/SPRDENG (  160): AT < 
04-25 20:55:35.040 D/SPRDENG (  160): +SNVM: 8,FFFFFFFFFFFF2500
04-25 20:55:35.040 D/SPRDENG (  160): 
04-25 20:55:35.040 D/SPRDENG (  160): OK
04-25 20:55:35.040 D/SPRDENG (  160): 
