--------- beginning of /dev/log/system
04-26 22:48:45.670 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 22:48:45.670 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 22:48:45.740 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 22:48:45.820 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 22:48:50.820 D/VoldCmdListener(   78): volume list
04-26 22:48:50.830 D/VoldCmdListener(   78): volume mount sdcard
04-26 22:48:50.830 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 22:48:50.830 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 22:48:50.830 W/Vold    (   78): Skipping fs checks
04-26 22:48:50.870 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 22:48:50.870 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x1
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u8: here:1
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x1
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u8: here:1
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x1
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u8: here:1
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): char:8, 8
04-26 22:48:52.400 D/pskey_bt(  329): char:C, C
04-26 22:48:52.400 D/pskey_bt(  329): char:B, B
04-26 22:48:52.400 D/pskey_bt(  329): char:A, A
04-26 22:48:52.400 D/pskey_bt(  329): char:8, 8
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x18cba80
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:18cba80
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): char:f, f
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x1f00
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:1f00
04-26 22:48:52.400 D/pskey_bt(  329): char:1, 1
04-26 22:48:52.400 D/pskey_bt(  329): char:E, E
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x1e
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:1e
04-26 22:48:52.400 D/pskey_bt(  329): char:7, 7
04-26 22:48:52.400 D/pskey_bt(  329): char:B, B
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:7, 7
04-26 22:48:52.400 D/pskey_bt(  329): char:C, C
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x7b007c
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:7b007c
04-26 22:48:52.400 D/pskey_bt(  329): char:3, 3
04-26 22:48:52.400 D/pskey_bt(  329): char:7, 7
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:7, 7
04-26 22:48:52.400 D/pskey_bt(  329): char:A, A
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x37007a
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:37007a
04-26 22:48:52.400 D/pskey_bt(  329): char:3, 3
04-26 22:48:52.400 D/pskey_bt(  329): char:5, 5
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:3, 3
04-26 22:48:52.400 D/pskey_bt(  329): char:6, 6
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x350036
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:350036
04-26 22:48:52.400 D/pskey_bt(  329): char:2, 2
04-26 22:48:52.400 D/pskey_bt(  329): char:9, 9
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:3, 3
04-26 22:48:52.400 D/pskey_bt(  329): char:4, 4
04-26 22:48:52.400 D/pskey_bt(  329): get_one_item(data) = 0x290034
04-26 22:48:52.400 D/pskey_bt(  329): get_next_u32: here:290034
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
04-26 22:48:52.400 D/pskey_bt(  329): char:A, A
04-26 22:48:52.400 D/pskey_bt(  329): char:0, 0
