--------- beginning of /dev/log/system
04-25 21:05:37.800 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 21:05:37.800 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 21:05:37.920 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 21:05:37.920 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 21:05:43.410 D/VoldCmdListener(   78): volume list
04-25 21:05:43.420 D/VoldCmdListener(   78): volume mount sdcard
04-25 21:05:43.420 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 21:05:43.420 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 21:05:43.420 W/Vold    (   78): Skipping fs checks
04-25 21:05:43.450 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 21:05:43.460 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 21:05:44.420 D/pskey_bt(  324): char:F, F
04-25 21:05:44.420 D/pskey_bt(  324): char:F, F
04-25 21:05:44.420 D/pskey_bt(  324): get_one_item(data) = 0xff
04-25 21:05:44.420 D/pskey_bt(  324): get_next_u8: here:ff
04-25 21:05:44.420 D/pskey_bt(  324): char:8, 8
04-25 21:05:44.420 D/pskey_bt(  324): char:D, D
04-25 21:05:44.420 D/pskey_bt(  324): get_one_item(data) = 0x8d
04-25 21:05:44.420 D/pskey_bt(  324): get_next_u8: here:8d
04-25 21:05:44.420 D/pskey_bt(  324): char:F, F
04-25 21:05:44.420 D/pskey_bt(  324): char:E, E
04-25 21:05:44.420 D/pskey_bt(  324): get_one_item(data) = 0xfe
04-25 21:05:44.420 D/pskey_bt(  324): get_next_u8: here:fe
04-25 21:05:44.420 D/pskey_bt(  324): char:9, 9
04-25 21:05:44.420 D/pskey_bt(  324): char:B, B
04-25 21:05:44.420 D/pskey_bt(  324): get_one_item(data) = 0x9b
04-25 21:05:44.420 D/pskey_bt(  324): get_next_u8: here:9b
04-25 21:05:44.420 D/pskey_bt(  324): char:3, 3
04-25 21:05:44.420 D/pskey_bt(  324): char:F, F
