--------- beginning of /dev/log/system
04-24 17:35:05.860 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-24 17:35:05.920 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-24 17:35:06.050 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-24 17:35:06.050 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-24 17:35:10.950 D/VoldCmdListener(   78): volume list
04-24 17:35:10.960 D/VoldCmdListener(   78): volume mount sdcard
04-24 17:35:10.960 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-24 17:35:10.960 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-24 17:35:10.960 W/Vold    (   78): Skipping fs checks
04-24 17:35:11.000 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-24 17:35:11.010 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-24 17:35:12.220 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-24 17:35:12.220 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-24 17:35:12.220 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-24 17:35:12.230 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-24 17:35:12.230 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-24 17:35:12.300 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-24 17:35:12.300 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-24 17:35:12.300 D/BTWIFIMAC(   94): ===========BT MAC===========
04-24 17:35:12.300 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-24 17:35:12.300 D/BTWIFIMAC(   94): send_to_modem
04-24 17:35:12.300 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-24 17:35:12.300 D/SPRDENG (  163): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-24 17:35:12.300 D/SPRDENG (  163): AT > AT+SNVM=0,401
04-24 17:35:12.300 D/SPRDENG (  163): 41
04-24 17:35:12.300 D/SPRDENG (  163): 54
04-24 17:35:12.300 D/SPRDENG (  163): 2b
04-24 17:35:12.300 D/SPRDENG (  163): 53
04-24 17:35:12.300 D/SPRDENG (  163): 4e
04-24 17:35:12.300 D/SPRDENG (  163): 56
04-24 17:35:12.300 D/SPRDENG (  163): 4d
04-24 17:35:12.300 D/SPRDENG (  163): 3d
04-24 17:35:12.300 D/SPRDENG (  163): 30
04-24 17:35:12.300 D/SPRDENG (  163): 2c
04-24 17:35:12.300 D/SPRDENG (  163): 34
04-24 17:35:12.300 D/SPRDENG (  163): 30
04-24 17:35:12.300 D/SPRDENG (  163): 31
04-24 17:35:12.300 D/SPRDENG (  163): eng_modem2server: use SIM1 /dev/CHNPTY13
04-24 17:35:12.300 D/SPRDENG (  163): AT < 
04-24 17:35:12.300 D/SPRDENG (  163): +SNVM: 8,FFFFFFFFFFFF2500
04-24 17:35:12.300 D/SPRDENG (  163): 
