--------- beginning of /dev/log/system
04-28 08:03:56.850 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-28 08:03:56.960 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 08:03:57.000 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-28 08:03:57.000 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-28 08:04:01.940 D/VoldCmdListener(   78): volume list
04-28 08:04:01.950 D/VoldCmdListener(   78): volume mount sdcard
04-28 08:04:01.950 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-28 08:04:01.950 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-28 08:04:01.950 W/Vold    (   78): Skipping fs checks
04-28 08:04:01.990 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-28 08:04:01.990 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-28 08:04:03.110 D/SPRDENG (  153): AT > AT+SNVM=0,401
04-28 08:04:03.110 D/SPRDENG (  153): 41
04-28 08:04:03.110 D/SPRDENG (  153): 54
04-28 08:04:03.110 D/SPRDENG (  153): 2b
04-28 08:04:03.110 D/SPRDENG (  153): 53
04-28 08:04:03.110 D/SPRDENG (  153): 4e
04-28 08:04:03.110 D/SPRDENG (  153): 56
04-28 08:04:03.110 D/SPRDENG (  153): 4d
04-28 08:04:03.110 D/SPRDENG (  153): 3d
04-28 08:04:03.110 D/SPRDENG (  153): 30
04-28 08:04:03.110 D/SPRDENG (  153): 2c
04-28 08:04:03.110 D/SPRDENG (  153): 34
04-28 08:04:03.110 D/SPRDENG (  153): 30
04-28 08:04:03.110 D/SPRDENG (  153): 31
04-28 08:04:03.110 D/SPRDENG (  153): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 08:04:03.110 D/SPRDENG (  153): AT < 
04-28 08:04:03.110 D/SPRDENG (  153): +SNVM: 8,FFFFFFFFFFFF2500
04-28 08:04:03.110 D/SPRDENG (  153): 
04-28 08:04:03.110 D/SPRDENG (  153): OK
04-28 08:04:03.110 D/SPRDENG (  153): 
04-28 08:04:03.110 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-28 08:04:03.110 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-28 08:04:03.110 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-28 08:04:03.110 D/BTWIFIMAC(   97): 
04-28 08:04:03.110 D/BTWIFIMAC(   97): OK
04-28 08:04:03.110 D/BTWIFIMAC(   97): 
04-28 08:04:03.210 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 08:04:03.210 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-28 08:04:03.210 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-28 08:04:03.210 D/BTWIFIMAC(   97): send_to_modem
04-28 08:04:03.210 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-28 08:04:03.210 D/SPRDENG (  153): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 08:04:03.210 D/SPRDENG (  153): AT > AT+SNVM=0,409
04-28 08:04:03.210 D/SPRDENG (  153): 41
04-28 08:04:03.210 D/SPRDENG (  153): 54
04-28 08:04:03.210 D/SPRDENG (  153): 2b
04-28 08:04:03.210 D/SPRDENG (  153): 53
04-28 08:04:03.210 D/SPRDENG (  153): 4e
04-28 08:04:03.210 D/SPRDENG (  153): 56
04-28 08:04:03.210 D/SPRDENG (  153): 4d
04-28 08:04:03.210 D/SPRDENG (  153): 3d
04-28 08:04:03.210 D/SPRDENG (  153): 30
04-28 08:04:03.210 D/SPRDENG (  153): 2c
04-28 08:04:03.210 D/SPRDENG (  153): 34
04-28 08:04:03.210 D/SPRDENG (  153): 30
04-28 08:04:03.210 D/SPRDENG (  153): 39
04-28 08:04:03.210 D/SPRDENG (  153): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 08:04:03.210 D/SPRDENG (  153): AT < 
04-28 08:04:03.210 D/SPRDENG (  153): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 08:04:03.210 D/SPRDENG (  153): 
04-28 08:04:03.210 D/SPRDENG (  153): OK
04-28 08:04:03.210 D/SPRDENG (  153): 
04-28 08:04:03.210 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-28 08:04:03.210 D/BTWIFIMAC(   97): read_btwifimac_from_modem: WIFI timeout=60, response=
04-28 08:04:03.210 D/BTWIFIMAC(   97): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 08:04:03.210 D/BTWIFIMAC(   97): 
04-28 08:04:03.210 D/BTWIFIMAC(   97): OK
04-28 08:04:03.210 D/BTWIFIMAC(   97): 
04-28 08:04:03.210 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 08:04:03.210 D/BTWIFIMAC(   97): bt_ok:0 wifi_ok:0 
04-28 08:04:03.210 D/BTWIFIMAC(   97): +mac_rand+
04-28 08:04:03.210 D/BTWIFIMAC(   97): mac_rand: /data/rand_mac.txt exists
04-28 08:04:03.220 D/BTWIFIMAC(   97): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-28 08:04:03.220 D/BTWIFIMAC(   97): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-28 08:04:03.220 D/BTWIFIMAC(   97): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-28 08:04:03.220 D/BTWIFIMAC(   97): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-28 08:04:03.220 D/BTWIFIMAC(   97): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-28 08:04:03.220 D/BTWIFIMAC(   97): begin to run  trout_genpskey
04-28 08:04:03.220 D/BTWIFIMAC(   97): run trout_genpskey, ret=0
04-28 08:04:03.250 D/pskey_bt(  329): set BT mac
04-28 08:04:03.250 D/pskey_bt(  329): main, bt_mac from nv:
04-28 08:04:03.250 D/pskey_bt(  329): get_pskey_from_file
04-28 08:04:03.250 D/pskey_bt(  329): open bt pskey structure file fd=7
04-28 08:04:03.250 D/pskey_bt(  329): buf from pskey file:2048
04-28 08:04:03.250 D/pskey_bt(  329): parser_pskey_info
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x0
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u8: here:0
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x1
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u8: here:1
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): char:8, 8
04-28 08:04:03.250 D/pskey_bt(  329): char:C, C
04-28 08:04:03.250 D/pskey_bt(  329): char:B, B
04-28 08:04:03.250 D/pskey_bt(  329): char:A, A
04-28 08:04:03.250 D/pskey_bt(  329): char:8, 8
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x18cba80
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:18cba80
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): char:f, f
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x1f00
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:1f00
04-28 08:04:03.250 D/pskey_bt(  329): char:1, 1
04-28 08:04:03.250 D/pskey_bt(  329): char:E, E
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x1e
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:1e
04-28 08:04:03.250 D/pskey_bt(  329): char:7, 7
04-28 08:04:03.250 D/pskey_bt(  329): char:B, B
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:7, 7
04-28 08:04:03.250 D/pskey_bt(  329): char:C, C
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x7b007c
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:7b007c
04-28 08:04:03.250 D/pskey_bt(  329): char:3, 3
04-28 08:04:03.250 D/pskey_bt(  329): char:7, 7
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:7, 7
04-28 08:04:03.250 D/pskey_bt(  329): char:A, A
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x37007a
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:37007a
04-28 08:04:03.250 D/pskey_bt(  329): char:3, 3
04-28 08:04:03.250 D/pskey_bt(  329): char:5, 5
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:3, 3
04-28 08:04:03.250 D/pskey_bt(  329): char:6, 6
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x350036
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:350036
04-28 08:04:03.250 D/pskey_bt(  329): char:2, 2
04-28 08:04:03.250 D/pskey_bt(  329): char:9, 9
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:3, 3
04-28 08:04:03.250 D/pskey_bt(  329): char:4, 4
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x290034
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:290034
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:A, A
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:2, 2
04-28 08:04:03.250 D/pskey_bt(  329): char:8, 8
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0xa0028
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:a0028
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:6, 6
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:0, 0
04-28 08:04:03.250 D/pskey_bt(  329): char:9, 9
04-28 08:04:03.250 D/pskey_bt(  329): get_one_item(data) = 0x60009
04-28 08:04:03.250 D/pskey_bt(  329): get_next_u32: here:60009
04-28 08:04:03.250 D/pskey_bt(  329): end of buff, str=},
04-28 08:04:03.250 D/pskey_bt(  329): {0x0B,0x0A,0x09, 0x08, 0x07},
04-28 08:04:03.250 D/pskey_bt(  329): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
04-28 08:04:03.250 D/pskey_bt(  329):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
04-28 08:04:03.250 D/pskey_bt(  329): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
