--------- beginning of /dev/log/system
04-24 19:17:01.300 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-24 19:17:01.300 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-24 19:17:01.400 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-24 19:17:01.410 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-24 19:17:06.440 D/VoldCmdListener(   78): volume list
04-24 19:17:06.450 D/VoldCmdListener(   78): volume mount sdcard
04-24 19:17:06.450 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-24 19:17:06.450 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-24 19:17:06.450 W/Vold    (   78): Skipping fs checks
04-24 19:17:06.490 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-24 19:17:06.490 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-24 19:17:07.690 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-24 19:17:07.840 E/eng_rf_nv_update(   93): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-24 19:17:07.840 E/eng_rf_nv_update(   93): [eng_rf_nv_update]: end eng rf nv update!
04-24 19:17:07.840 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-24 19:17:07.840 D/BTWIFIMAC(   97): read_btwifimac_from_modem
04-24 19:17:07.840 D/BTWIFIMAC(   97): read_btwifimac_from_modem modem_fd=7
04-24 19:17:07.840 D/BTWIFIMAC(   97): ===========BT MAC===========
04-24 19:17:07.840 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-24 19:17:07.840 D/BTWIFIMAC(   97): send_to_modem
04-24 19:17:07.840 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-24 19:17:07.850 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-24 19:17:07.850 D/SPRDENG (  156): AT > AT+SNVM=0,401
04-24 19:17:07.850 D/SPRDENG (  156): 41
04-24 19:17:07.850 D/SPRDENG (  156): 54
04-24 19:17:07.850 D/SPRDENG (  156): 2b
04-24 19:17:07.850 D/SPRDENG (  156): 53
04-24 19:17:07.850 D/SPRDENG (  156): 4e
04-24 19:17:07.850 D/SPRDENG (  156): 56
04-24 19:17:07.850 D/SPRDENG (  156): 4d
04-24 19:17:07.850 D/SPRDENG (  156): 3d
04-24 19:17:07.850 D/SPRDENG (  156): 30
04-24 19:17:07.850 D/SPRDENG (  156): 2c
04-24 19:17:07.850 D/SPRDENG (  156): 34
04-24 19:17:07.850 D/SPRDENG (  156): 30
04-24 19:17:07.850 D/SPRDENG (  156): 31
04-24 19:17:07.850 D/SPRDENG (  156): eng_modem2server: use SIM1 /dev/CHNPTY13
04-24 19:17:07.850 D/SPRDENG (  156): AT < 
04-24 19:17:07.850 D/SPRDENG (  156): +SNVM: 8,FFFFFFFFFFFF2500
04-24 19:17:07.850 D/SPRDENG (  156): 
04-24 19:17:07.850 D/SPRDENG (  156): OK
04-24 19:17:07.850 D/SPRDENG (  156): 
04-24 19:17:07.850 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-24 19:17:07.850 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-24 19:17:07.850 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-24 19:17:07.850 D/BTWIFIMAC(   97): 
04-24 19:17:07.850 D/BTWIFIMAC(   97): OK
04-24 19:17:07.850 D/BTWIFIMAC(   97): 
04-24 19:17:07.950 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-24 19:17:07.950 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-24 19:17:07.950 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-24 19:17:07.950 D/BTWIFIMAC(   97): send_to_modem
04-24 19:17:07.950 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-24 19:17:07.950 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-24 19:17:07.950 D/SPRDENG (  156): AT > AT+SNVM=0,409
04-24 19:17:07.950 D/SPRDENG (  156): 41
04-24 19:17:07.950 D/SPRDENG (  156): 54
04-24 19:17:07.950 D/SPRDENG (  156): 2b
04-24 19:17:07.950 D/SPRDENG (  156): 53
04-24 19:17:07.950 D/SPRDENG (  156): 4e
04-24 19:17:07.950 D/SPRDENG (  156): 56
04-24 19:17:07.950 D/SPRDENG (  156): 4d
04-24 19:17:07.950 D/SPRDENG (  156): 3d
04-24 19:17:07.950 D/SPRDENG (  156): 30
