--------- beginning of /dev/log/system
04-25 05:37:39.580 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 05:37:39.580 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 05:37:39.670 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 05:37:39.670 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 05:37:44.730 D/VoldCmdListener(   78): volume list
04-25 05:37:44.740 D/VoldCmdListener(   78): volume mount sdcard
04-25 05:37:44.740 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 05:37:44.740 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 05:37:44.740 W/Vold    (   78): Skipping fs checks
04-25 05:37:44.790 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 05:37:44.790 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 05:37:45.880 D/EventHub(   84): No input device configuration file found for device 'rohm_proximity'.
04-25 05:37:45.880 D/Sensors (   84): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-25 05:37:45.880 D/Sensors (   84): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-25 05:37:45.880 D/Sensors (   84): activate handle=0; drv=0
04-25 05:37:45.890 D/Sensors (   84): Lis3dhSensor: Control set 1
04-25 05:37:45.890 D/Sensors (   84): Lis3dhSensor: mEnabled = 1
04-25 05:37:45.920 E/filemap (   84): mmap(0,4096) failed: No such device
04-25 05:37:45.930 W/EventHub(   84): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-25 05:37:45.930 I/EventHub(   84): New device: id=6, fd=55, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-25 05:37:45.940 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-25 05:37:45.940 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-25 05:37:45.940 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-25 05:37:45.940 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-25 05:37:45.940 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-25 05:37:46.030 D/BTWIFIMAC(   97): read_btwifimac_from_modem
04-25 05:37:46.030 D/BTWIFIMAC(   97): read_btwifimac_from_modem modem_fd=7
04-25 05:37:46.030 D/BTWIFIMAC(   97): ===========BT MAC===========
04-25 05:37:46.030 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 05:37:46.030 D/BTWIFIMAC(   97): send_to_modem
