--------- beginning of /dev/log/system
04-28 05:08:43.870 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-28 05:08:43.870 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 05:08:43.950 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-28 05:08:43.950 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-28 05:08:49.020 D/VoldCmdListener(   78): volume list
04-28 05:08:49.030 D/VoldCmdListener(   78): volume mount sdcard
04-28 05:08:49.030 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-28 05:08:49.030 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-28 05:08:49.030 W/Vold    (   78): Skipping fs checks
04-28 05:08:49.080 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-28 05:08:49.090 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-28 05:08:50.430 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-28 05:08:50.430 D/SPRDENG (  157): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 05:08:50.430 D/SPRDENG (  157): AT > AT+SNVM=0,409
04-28 05:08:50.430 D/SPRDENG (  157): 41
04-28 05:08:50.430 D/SPRDENG (  157): 54
04-28 05:08:50.430 D/SPRDENG (  157): 2b
04-28 05:08:50.430 D/SPRDENG (  157): 53
04-28 05:08:50.430 D/SPRDENG (  157): 4e
04-28 05:08:50.430 D/SPRDENG (  157): 56
04-28 05:08:50.430 D/SPRDENG (  157): 4d
04-28 05:08:50.430 D/SPRDENG (  157): 3d
04-28 05:08:50.430 D/SPRDENG (  157): 30
04-28 05:08:50.430 D/SPRDENG (  157): 2c
04-28 05:08:50.430 D/SPRDENG (  157): 34
04-28 05:08:50.430 D/SPRDENG (  157): 30
04-28 05:08:50.430 D/SPRDENG (  157): 39
04-28 05:08:50.430 D/SPRDENG (  157): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 05:08:50.430 D/SPRDENG (  157): AT < 
04-28 05:08:50.430 D/SPRDENG (  157): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:08:50.430 D/SPRDENG (  157): 
04-28 05:08:50.430 D/SPRDENG (  157): OK
04-28 05:08:50.430 D/SPRDENG (  157): 
04-28 05:08:50.440 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-28 05:08:50.440 D/BTWIFIMAC(   97): read_btwifimac_from_modem: WIFI timeout=60, response=
04-28 05:08:50.440 D/BTWIFIMAC(   97): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:08:50.440 D/BTWIFIMAC(   97): 
04-28 05:08:50.440 D/BTWIFIMAC(   97): OK
04-28 05:08:50.440 D/BTWIFIMAC(   97): 
04-28 05:08:50.440 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 05:08:50.440 D/BTWIFIMAC(   97): bt_ok:0 wifi_ok:0 
04-28 05:08:50.440 D/BTWIFIMAC(   97): +mac_rand+
04-28 05:08:50.440 D/BTWIFIMAC(   97): mac_rand: /data/rand_mac.txt exists
04-28 05:08:50.440 D/BTWIFIMAC(   97): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-28 05:08:50.440 D/BTWIFIMAC(   97): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-28 05:08:50.440 D/BTWIFIMAC(   97): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-28 05:08:50.440 D/BTWIFIMAC(   97): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-28 05:08:50.450 D/BTWIFIMAC(   97): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-28 05:08:50.450 D/BTWIFIMAC(   97): begin to run  trout_genpskey
