--------- beginning of /dev/log/system
04-26 18:54:53.740 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 18:54:53.790 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 18:54:53.850 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 18:54:53.880 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 18:54:58.900 D/VoldCmdListener(   78): volume list
04-26 18:54:58.910 D/VoldCmdListener(   78): volume mount sdcard
04-26 18:54:58.910 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 18:54:58.910 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 18:54:58.910 W/Vold    (   78): Skipping fs checks
04-26 18:54:58.950 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 18:54:58.950 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 18:55:00.200 D/BTWIFIMAC(   97): read_btwifimac_from_modem modem_fd=7
04-26 18:55:00.200 D/BTWIFIMAC(   97): ===========BT MAC===========
04-26 18:55:00.200 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 18:55:00.200 D/BTWIFIMAC(   97): send_to_modem
04-26 18:55:00.200 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-26 18:55:00.200 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 18:55:00.200 D/SPRDENG (  155): AT > AT+SNVM=0,401
04-26 18:55:00.200 D/SPRDENG (  155): 41
04-26 18:55:00.200 D/SPRDENG (  155): 54
04-26 18:55:00.200 D/SPRDENG (  155): 2b
04-26 18:55:00.200 D/SPRDENG (  155): 53
04-26 18:55:00.200 D/SPRDENG (  155): 4e
04-26 18:55:00.200 D/SPRDENG (  155): 56
04-26 18:55:00.200 D/SPRDENG (  155): 4d
04-26 18:55:00.200 D/SPRDENG (  155): 3d
04-26 18:55:00.200 D/SPRDENG (  155): 30
04-26 18:55:00.200 D/SPRDENG (  155): 2c
04-26 18:55:00.200 D/SPRDENG (  155): 34
04-26 18:55:00.200 D/SPRDENG (  155): 30
04-26 18:55:00.200 D/SPRDENG (  155): 31
04-26 18:55:00.200 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 18:55:00.210 D/SPRDENG (  155): AT < 
04-26 18:55:00.210 D/SPRDENG (  155): +SNVM: 8,FFFFFFFFFFFF2500
04-26 18:55:00.210 D/SPRDENG (  155): 
04-26 18:55:00.210 D/SPRDENG (  155): OK
04-26 18:55:00.210 D/SPRDENG (  155): 
04-26 18:55:00.210 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-26 18:55:00.210 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-26 18:55:00.210 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-26 18:55:00.210 D/BTWIFIMAC(   97): 
04-26 18:55:00.210 D/BTWIFIMAC(   97): OK
04-26 18:55:00.210 D/BTWIFIMAC(   97): 
04-26 18:55:00.210 E/eng_rf_nv_update(   93): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-26 18:55:00.210 E/eng_rf_nv_update(   93): [eng_rf_nv_update]: end eng rf nv update!
04-26 18:55:00.220 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-26 18:55:00.310 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 18:55:00.310 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-26 18:55:00.310 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 18:55:00.310 D/BTWIFIMAC(   97): send_to_modem
04-26 18:55:00.310 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
