--------- beginning of /dev/log/system
04-28 02:35:34.700 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-28 02:35:34.780 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 02:35:34.890 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-28 02:35:34.890 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-28 02:35:39.880 D/VoldCmdListener(   78): volume list
04-28 02:35:39.890 D/VoldCmdListener(   78): volume mount sdcard
04-28 02:35:39.890 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-28 02:35:39.890 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-28 02:35:39.890 W/Vold    (   78): Skipping fs checks
04-28 02:35:39.930 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-28 02:35:39.930 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-28 02:35:41.040 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-28 02:35:41.040 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-28 02:35:41.040 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-28 02:35:41.040 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-28 02:35:41.040 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-28 02:35:41.100 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 02:35:41.100 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-28 02:35:41.100 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-28 02:35:41.100 D/BTWIFIMAC(   97): send_to_modem
04-28 02:35:41.100 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-28 02:35:41.100 D/SPRDENG (  153): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 02:35:41.100 D/SPRDENG (  153): AT > AT+SNVM=0,409
04-28 02:35:41.100 D/SPRDENG (  153): 41
04-28 02:35:41.100 D/SPRDENG (  153): 54
04-28 02:35:41.100 D/SPRDENG (  153): 2b
04-28 02:35:41.100 D/SPRDENG (  153): 53
04-28 02:35:41.100 D/SPRDENG (  153): 4e
04-28 02:35:41.100 D/SPRDENG (  153): 56
04-28 02:35:41.100 D/SPRDENG (  153): 4d
04-28 02:35:41.100 D/SPRDENG (  153): 3d
04-28 02:35:41.100 D/SPRDENG (  153): 30
04-28 02:35:41.100 D/SPRDENG (  153): 2c
04-28 02:35:41.100 D/SPRDENG (  153): 34
04-28 02:35:41.100 D/SPRDENG (  153): 30
04-28 02:35:41.100 D/SPRDENG (  153): 39
