--------- beginning of /dev/log/system
04-27 10:29:54.820 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 10:29:54.850 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 10:29:54.940 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 10:29:54.940 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 10:29:59.860 D/VoldCmdListener(   78): volume list
04-27 10:29:59.870 D/VoldCmdListener(   78): volume mount sdcard
04-27 10:29:59.870 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 10:29:59.870 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 10:29:59.870 W/Vold    (   78): Skipping fs checks
04-27 10:29:59.920 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 10:29:59.930 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 10:30:01.200 D/SPRDENG (  164): 30
04-27 10:30:01.200 D/SPRDENG (  164): 2c
04-27 10:30:01.200 D/SPRDENG (  164): 34
04-27 10:30:01.200 D/SPRDENG (  164): 30
04-27 10:30:01.200 D/SPRDENG (  164): 31
04-27 10:30:01.200 D/SPRDENG (  164): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 10:30:01.200 D/SPRDENG (  164): AT < 
04-27 10:30:01.200 D/SPRDENG (  164): +SNVM: 8,FFFFFFFFFFFF2500
04-27 10:30:01.200 D/SPRDENG (  164): 
04-27 10:30:01.200 D/SPRDENG (  164): OK
04-27 10:30:01.200 D/SPRDENG (  164): 
04-27 10:30:01.200 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-27 10:30:01.200 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-27 10:30:01.200 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-27 10:30:01.200 D/BTWIFIMAC(   97): 
04-27 10:30:01.200 D/BTWIFIMAC(   97): OK
04-27 10:30:01.200 D/BTWIFIMAC(   97): 
04-27 10:30:01.230 E/eng_rf_nv_update(   88): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-27 10:30:01.230 E/eng_rf_nv_update(   88): [eng_rf_nv_update]: end eng rf nv update!
