--------- beginning of /dev/log/system
04-27 04:26:53.650 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-27 04:26:53.650 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 04:26:53.790 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-27 04:26:53.790 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-27 04:26:58.760 D/VoldCmdListener(   78): volume list
04-27 04:26:58.770 D/VoldCmdListener(   78): volume mount sdcard
04-27 04:26:58.770 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-27 04:26:58.770 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-27 04:26:58.770 W/Vold    (   78): Skipping fs checks
04-27 04:26:58.820 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-27 04:26:58.830 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-27 04:26:59.990 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-27 04:26:59.990 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-27 04:26:59.990 D/BTWIFIMAC(   97): 
04-27 04:26:59.990 D/BTWIFIMAC(   97): OK
04-27 04:26:59.990 D/BTWIFIMAC(   97): 
04-27 04:27:00.000 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 04:27:00.000 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 04:27:00.000 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 04:27:00.000 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 04:27:00.000 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 04:27:00.030 E/eng_rf_nv_update(   94): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-27 04:27:00.030 E/eng_rf_nv_update(   94): [eng_rf_nv_update]: end eng rf nv update!
04-27 04:27:00.030 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-27 04:27:00.090 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 04:27:00.090 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-27 04:27:00.090 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 04:27:00.090 D/BTWIFIMAC(   97): send_to_modem
04-27 04:27:00.090 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-27 04:27:00.090 D/SPRDENG (  169): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 04:27:00.090 D/SPRDENG (  169): AT > AT+SNVM=0,409
04-27 04:27:00.090 D/SPRDENG (  169): 41
04-27 04:27:00.090 D/SPRDENG (  169): 54
04-27 04:27:00.090 D/SPRDENG (  169): 2b
04-27 04:27:00.090 D/SPRDENG (  169): 53
04-27 04:27:00.090 D/SPRDENG (  169): 4e
04-27 04:27:00.090 D/SPRDENG (  169): 56
04-27 04:27:00.090 D/SPRDENG (  169): 4d
04-27 04:27:00.090 D/SPRDENG (  169): 3d
04-27 04:27:00.090 D/SPRDENG (  169): 30
04-27 04:27:00.090 D/SPRDENG (  169): 2c
04-27 04:27:00.090 D/SPRDENG (  169): 34
04-27 04:27:00.090 D/SPRDENG (  169): 30
04-27 04:27:00.090 D/SPRDENG (  169): 39
04-27 04:27:00.090 D/SPRDENG (  169): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 04:27:00.100 D/SPRDENG (  169): AT < 
04-27 04:27:00.100 D/SPRDENG (  169): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 04:27:00.100 D/SPRDENG (  169): 
04-27 04:27:00.100 D/SPRDENG (  169): OK
04-27 04:27:00.100 D/SPRDENG (  169): 
04-27 04:27:00.100 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-27 04:27:00.100 D/BTWIFIMAC(   97): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 04:27:00.100 D/BTWIFIMAC(   97): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 04:27:00.100 D/BTWIFIMAC(   97): 
04-27 04:27:00.100 D/BTWIFIMAC(   97): OK
04-27 04:27:00.100 D/BTWIFIMAC(   97): 
04-27 04:27:00.100 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 04:27:00.100 D/BTWIFIMAC(   97): bt_ok:0 wifi_ok:0 
04-27 04:27:00.100 D/BTWIFIMAC(   97): +mac_rand+
04-27 04:27:00.100 D/BTWIFIMAC(   97): mac_rand: /data/rand_mac.txt exists
04-27 04:27:00.100 D/BTWIFIMAC(   97): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-27 04:27:00.100 D/BTWIFIMAC(   97): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-27 04:27:00.100 D/BTWIFIMAC(   97): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-27 04:27:00.100 D/BTWIFIMAC(   97): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
04-27 04:27:00.100 D/BTWIFIMAC(   97): write_mac2file: mac=00:65:51:4d:eb:0e, fd[/data/btmac.txt]=9
04-27 04:27:00.110 D/BTWIFIMAC(   97): begin to run  trout_genpskey
04-27 04:27:00.110 D/BTWIFIMAC(   97): run trout_genpskey, ret=0
04-27 04:27:00.120 D/pskey_bt(  329): set BT mac
04-27 04:27:00.120 D/pskey_bt(  329): main, bt_mac from nv:
04-27 04:27:00.120 D/pskey_bt(  329): get_pskey_from_file
04-27 04:27:00.120 D/pskey_bt(  329): open bt pskey structure file fd=7
04-27 04:27:00.140 D/pskey_bt(  329): buf from pskey file:2048
04-27 04:27:00.140 D/pskey_bt(  329): parser_pskey_info
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x0
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u8: here:0
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x1
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u8: here:1
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x1
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u8: here:1
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x1
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u8: here:1
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): char:8, 8
04-27 04:27:00.140 D/pskey_bt(  329): char:C, C
04-27 04:27:00.140 D/pskey_bt(  329): char:B, B
04-27 04:27:00.140 D/pskey_bt(  329): char:A, A
04-27 04:27:00.140 D/pskey_bt(  329): char:8, 8
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x18cba80
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u32: here:18cba80
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): char:f, f
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x1f00
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u32: here:1f00
04-27 04:27:00.140 D/pskey_bt(  329): char:1, 1
04-27 04:27:00.140 D/pskey_bt(  329): char:E, E
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x1e
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u32: here:1e
04-27 04:27:00.140 D/pskey_bt(  329): char:7, 7
04-27 04:27:00.140 D/pskey_bt(  329): char:B, B
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
04-27 04:27:00.140 D/pskey_bt(  329): char:7, 7
04-27 04:27:00.140 D/pskey_bt(  329): char:C, C
04-27 04:27:00.140 D/pskey_bt(  329): get_one_item(data) = 0x7b007c
04-27 04:27:00.140 D/pskey_bt(  329): get_next_u32: here:7b007c
04-27 04:27:00.140 D/pskey_bt(  329): char:3, 3
04-27 04:27:00.140 D/pskey_bt(  329): char:7, 7
04-27 04:27:00.140 D/pskey_bt(  329): char:0, 0
