--------- beginning of /dev/log/system
04-26 12:45:35.600 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 12:45:35.670 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 12:45:35.690 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 12:45:35.730 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 12:45:40.670 D/VoldCmdListener(   78): volume list
04-26 12:45:40.680 D/VoldCmdListener(   78): volume mount sdcard
04-26 12:45:40.680 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 12:45:40.680 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 12:45:40.680 W/Vold    (   78): Skipping fs checks
04-26 12:45:40.720 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 12:45:40.720 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 12:45:42.150 D/pskey_bt(  329): char:0, 0
04-26 12:45:42.150 D/pskey_bt(  329): char:0, 0
04-26 12:45:42.150 D/pskey_bt(  329): char:6, 6
04-26 12:45:42.150 D/pskey_bt(  329): char:0, 0
04-26 12:45:42.150 D/pskey_bt(  329): char:0, 0
04-26 12:45:42.150 D/pskey_bt(  329): char:0, 0
04-26 12:45:42.150 D/pskey_bt(  329): char:9, 9
04-26 12:45:42.150 D/pskey_bt(  329): get_one_item(data) = 0x60009
04-26 12:45:42.150 D/pskey_bt(  329): get_next_u32: here:60009
04-26 12:45:42.150 D/pskey_bt(  329): end of buff, str=},
04-26 12:45:42.150 D/pskey_bt(  329): {0x0B,0x0A,0x09, 0x08, 0x07},
04-26 12:45:42.150 D/pskey_bt(  329): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
04-26 12:45:42.150 D/pskey_bt(  329):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
04-26 12:45:42.150 D/pskey_bt(  329): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
04-26 12:45:42.150 D/pskey_bt(  329): 0,
04-26 12:45:42.150 D/pskey_bt(  329): 1,
04-26 12:45:42.150 D/pskey_bt(  329): 5,
04-26 12:45:42.150 D/pskey_bt(  329): 0xE,
04-26 12:45:42.150 D/pskey_bt(  329): 1,
04-26 12:45:42.150 D/pskey_bt(  329): 1,
