--------- beginning of /dev/log/system
04-26 08:59:21.470 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 08:59:21.470 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 08:59:21.570 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 08:59:21.570 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 08:59:26.560 D/VoldCmdListener(   78): volume list
04-26 08:59:26.570 D/VoldCmdListener(   78): volume mount sdcard
04-26 08:59:26.570 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 08:59:26.570 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 08:59:26.570 W/Vold    (   78): Skipping fs checks
04-26 08:59:26.610 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 08:59:26.610 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 08:59:28.020 D/SPRDENG (  169): AT > AT+SNVM=0,401
04-26 08:59:28.020 D/SPRDENG (  169): 41
04-26 08:59:28.020 D/SPRDENG (  169): 54
04-26 08:59:28.020 D/SPRDENG (  169): 2b
04-26 08:59:28.020 D/SPRDENG (  169): 53
04-26 08:59:28.020 D/SPRDENG (  169): 4e
04-26 08:59:28.020 D/SPRDENG (  169): 56
04-26 08:59:28.020 D/SPRDENG (  169): 4d
04-26 08:59:28.020 D/SPRDENG (  169): 3d
04-26 08:59:28.020 D/SPRDENG (  169): 30
04-26 08:59:28.020 D/SPRDENG (  169): 2c
04-26 08:59:28.020 D/SPRDENG (  169): 34
04-26 08:59:28.020 D/SPRDENG (  169): 30
04-26 08:59:28.020 D/SPRDENG (  169): 31
04-26 08:59:28.020 D/SPRDENG (  169): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 08:59:28.020 D/SPRDENG (  169): AT < 
04-26 08:59:28.020 D/SPRDENG (  169): +SNVM: 8,FFFFFFFFFFFF2500
04-26 08:59:28.020 D/SPRDENG (  169): 
04-26 08:59:28.020 D/SPRDENG (  169): OK
04-26 08:59:28.020 D/SPRDENG (  169): 
04-26 08:59:28.020 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-26 08:59:28.020 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-26 08:59:28.020 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-26 08:59:28.020 D/BTWIFIMAC(   94): 
04-26 08:59:28.020 D/BTWIFIMAC(   94): OK
04-26 08:59:28.020 D/BTWIFIMAC(   94): 
04-26 08:59:28.120 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 08:59:28.120 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-26 08:59:28.120 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 08:59:28.120 D/BTWIFIMAC(   94): send_to_modem
