--------- beginning of /dev/log/system
04-26 16:11:40.670 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 16:11:40.760 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 16:11:40.830 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-26 16:11:40.830 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-26 16:11:45.790 D/VoldCmdListener(   78): volume list
04-26 16:11:45.800 D/VoldCmdListener(   78): volume mount sdcard
04-26 16:11:45.800 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-26 16:11:45.800 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-26 16:11:45.800 W/Vold    (   78): Skipping fs checks
04-26 16:11:45.850 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-26 16:11:45.850 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-26 16:11:47.160 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 16:11:47.160 D/SPRDENG (  160): AT > AT+SNVM=0,401
04-26 16:11:47.160 D/SPRDENG (  160): 41
04-26 16:11:47.160 D/SPRDENG (  160): 54
04-26 16:11:47.160 D/SPRDENG (  160): 2b
04-26 16:11:47.160 D/SPRDENG (  160): 53
04-26 16:11:47.160 D/SPRDENG (  160): 4e
04-26 16:11:47.160 D/SPRDENG (  160): 56
04-26 16:11:47.160 D/SPRDENG (  160): 4d
04-26 16:11:47.160 D/SPRDENG (  160): 3d
04-26 16:11:47.160 D/SPRDENG (  160): 30
04-26 16:11:47.160 D/SPRDENG (  160): 2c
04-26 16:11:47.160 D/SPRDENG (  160): 34
04-26 16:11:47.160 D/SPRDENG (  160): 30
04-26 16:11:47.160 D/SPRDENG (  160): 31
04-26 16:11:47.160 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 16:11:47.160 D/SPRDENG (  160): AT < 
04-26 16:11:47.160 D/SPRDENG (  160): +SNVM: 8,FFFFFFFFFFFF2500
04-26 16:11:47.160 D/SPRDENG (  160): 
04-26 16:11:47.160 D/SPRDENG (  160): OK
04-26 16:11:47.160 D/SPRDENG (  160): 
04-26 16:11:47.160 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-26 16:11:47.160 D/BTWIFIMAC(   97): read_btwifimac_from_modem: BT timeout=35, response=
04-26 16:11:47.160 D/BTWIFIMAC(   97): +SNVM: 8,FFFFFFFFFFFF2500
04-26 16:11:47.160 D/BTWIFIMAC(   97): 
04-26 16:11:47.160 D/BTWIFIMAC(   97): OK
04-26 16:11:47.160 D/BTWIFIMAC(   97): 
04-26 16:11:47.180 E/eng_rf_nv_update(   93): [set_rf_nvconf]: NV updated flag is 0xA5, don't need to update NV
04-26 16:11:47.180 E/eng_rf_nv_update(   93): [eng_rf_nv_update]: end eng rf nv update!
04-26 16:11:47.180 I/logwrapper(   83): /system/bin/eng_rf_nv_update terminated by exit(0)
04-26 16:11:47.260 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 16:11:47.260 D/BTWIFIMAC(   97): ===========WIFI MAC===========
04-26 16:11:47.260 D/BTWIFIMAC(   97): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 16:11:47.260 D/BTWIFIMAC(   97): send_to_modem
04-26 16:11:47.260 D/BTWIFIMAC(   97): recv_from_modem: Waiting modem response ... fd=7
04-26 16:11:47.260 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 16:11:47.260 D/SPRDENG (  160): AT > AT+SNVM=0,409
04-26 16:11:47.260 D/SPRDENG (  160): 41
04-26 16:11:47.260 D/SPRDENG (  160): 54
04-26 16:11:47.260 D/SPRDENG (  160): 2b
04-26 16:11:47.260 D/SPRDENG (  160): 53
04-26 16:11:47.260 D/SPRDENG (  160): 4e
04-26 16:11:47.260 D/SPRDENG (  160): 56
04-26 16:11:47.260 D/SPRDENG (  160): 4d
04-26 16:11:47.260 D/SPRDENG (  160): 3d
04-26 16:11:47.260 D/SPRDENG (  160): 30
04-26 16:11:47.260 D/SPRDENG (  160): 2c
04-26 16:11:47.260 D/SPRDENG (  160): 34
04-26 16:11:47.260 D/SPRDENG (  160): 30
04-26 16:11:47.260 D/SPRDENG (  160): 39
04-26 16:11:47.260 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 16:11:47.270 D/SPRDENG (  160): AT < 
04-26 16:11:47.270 D/SPRDENG (  160): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 16:11:47.270 D/SPRDENG (  160): 
04-26 16:11:47.270 D/SPRDENG (  160): OK
04-26 16:11:47.270 D/SPRDENG (  160): 
04-26 16:11:47.270 D/BTWIFIMAC(   97): recv_from_modem: Receive 1 Modem Response
04-26 16:11:47.270 D/BTWIFIMAC(   97): read_btwifimac_from_modem: WIFI timeout=60, response=
04-26 16:11:47.270 D/BTWIFIMAC(   97): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 16:11:47.270 D/BTWIFIMAC(   97): 
04-26 16:11:47.270 D/BTWIFIMAC(   97): OK
04-26 16:11:47.270 D/BTWIFIMAC(   97): 
04-26 16:11:47.270 D/BTWIFIMAC(   97): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 16:11:47.270 D/BTWIFIMAC(   97): bt_ok:0 wifi_ok:0 
04-26 16:11:47.270 D/BTWIFIMAC(   97): +mac_rand+
04-26 16:11:47.270 D/BTWIFIMAC(   97): mac_rand: /data/rand_mac.txt exists
04-26 16:11:47.270 D/BTWIFIMAC(   97): mac_rand: read /data/rand_mac.txt 00:65:51:4d:eb:0e;00:df:2e:66:ac:0a
04-26 16:11:47.270 D/BTWIFIMAC(   97): mac_rand: read btmac=00:65:51:4d:eb:0e, wifimac=00:df:2e:66:ac:0a
04-26 16:11:47.270 D/BTWIFIMAC(   97): property ro.mac.wifi=00:df:2e:66:ac:0a, ro.mac.bluetooth=00:65:51:4d:eb:0e
04-26 16:11:47.270 D/BTWIFIMAC(   97): write_mac2file: mac=00:df:2e:66:ac:0a, fd[/data/wifimac.txt]=9
