--------- beginning of /dev/log/system
04-25 14:16:11.010 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 14:16:11.040 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 14:16:11.090 D/Vold    (   78): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
04-25 14:16:11.090 D/Vold    (   78): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
04-25 14:16:15.840 D/VoldCmdListener(   78): volume list
04-25 14:16:15.850 D/VoldCmdListener(   78): volume mount sdcard
04-25 14:16:15.850 I/Vold    (   78): /dev/block/vold/179:1 being considered for volume sdcard
04-25 14:16:15.850 D/Vold    (   78): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
04-25 14:16:15.850 W/Vold    (   78): Skipping fs checks
04-25 14:16:15.890 I/Vold    (   78): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
04-25 14:16:15.910 D/Vold    (   78): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
04-25 14:16:17.120 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-25 14:16:17.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-25 14:16:17.130 D/BTWIFIMAC(   94): ===========BT MAC===========
04-25 14:16:17.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-25 14:16:17.130 D/BTWIFIMAC(   94): send_to_modem
04-25 14:16:17.130 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-25 14:16:17.130 D/SPRDENG (  168): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 14:16:17.130 D/SPRDENG (  168): AT > AT+SNVM=0,401
04-25 14:16:17.130 D/SPRDENG (  168): 41
04-25 14:16:17.130 D/SPRDENG (  168): 54
04-25 14:16:17.130 D/SPRDENG (  168): 2b
04-25 14:16:17.130 D/SPRDENG (  168): 53
04-25 14:16:17.130 D/SPRDENG (  168): 4e
04-25 14:16:17.130 D/SPRDENG (  168): 56
04-25 14:16:17.130 D/SPRDENG (  168): 4d
04-25 14:16:17.130 D/SPRDENG (  168): 3d
04-25 14:16:17.130 D/SPRDENG (  168): 30
04-25 14:16:17.130 D/SPRDENG (  168): 2c
04-25 14:16:17.130 D/SPRDENG (  168): 34
04-25 14:16:17.130 D/SPRDENG (  168): 30
04-25 14:16:17.130 D/SPRDENG (  168): 31
04-25 14:16:17.130 D/SPRDENG (  168): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 14:16:17.130 D/SPRDENG (  168): AT < 
04-25 14:16:17.130 D/SPRDENG (  168): +SNVM: 8,FFFFFFFFFFFF2500
04-25 14:16:17.130 D/SPRDENG (  168): 
04-25 14:16:17.130 D/SPRDENG (  168): OK
04-25 14:16:17.130 D/SPRDENG (  168): 
04-25 14:16:17.130 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-25 14:16:17.130 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
