--------- beginning of /dev/log/system
04-28 05:56:17.110 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-28 05:56:17.110 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 05:56:22.420 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-28 05:56:23.450 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-28 05:56:23.450 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-28 05:56:23.450 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-28 05:56:23.450 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-28 05:56:23.450 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-28 05:56:23.680 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-28 05:56:23.680 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-28 05:56:23.680 D/BTWIFIMAC(   96): ===========BT MAC===========
04-28 05:56:23.680 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-28 05:56:23.680 D/BTWIFIMAC(   96): send_to_modem
04-28 05:56:23.680 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-28 05:56:23.680 D/SPRDENG (  150): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 05:56:23.680 D/SPRDENG (  150): AT > AT+SNVM=0,401
04-28 05:56:23.680 D/SPRDENG (  150): 41
04-28 05:56:23.680 D/SPRDENG (  150): 54
04-28 05:56:23.680 D/SPRDENG (  150): 2b
04-28 05:56:23.680 D/SPRDENG (  150): 53
04-28 05:56:23.680 D/SPRDENG (  150): 4e
04-28 05:56:23.680 D/SPRDENG (  150): 56
04-28 05:56:23.680 D/SPRDENG (  150): 4d
04-28 05:56:23.680 D/SPRDENG (  150): 3d
04-28 05:56:23.680 D/SPRDENG (  150): 30
04-28 05:56:23.680 D/SPRDENG (  150): 2c
04-28 05:56:23.680 D/SPRDENG (  150): 34
04-28 05:56:23.680 D/SPRDENG (  150): 30
04-28 05:56:23.680 D/SPRDENG (  150): 31
04-28 05:56:23.680 D/SPRDENG (  150): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 05:56:23.680 D/SPRDENG (  150): AT < 
04-28 05:56:23.680 D/SPRDENG (  150): +SNVM: 8,FFFFFFFFFFFF2500
04-28 05:56:23.680 D/SPRDENG (  150): 
04-28 05:56:23.680 D/SPRDENG (  150): OK
04-28 05:56:23.680 D/SPRDENG (  150): 
04-28 05:56:23.680 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-28 05:56:23.680 D/BTWIFIMAC(   96): read_btwifimac_from_modem: BT timeout=35, response=
04-28 05:56:23.680 D/BTWIFIMAC(   96): +SNVM: 8,FFFFFFFFFFFF2500
04-28 05:56:23.680 D/BTWIFIMAC(   96): 
04-28 05:56:23.680 D/BTWIFIMAC(   96): OK
04-28 05:56:23.680 D/BTWIFIMAC(   96): 
04-28 05:56:23.790 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 05:56:23.790 D/BTWIFIMAC(   96): ===========WIFI MAC===========
04-28 05:56:23.790 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-28 05:56:23.790 D/BTWIFIMAC(   96): send_to_modem
04-28 05:56:23.790 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-28 05:56:23.790 D/SPRDENG (  150): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 05:56:23.790 D/SPRDENG (  150): AT > AT+SNVM=0,409
04-28 05:56:23.790 D/SPRDENG (  150): 41
04-28 05:56:23.790 D/SPRDENG (  150): 54
04-28 05:56:23.790 D/SPRDENG (  150): 2b
04-28 05:56:23.790 D/SPRDENG (  150): 53
04-28 05:56:23.790 D/SPRDENG (  150): 4e
04-28 05:56:23.790 D/SPRDENG (  150): 56
04-28 05:56:23.790 D/SPRDENG (  150): 4d
04-28 05:56:23.790 D/SPRDENG (  150): 3d
04-28 05:56:23.790 D/SPRDENG (  150): 30
04-28 05:56:23.790 D/SPRDENG (  150): 2c
04-28 05:56:23.790 D/SPRDENG (  150): 34
04-28 05:56:23.790 D/SPRDENG (  150): 30
04-28 05:56:23.790 D/SPRDENG (  150): 39
04-28 05:56:23.790 D/SPRDENG (  150): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 05:56:23.790 D/SPRDENG (  150): AT < 
04-28 05:56:23.790 D/SPRDENG (  150): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:56:23.790 D/SPRDENG (  150): 
04-28 05:56:23.790 D/SPRDENG (  150): OK
04-28 05:56:23.790 D/SPRDENG (  150): 
04-28 05:56:23.790 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-28 05:56:23.790 D/BTWIFIMAC(   96): read_btwifimac_from_modem: WIFI timeout=60, response=
04-28 05:56:23.790 D/BTWIFIMAC(   96): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:56:23.790 D/BTWIFIMAC(   96): 
04-28 05:56:23.790 D/BTWIFIMAC(   96): OK
04-28 05:56:23.790 D/BTWIFIMAC(   96): 
04-28 05:56:23.790 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 05:56:23.790 D/BTWIFIMAC(   96): bt_ok:0 wifi_ok:0 
04-28 05:56:23.790 D/BTWIFIMAC(   96): +mac_rand+
04-28 05:56:23.790 D/BTWIFIMAC(   96): mac_rand: /data/rand_mac.txt exists
04-28 05:56:23.790 D/BTWIFIMAC(   96): mac_rand: read /data/rand_mac.txt 00:c3:87:02:74:d3;00:b2:8b:a3:d0:dd
04-28 05:56:23.790 D/BTWIFIMAC(   96): mac_rand: read btmac=00:c3:87:02:74:d3, wifimac=00:b2:8b:a3:d0:dd
04-28 05:56:23.790 D/BTWIFIMAC(   96): property ro.mac.wifi=00:b2:8b:a3:d0:dd, ro.mac.bluetooth=00:c3:87:02:74:d3
04-28 05:56:23.810 D/BTWIFIMAC(   96): write_mac2file: mac=00:b2:8b:a3:d0:dd, fd[/data/wifimac.txt]=9
04-28 05:56:23.820 D/BTWIFIMAC(   96): write_mac2file: mac=00:c3:87:02:74:d3, fd[/data/btmac.txt]=9
04-28 05:56:23.830 D/BTWIFIMAC(   96): begin to run  trout_genpskey
04-28 05:56:23.830 D/BTWIFIMAC(   96): run trout_genpskey, ret=0
04-28 05:56:23.840 D/pskey_bt(  330): set BT mac
04-28 05:56:23.850 D/pskey_bt(  330): main, bt_mac from nv:
04-28 05:56:23.850 D/pskey_bt(  330): get_pskey_from_file
04-28 05:56:23.850 D/pskey_bt(  330): open bt pskey structure file fd=7
04-28 05:56:23.850 D/pskey_bt(  330): buf from pskey file:2048
04-28 05:56:23.870 D/pskey_bt(  330): parser_pskey_info
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x0
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u8: here:0
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x1
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u8: here:1
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x1
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u8: here:1
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x1
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u8: here:1
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): char:8, 8
04-28 05:56:23.870 D/pskey_bt(  330): char:C, C
04-28 05:56:23.870 D/pskey_bt(  330): char:B, B
04-28 05:56:23.870 D/pskey_bt(  330): char:A, A
04-28 05:56:23.870 D/pskey_bt(  330): char:8, 8
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x18cba80
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:18cba80
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): char:f, f
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x1f00
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:1f00
04-28 05:56:23.870 D/pskey_bt(  330): char:1, 1
04-28 05:56:23.870 D/pskey_bt(  330): char:E, E
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x1e
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:1e
04-28 05:56:23.870 D/pskey_bt(  330): char:7, 7
04-28 05:56:23.870 D/pskey_bt(  330): char:B, B
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:7, 7
04-28 05:56:23.870 D/pskey_bt(  330): char:C, C
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x7b007c
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:7b007c
04-28 05:56:23.870 D/pskey_bt(  330): char:3, 3
04-28 05:56:23.870 D/pskey_bt(  330): char:7, 7
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:7, 7
04-28 05:56:23.870 D/pskey_bt(  330): char:A, A
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x37007a
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:37007a
04-28 05:56:23.870 D/pskey_bt(  330): char:3, 3
04-28 05:56:23.870 D/pskey_bt(  330): char:5, 5
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:3, 3
04-28 05:56:23.870 D/pskey_bt(  330): char:6, 6
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x350036
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:350036
04-28 05:56:23.870 D/pskey_bt(  330): char:2, 2
04-28 05:56:23.870 D/pskey_bt(  330): char:9, 9
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:3, 3
04-28 05:56:23.870 D/pskey_bt(  330): char:4, 4
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x290034
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:290034
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:A, A
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:2, 2
04-28 05:56:23.870 D/pskey_bt(  330): char:8, 8
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0xa0028
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:a0028
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:6, 6
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:0, 0
04-28 05:56:23.870 D/pskey_bt(  330): char:9, 9
04-28 05:56:23.870 D/pskey_bt(  330): get_one_item(data) = 0x60009
04-28 05:56:23.870 D/pskey_bt(  330): get_next_u32: here:60009
04-28 05:56:23.870 D/pskey_bt(  330): end of buff, str=},
04-28 05:56:23.870 D/pskey_bt(  330): {0x0B,0x0A,0x09, 0x08, 0x07},
04-28 05:56:23.870 D/pskey_bt(  330): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
04-28 05:56:23.870 D/pskey_bt(  330):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
04-28 05:56:23.870 D/pskey_bt(  330): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
04-28 05:56:23.870 D/pskey_bt(  330): 0,
04-28 05:56:23.870 D/pskey_bt(  330): 1,
04-28 05:56:23.870 D/pskey_bt(  330): 5,
04-28 05:56:23.870 D/pskey_bt(  330): 0xE,
04-28 05:56:23.870 D/pskey_bt(  330): 1,
04-28 05:56:23.870 D/pskey_bt(  330): 1,
04-28 05:56:23.870 D/pskey_bt(  330): 0x50000000,
04-28 05:56:23.870 D/pskey_bt(  330): 0x50000150,
04-28 05:56:23.870 D/pskey_bt(  330): 0x50000150,
04-28 05:56:23.870 D/pskey_bt(  330): 0x50000154,
