--------- beginning of /dev/log/system
04-26 00:56:17.350 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 00:56:17.350 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 00:56:22.390 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 00:56:23.320 D/Sensors (   85): Lis3dhSensor: mEnabled = 1
04-26 00:56:23.340 D/EventHub(   85): No input device configuration file found for device 'sprd-keypad'.
04-26 00:56:23.340 W/EventHub(   85): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 00:56:23.340 I/EventHub(   85): New device: id=4, fd=56, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 00:56:23.340 D/EventHub(   85): No input device configuration file found for device 'rohm_proximity'.
04-26 00:56:23.380 E/filemap (   85): mmap(0,4096) failed: No such device
04-26 00:56:23.390 W/EventHub(   85): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 00:56:23.390 I/EventHub(   85): New device: id=6, fd=57, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 00:56:23.400 I/InputReader(   85): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 00:56:23.400 I/InputReader(   85): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 00:56:23.400 I/InputReader(   85): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 00:56:23.400 I/InputReader(   85): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 00:56:23.400 I/InputReader(   85): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 00:56:23.830 D/BTWIFIMAC(   95): read_btwifimac_from_modem
04-26 00:56:23.830 D/BTWIFIMAC(   95): read_btwifimac_from_modem modem_fd=7
04-26 00:56:23.830 D/BTWIFIMAC(   95): ===========BT MAC===========
04-26 00:56:23.830 D/BTWIFIMAC(   95): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 00:56:23.830 D/BTWIFIMAC(   95): send_to_modem
04-26 00:56:23.830 D/BTWIFIMAC(   95): recv_from_modem: Waiting modem response ... fd=7
04-26 00:56:23.830 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 00:56:23.830 D/SPRDENG (  155): AT > AT+SNVM=0,401
04-26 00:56:23.830 D/SPRDENG (  155): 41
04-26 00:56:23.830 D/SPRDENG (  155): 54
04-26 00:56:23.830 D/SPRDENG (  155): 2b
04-26 00:56:23.830 D/SPRDENG (  155): 53
04-26 00:56:23.830 D/SPRDENG (  155): 4e
04-26 00:56:23.830 D/SPRDENG (  155): 56
04-26 00:56:23.830 D/SPRDENG (  155): 4d
04-26 00:56:23.830 D/SPRDENG (  155): 3d
04-26 00:56:23.830 D/SPRDENG (  155): 30
04-26 00:56:23.830 D/SPRDENG (  155): 2c
04-26 00:56:23.830 D/SPRDENG (  155): 34
04-26 00:56:23.830 D/SPRDENG (  155): 30
04-26 00:56:23.830 D/SPRDENG (  155): 31
04-26 00:56:23.830 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 00:56:23.830 D/SPRDENG (  155): AT < 
04-26 00:56:23.830 D/SPRDENG (  155): +SNVM: 8,FFFFFFFFFFFF2500
04-26 00:56:23.830 D/SPRDENG (  155): 
04-26 00:56:23.830 D/SPRDENG (  155): OK
04-26 00:56:23.830 D/SPRDENG (  155): 
04-26 00:56:23.830 D/BTWIFIMAC(   95): recv_from_modem: Receive 1 Modem Response
04-26 00:56:23.830 D/BTWIFIMAC(   95): read_btwifimac_from_modem: BT timeout=35, response=
04-26 00:56:23.830 D/BTWIFIMAC(   95): +SNVM: 8,FFFFFFFFFFFF2500
04-26 00:56:23.830 D/BTWIFIMAC(   95): 
04-26 00:56:23.830 D/BTWIFIMAC(   95): OK
04-26 00:56:23.830 D/BTWIFIMAC(   95): 
04-26 00:56:23.930 D/BTWIFIMAC(   95): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 00:56:23.930 D/BTWIFIMAC(   95): ===========WIFI MAC===========
04-26 00:56:23.930 D/BTWIFIMAC(   95): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 00:56:23.930 D/BTWIFIMAC(   95): send_to_modem
04-26 00:56:23.930 D/BTWIFIMAC(   95): recv_from_modem: Waiting modem response ... fd=7
04-26 00:56:23.930 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 00:56:23.930 D/SPRDENG (  155): AT > AT+SNVM=0,409
04-26 00:56:23.930 D/SPRDENG (  155): 41
04-26 00:56:23.930 D/SPRDENG (  155): 54
04-26 00:56:23.930 D/SPRDENG (  155): 2b
04-26 00:56:23.930 D/SPRDENG (  155): 53
04-26 00:56:23.930 D/SPRDENG (  155): 4e
04-26 00:56:23.930 D/SPRDENG (  155): 56
04-26 00:56:23.930 D/SPRDENG (  155): 4d
04-26 00:56:23.930 D/SPRDENG (  155): 3d
04-26 00:56:23.930 D/SPRDENG (  155): 30
04-26 00:56:23.930 D/SPRDENG (  155): 2c
04-26 00:56:23.930 D/SPRDENG (  155): 34
