--------- beginning of /dev/log/main
04-26 06:27:33.932 I/Gecko   (   83): 1398518853937	Marionette	INFO	sendToClient: {"from":"0","value":"<div><img src=\"blob:8477253d-7476-4173-b294-7fe4c4385aac\" style=\"visibility: visible;\" role=\"presentation\" height=\"64\" width=\"64\"><span class=\"labelWrapper\"><span>Browser</span></span></div>"}, {2ce9610a-6aac-475b-9907-ff2fea877fc6}, {2ce9610a-6aac-475b-9907-ff2fea877fc6}
04-26 06:27:33.942 I/Gecko   (   83): 1398518853946	Marionette	INFO	sendToClient: {"from":"0","value":"app://homescreen.gaiamobile.org/index.html#root"}, {18314cd3-8221-4e36-bd31-118c90721ea9}, {18314cd3-8221-4e36-bd31-118c90721ea9}
04-26 06:27:33.942 I/Gecko   (   83): 1398518853953	Marionette	DEBUG	Got request: switchToFrame, data: {"to":"0","sessionId":"3-b2g","name":"switchToFrame","parameters":{"id":null,"focus":true}}, id: {16c525ba-606f-439a-b98d-927e96a68865}
04-26 06:27:33.982 I/Gecko   (   83): 1398518853995	Marionette	INFO	Switched to frame: {"frameValue":null}
04-26 06:27:34.162 I/Gecko   (   83): 1398518854168	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {16c525ba-606f-439a-b98d-927e96a68865}, {16c525ba-606f-439a-b98d-927e96a68865}
04-26 06:27:34.172 I/Gecko   (   83): 1398518854175	Marionette	DEBUG	Got request: switchToFrame, data: {"to":"0","sessionId":"3-b2g","name":"switchToFrame","parameters":{"id":null,"focus":true}}, id: {c7f2c619-eb5c-4217-b718-b445dae99a8a}
04-26 06:27:34.182 I/Gecko   (   83): 1398518854189	Marionette	INFO	Switched to frame: {"frameValue":null}
04-26 06:27:34.282 I/Gecko   (   83): 1398518854291	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {c7f2c619-eb5c-4217-b718-b445dae99a8a}, {c7f2c619-eb5c-4217-b718-b445dae99a8a}
04-26 06:27:34.292 I/Gecko   (   83): 1398518854300	Marionette	DEBUG	Got request: executeWithCallback, data: {"to":"0","sessionId":"3-b2g","name":"executeAsyncScript","parameters":{"specialPowers":false,"scriptTimeout":30000,"newSandbox":true,"args":[],"filename":"app_checker.py","script":"GaiaApps.launchWithManifestURL('https://marketplace.firefox.com/app/08dfceaf-b32a-4d78-a869-80bd5bb7c83b/manifest.webapp')","line":106}}, id: {aa970572-e6da-44e0-9b11-645659948a4d}
04-26 06:27:34.542 I/Gonk    (   83): Setting nice for pid 975 to 18
04-26 06:27:34.542 I/Gonk    (   83): Changed nice for pid 975 from 18 to 18.
04-26 06:27:34.542 I/Gecko   (   83): [Parent 83] WARNING: waitpid failed pid:975 errno:10: file ../../../gecko/ipc/chromium/src/base/process_util_posix.cc, line 254
04-26 06:27:34.552 I/Gonk    (   83): Setting nice for pid 975 to 1
04-26 06:27:34.552 I/Gonk    (   83): Changed nice for pid 975 from 18 to 1.
04-26 06:27:34.632 E/GeckoConsole(   83): Content JS LOG at dummy file:334 in GaiaApps.launch: launching app with name 'Color Puzzle'
04-26 06:27:34.902 E/[Gralloc-ERROR](   83): int gralloc_register_buffer(const gralloc_module_t*, const native_handle_t*):79 Unable to register handle 0x45ccbec0 coming from different process: 83
04-26 06:27:34.922 E/[Gralloc-ERROR](   83): int gralloc_register_buffer(const gralloc_module_t*, const native_handle_t*):79 Unable to register handle 0x45d6bdd0 coming from different process: 83
04-26 06:27:34.982 E/[Gralloc-ERROR](   83): int gralloc_register_buffer(const gralloc_module_t*, const native_handle_t*):79 Unable to register handle 0x45e501f0 coming from different process: 83
04-26 06:27:34.992 E/[Gralloc-ERROR](   83): int gralloc_register_buffer(const gralloc_module_t*, const native_handle_t*):79 Unable to register handle 0x45e50380 coming from different process: 83
04-26 06:27:35.332 D/Sensors (   83): activate handle=0; drv=0
04-26 06:27:35.342 D/Sensors (   83): Lis3dhSensor: Control set 1
04-26 06:27:35.342 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-26 06:27:35.362 I/Gonk    (   83): Setting nice for pid 954 to 18
04-26 06:27:35.362 I/Gonk    (   83): Changed nice for pid 954 from 1 to 18.
04-26 06:27:35.712 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'speak'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 561 column: 7 source: "  speak: none;"}]
04-26 06:27:35.722 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-osx-font-smoothing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 569 column: 25 source: "  -moz-osx-font-smoothing: grayscale; }"}]
04-26 06:27:35.732 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'user-select'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2272 column: 13 source: "  user-select: none;"}]
04-26 06:27:35.732 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2325 column: 12 source: "  box-sizing: content-box;"}]
04-26 06:27:35.732 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2466 column: 12 source: "  box-sizing: content-box;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown pseudo-class or pseudo-element '-webkit-search-cancel-button'.  Ruleset ignored due to bad selector." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2474 column: 22 source: "input[type="search"]::-webkit-search-cancel-button,"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2515 column: 12 source: "  box-sizing: border-box; }"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'font-smoothing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2526 column: 16 source: "  font-smoothing: antialiased;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'text-size-adjust'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2530 column: 18 source: "  text-size-adjust: none;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'user-select'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2536 column: 13 source: "  user-select: none;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'user-select'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2589 column: 13 source: "  user-select: none;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'text-size-adjust'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 2593 column: 18 source: "  text-size-adjust: none;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3052 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3053 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3055 column: 11 source: "  display: -moz-flex;"}]
