--------- beginning of /dev/log/system
04-27 15:41:52.340 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 15:41:52.390 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 15:41:57.270 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 15:41:58.280 I/EventHub(   83): New device: id=6, fd=58, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-27 15:41:58.290 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 15:41:58.290 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 15:41:58.290 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 15:41:58.290 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 15:41:58.290 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 15:41:58.700 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-27 15:41:58.700 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-27 15:41:58.700 D/BTWIFIMAC(   96): ===========BT MAC===========
04-27 15:41:58.700 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 15:41:58.700 D/BTWIFIMAC(   96): send_to_modem
04-27 15:41:58.700 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-27 15:41:58.700 D/SPRDENG (  151): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 15:41:58.700 D/SPRDENG (  151): AT > AT+SNVM=0,401
04-27 15:41:58.700 D/SPRDENG (  151): 41
04-27 15:41:58.700 D/SPRDENG (  151): 54
04-27 15:41:58.700 D/SPRDENG (  151): 2b
