--------- beginning of /dev/log/system
04-27 05:24:38.270 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 05:24:38.320 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 05:24:43.200 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 05:24:44.200 I/InputReader(   85): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 05:24:44.200 I/InputReader(   85): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 05:24:44.200 I/InputReader(   85): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 05:24:44.200 I/InputReader(   85): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 05:24:44.200 I/InputReader(   85): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 05:24:44.770 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-27 05:24:44.770 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-27 05:24:44.770 D/BTWIFIMAC(   96): ===========BT MAC===========
04-27 05:24:44.770 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 05:24:44.770 D/BTWIFIMAC(   96): send_to_modem
04-27 05:24:44.770 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-27 05:24:44.770 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 05:24:44.770 D/SPRDENG (  155): AT > AT+SNVM=0,401
04-27 05:24:44.770 D/SPRDENG (  155): 41
04-27 05:24:44.770 D/SPRDENG (  155): 54
04-27 05:24:44.770 D/SPRDENG (  155): 2b
04-27 05:24:44.770 D/SPRDENG (  155): 53
04-27 05:24:44.770 D/SPRDENG (  155): 4e
04-27 05:24:44.770 D/SPRDENG (  155): 56
04-27 05:24:44.770 D/SPRDENG (  155): 4d
04-27 05:24:44.770 D/SPRDENG (  155): 3d
04-27 05:24:44.770 D/SPRDENG (  155): 30
04-27 05:24:44.770 D/SPRDENG (  155): 2c
04-27 05:24:44.770 D/SPRDENG (  155): 34
04-27 05:24:44.770 D/SPRDENG (  155): 30
04-27 05:24:44.770 D/SPRDENG (  155): 31
04-27 05:24:44.770 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 05:24:44.770 D/SPRDENG (  155): AT < 
04-27 05:24:44.770 D/SPRDENG (  155): +SNVM: 8,FFFFFFFFFFFF2500
04-27 05:24:44.770 D/SPRDENG (  155): 
04-27 05:24:44.770 D/SPRDENG (  155): OK
04-27 05:24:44.770 D/SPRDENG (  155): 
04-27 05:24:44.770 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-27 05:24:44.770 D/BTWIFIMAC(   96): read_btwifimac_from_modem: BT timeout=35, response=
04-27 05:24:44.770 D/BTWIFIMAC(   96): +SNVM: 8,FFFFFFFFFFFF2500
04-27 05:24:44.770 D/BTWIFIMAC(   96): 
04-27 05:24:44.770 D/BTWIFIMAC(   96): OK
04-27 05:24:44.770 D/BTWIFIMAC(   96): 
04-27 05:24:44.840 I/Gonk    (   85): RIL[0]: OnConnectSuccess
04-27 05:24:44.870 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 05:24:44.870 D/BTWIFIMAC(   96): ===========WIFI MAC===========
04-27 05:24:44.870 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 05:24:44.870 D/BTWIFIMAC(   96): send_to_modem
04-27 05:24:44.870 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-27 05:24:44.870 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 05:24:44.870 D/SPRDENG (  155): AT > AT+SNVM=0,409
04-27 05:24:44.870 D/SPRDENG (  155): 41
04-27 05:24:44.870 D/SPRDENG (  155): 54
04-27 05:24:44.870 D/SPRDENG (  155): 2b
04-27 05:24:44.870 D/SPRDENG (  155): 53
04-27 05:24:44.870 D/SPRDENG (  155): 4e
04-27 05:24:44.870 D/SPRDENG (  155): 56
04-27 05:24:44.870 D/SPRDENG (  155): 4d
04-27 05:24:44.870 D/SPRDENG (  155): 3d
04-27 05:24:44.870 D/SPRDENG (  155): 30
04-27 05:24:44.870 D/SPRDENG (  155): 2c
04-27 05:24:44.870 D/SPRDENG (  155): 34
04-27 05:24:44.870 D/SPRDENG (  155): 30
04-27 05:24:44.870 D/SPRDENG (  155): 39
04-27 05:24:44.870 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 05:24:44.870 D/SPRDENG (  155): AT < 
04-27 05:24:44.870 D/SPRDENG (  155): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 05:24:44.870 D/SPRDENG (  155): 
04-27 05:24:44.870 D/SPRDENG (  155): OK
04-27 05:24:44.870 D/SPRDENG (  155): 
04-27 05:24:44.870 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-27 05:24:44.870 D/BTWIFIMAC(   96): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 05:24:44.870 D/BTWIFIMAC(   96): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 05:24:44.870 D/BTWIFIMAC(   96): 
04-27 05:24:44.870 D/BTWIFIMAC(   96): OK
04-27 05:24:44.870 D/BTWIFIMAC(   96): 
04-27 05:24:44.870 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 05:24:44.870 D/BTWIFIMAC(   96): bt_ok:0 wifi_ok:0 
04-27 05:24:44.870 D/BTWIFIMAC(   96): +mac_rand+
04-27 05:24:44.870 D/BTWIFIMAC(   96): mac_rand: /data/rand_mac.txt exists
04-27 05:24:44.870 D/BTWIFIMAC(   96): mac_rand: read /data/rand_mac.txt 00:c3:87:02:74:d3;00:b2:8b:a3:d0:dd
04-27 05:24:44.870 D/BTWIFIMAC(   96): mac_rand: read btmac=00:c3:87:02:74:d3, wifimac=00:b2:8b:a3:d0:dd
04-27 05:24:44.870 D/BTWIFIMAC(   96): property ro.mac.wifi=00:b2:8b:a3:d0:dd, ro.mac.bluetooth=00:c3:87:02:74:d3
04-27 05:24:44.880 D/BTWIFIMAC(   96): write_mac2file: mac=00:b2:8b:a3:d0:dd, fd[/data/wifimac.txt]=9
04-27 05:24:44.880 D/BTWIFIMAC(   96): write_mac2file: mac=00:c3:87:02:74:d3, fd[/data/btmac.txt]=9
04-27 05:24:44.880 D/BTWIFIMAC(   96): begin to run  trout_genpskey
04-27 05:24:44.880 D/BTWIFIMAC(   96): run trout_genpskey, ret=0
04-27 05:24:44.900 D/pskey_bt(  327): set BT mac
04-27 05:24:44.920 D/pskey_bt(  327): main, bt_mac from nv:
04-27 05:24:44.920 D/pskey_bt(  327): get_pskey_from_file
04-27 05:24:44.920 D/pskey_bt(  327): open bt pskey structure file fd=7
04-27 05:24:44.920 D/pskey_bt(  327): buf from pskey file:2048
04-27 05:24:44.920 D/pskey_bt(  327): parser_pskey_info
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x0
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u8: here:0
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x1
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u8: here:1
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x1
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u8: here:1
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x1
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u8: here:1
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): char:8, 8
04-27 05:24:44.920 D/pskey_bt(  327): char:C, C
04-27 05:24:44.920 D/pskey_bt(  327): char:B, B
04-27 05:24:44.920 D/pskey_bt(  327): char:A, A
04-27 05:24:44.920 D/pskey_bt(  327): char:8, 8
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x18cba80
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u32: here:18cba80
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): char:f, f
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x1f00
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u32: here:1f00
04-27 05:24:44.920 D/pskey_bt(  327): char:1, 1
04-27 05:24:44.920 D/pskey_bt(  327): char:E, E
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x1e
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u32: here:1e
04-27 05:24:44.920 D/pskey_bt(  327): char:7, 7
04-27 05:24:44.920 D/pskey_bt(  327): char:B, B
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:7, 7
04-27 05:24:44.920 D/pskey_bt(  327): char:C, C
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x7b007c
04-27 05:24:44.920 D/pskey_bt(  327): get_next_u32: here:7b007c
04-27 05:24:44.920 D/pskey_bt(  327): char:3, 3
04-27 05:24:44.920 D/pskey_bt(  327): char:7, 7
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:0, 0
04-27 05:24:44.920 D/pskey_bt(  327): char:7, 7
04-27 05:24:44.920 D/pskey_bt(  327): char:A, A
04-27 05:24:44.920 D/pskey_bt(  327): get_one_item(data) = 0x37007a
