--------- beginning of /dev/log/system
04-27 12:35:10.740 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 12:35:10.800 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 12:35:15.650 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 12:35:17.210 D/pskey_bt(  328): char:5, 5
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:3, 3
04-27 12:35:17.210 D/pskey_bt(  328): char:6, 6
04-27 12:35:17.210 D/pskey_bt(  328): get_one_item(data) = 0x350036
04-27 12:35:17.210 D/pskey_bt(  328): get_next_u32: here:350036
04-27 12:35:17.210 D/pskey_bt(  328): char:2, 2
04-27 12:35:17.210 D/pskey_bt(  328): char:9, 9
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:3, 3
04-27 12:35:17.210 D/pskey_bt(  328): char:4, 4
04-27 12:35:17.210 D/pskey_bt(  328): get_one_item(data) = 0x290034
04-27 12:35:17.210 D/pskey_bt(  328): get_next_u32: here:290034
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:A, A
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:2, 2
04-27 12:35:17.210 D/pskey_bt(  328): char:8, 8
04-27 12:35:17.210 D/pskey_bt(  328): get_one_item(data) = 0xa0028
04-27 12:35:17.210 D/pskey_bt(  328): get_next_u32: here:a0028
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:0, 0
04-27 12:35:17.210 D/pskey_bt(  328): char:6, 6
