--------- beginning of /dev/log/main
04-26 12:13:36.915 I/GonkMemoryPressure( 1775): Memory pressure is over.
04-26 12:13:36.925 I/GonkMemoryPressure(   83): Checking to see if memory pressure is over.
04-26 12:13:37.005 I/GonkMemoryPressure( 1829): Memory pressure is over.
04-26 12:13:37.815 I/Gecko   ( 1775): SharedSurface_Gralloc::Create -------
04-26 12:13:37.925 I/Gecko   ( 1775): SharedSurface_Gralloc::Create: success -- surface 0x481f8d80, GraphicBuffer 0x44275180.
04-26 12:13:38.595 I/Gecko   ( 1775): [SharedSurface_Gralloc 0x44527100] destroyed
04-26 12:13:39.595 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:44.605 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:45.605 E/Profiler(   83): BPUnw: [1 total] thread_unregister_for_profiling(me=0x6ee7c8)  (NOT REGISTERED) 
04-26 12:13:45.885 E/Profiler(   83): BPUnw: [1 total] thread_unregister_for_profiling(me=0x6ee888)  (NOT REGISTERED) 
04-26 12:13:45.885 E/Profiler(   83): BPUnw: [1 total] thread_unregister_for_profiling(me=0x6ee808)  (NOT REGISTERED) 
04-26 12:13:46.175 E/Profiler(   83): BPUnw: [1 total] thread_unregister_for_profiling(me=0x6ee8c8)  (NOT REGISTERED) 
04-26 12:13:46.185 E/Profiler(   83): BPUnw: [1 total] thread_unregister_for_profiling(me=0x6ee848)  (NOT REGISTERED) 
04-26 12:13:46.955 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d80, header: 0xd921f0, iRefCount: 0
04-26 12:13:46.965 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff38, header: 0xd8f338, iRefCount: 0
04-26 12:13:46.965 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e0, header: 0xd87f70, iRefCount: 0
04-26 12:13:46.965 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8c9f8, header: 0xd90828, iRefCount: 0
04-26 12:13:46.965 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5a8, header: 0xd88298, iRefCount: 0
04-26 12:13:46.965 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb10, header: 0xd90600, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5b0, header: 0xd88c08, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90c20, header: 0xd90038, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca00, header: 0xd91c78, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff40, header: 0xd90d28, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e8, header: 0xd89268, iRefCount: 0
04-26 12:13:46.985 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd903f0, header: 0xd8fbf8, iRefCount: 0
