--------- beginning of /dev/log/system
04-26 03:07:10.990 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 03:07:10.990 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 03:07:15.960 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 03:07:16.910 D/EventHub(   85): No input device configuration file found for device 'rohm_proximity'.
04-26 03:07:16.950 E/filemap (   85): mmap(0,4096) failed: No such device
04-26 03:07:16.960 W/EventHub(   85): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 03:07:16.960 I/EventHub(   85): New device: id=6, fd=56, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 03:07:16.970 I/InputReader(   85): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 03:07:16.970 I/InputReader(   85): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 03:07:16.970 I/InputReader(   85): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 03:07:16.970 I/InputReader(   85): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 03:07:16.970 I/InputReader(   85): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 03:07:17.210 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-26 03:07:17.210 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-26 03:07:17.210 D/BTWIFIMAC(   96): ===========BT MAC===========
04-26 03:07:17.210 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 03:07:17.210 D/BTWIFIMAC(   96): send_to_modem
04-26 03:07:17.210 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-26 03:07:17.210 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 03:07:17.210 D/SPRDENG (  154): AT > AT+SNVM=0,401
04-26 03:07:17.210 D/SPRDENG (  154): 41
04-26 03:07:17.210 D/SPRDENG (  154): 54
04-26 03:07:17.210 D/SPRDENG (  154): 2b
04-26 03:07:17.210 D/SPRDENG (  154): 53
04-26 03:07:17.210 D/SPRDENG (  154): 4e
04-26 03:07:17.210 D/SPRDENG (  154): 56
04-26 03:07:17.210 D/SPRDENG (  154): 4d
04-26 03:07:17.210 D/SPRDENG (  154): 3d
04-26 03:07:17.210 D/SPRDENG (  154): 30
04-26 03:07:17.210 D/SPRDENG (  154): 2c
04-26 03:07:17.210 D/SPRDENG (  154): 34
04-26 03:07:17.210 D/SPRDENG (  154): 30
04-26 03:07:17.210 D/SPRDENG (  154): 31
