--------- beginning of /dev/log/system
04-28 05:14:44.010 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-28 05:14:44.010 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 05:14:49.570 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-28 05:14:50.550 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-28 05:14:50.550 D/Sensors (   83): Lis3dhSensor: Control set 1
04-28 05:14:50.550 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-28 05:14:50.570 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-28 05:14:50.580 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-28 05:14:50.580 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-28 05:14:50.580 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-28 05:14:50.620 E/filemap (   83): mmap(0,4096) failed: No such device
04-28 05:14:50.630 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 05:14:50.630 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-28 05:14:50.630 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-28 05:14:50.630 D/BTWIFIMAC(   93): send_to_modem
04-28 05:14:50.630 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-28 05:14:50.630 D/SPRDENG (  163): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 05:14:50.630 D/SPRDENG (  163): AT > AT+SNVM=0,409
04-28 05:14:50.630 D/SPRDENG (  163): 41
04-28 05:14:50.630 D/SPRDENG (  163): 54
04-28 05:14:50.630 D/SPRDENG (  163): 2b
04-28 05:14:50.630 D/SPRDENG (  163): 53
04-28 05:14:50.630 D/SPRDENG (  163): 4e
04-28 05:14:50.630 D/SPRDENG (  163): 56
04-28 05:14:50.630 D/SPRDENG (  163): 4d
04-28 05:14:50.630 D/SPRDENG (  163): 3d
04-28 05:14:50.630 D/SPRDENG (  163): 30
04-28 05:14:50.630 D/SPRDENG (  163): 2c
04-28 05:14:50.630 D/SPRDENG (  163): 34
04-28 05:14:50.630 D/SPRDENG (  163): 30
04-28 05:14:50.630 D/SPRDENG (  163): 39
04-28 05:14:50.630 D/SPRDENG (  163): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 05:14:50.630 D/SPRDENG (  163): AT < 
04-28 05:14:50.630 D/SPRDENG (  163): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:14:50.630 D/SPRDENG (  163): 
04-28 05:14:50.630 D/SPRDENG (  163): OK
04-28 05:14:50.630 D/SPRDENG (  163): 
04-28 05:14:50.630 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-28 05:14:50.630 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-28 05:14:50.630 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 05:14:50.630 D/BTWIFIMAC(   93): 
04-28 05:14:50.630 D/BTWIFIMAC(   93): OK
04-28 05:14:50.630 D/BTWIFIMAC(   93): 
