--------- beginning of /dev/log/system
04-26 07:57:45.260 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 07:57:45.260 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 07:57:50.250 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 07:57:51.260 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 07:57:51.260 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 07:57:51.260 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 07:57:51.260 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 07:57:51.260 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 07:57:51.800 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-26 07:57:51.800 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-26 07:57:51.800 D/BTWIFIMAC(   94): ===========BT MAC===========
04-26 07:57:51.800 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 07:57:51.800 D/BTWIFIMAC(   94): send_to_modem
04-26 07:57:51.800 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-26 07:57:51.800 D/SPRDENG (  152): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 07:57:51.800 D/SPRDENG (  152): AT > AT+SNVM=0,401
04-26 07:57:51.800 D/SPRDENG (  152): 41
04-26 07:57:51.800 D/SPRDENG (  152): 54
04-26 07:57:51.800 D/SPRDENG (  152): 2b
04-26 07:57:51.800 D/SPRDENG (  152): 53
04-26 07:57:51.800 D/SPRDENG (  152): 4e
04-26 07:57:51.800 D/SPRDENG (  152): 56
04-26 07:57:51.800 D/SPRDENG (  152): 4d
04-26 07:57:51.800 D/SPRDENG (  152): 3d
04-26 07:57:51.800 D/SPRDENG (  152): 30
04-26 07:57:51.800 D/SPRDENG (  152): 2c
04-26 07:57:51.800 D/SPRDENG (  152): 34
04-26 07:57:51.800 D/SPRDENG (  152): 30
04-26 07:57:51.800 D/SPRDENG (  152): 31
04-26 07:57:51.800 D/SPRDENG (  152): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 07:57:51.810 D/SPRDENG (  152): AT < 
04-26 07:57:51.810 D/SPRDENG (  152): +SNVM: 8,FFFFFFFFFFFF2500
04-26 07:57:51.810 D/SPRDENG (  152): 
04-26 07:57:51.810 D/SPRDENG (  152): OK
04-26 07:57:51.810 D/SPRDENG (  152): 
04-26 07:57:51.810 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-26 07:57:51.810 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-26 07:57:51.810 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-26 07:57:51.810 D/BTWIFIMAC(   94): 
04-26 07:57:51.810 D/BTWIFIMAC(   94): OK
04-26 07:57:51.810 D/BTWIFIMAC(   94): 
