--------- beginning of /dev/log/system
04-27 11:24:29.610 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 11:24:29.680 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 11:24:34.600 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 11:24:35.620 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 11:24:35.620 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 11:24:35.620 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 11:24:35.620 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 11:24:35.620 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 11:24:35.980 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-27 11:24:35.980 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-27 11:24:35.980 D/BTWIFIMAC(   93): ===========BT MAC===========
04-27 11:24:35.980 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 11:24:35.980 D/BTWIFIMAC(   93): send_to_modem
04-27 11:24:35.980 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-27 11:24:35.980 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 11:24:35.980 D/SPRDENG (  156): AT > AT+SNVM=0,401
04-27 11:24:35.980 D/SPRDENG (  156): 41
04-27 11:24:35.980 D/SPRDENG (  156): 54
04-27 11:24:35.980 D/SPRDENG (  156): 2b
04-27 11:24:35.980 D/SPRDENG (  156): 53
04-27 11:24:35.980 D/SPRDENG (  156): 4e
04-27 11:24:35.980 D/SPRDENG (  156): 56
04-27 11:24:35.980 D/SPRDENG (  156): 4d
04-27 11:24:35.980 D/SPRDENG (  156): 3d
04-27 11:24:35.980 D/SPRDENG (  156): 30
04-27 11:24:35.980 D/SPRDENG (  156): 2c
04-27 11:24:35.980 D/SPRDENG (  156): 34
04-27 11:24:35.980 D/SPRDENG (  156): 30
04-27 11:24:35.980 D/SPRDENG (  156): 31
04-27 11:24:35.980 D/SPRDENG (  156): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 11:24:35.980 D/SPRDENG (  156): AT < 
04-27 11:24:35.980 D/SPRDENG (  156): +SNVM: 8,FFFFFFFFFFFF2500
04-27 11:24:35.980 D/SPRDENG (  156): 
04-27 11:24:35.980 D/SPRDENG (  156): OK
04-27 11:24:35.980 D/SPRDENG (  156): 
04-27 11:24:35.990 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-27 11:24:35.990 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
04-27 11:24:35.990 D/BTWIFIMAC(   93): +SNVM: 8,FFFFFFFFFFFF2500
04-27 11:24:35.990 D/BTWIFIMAC(   93): 
04-27 11:24:35.990 D/BTWIFIMAC(   93): OK
04-27 11:24:35.990 D/BTWIFIMAC(   93): 
04-27 11:24:36.090 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 11:24:36.090 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-27 11:24:36.090 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 11:24:36.090 D/BTWIFIMAC(   93): send_to_modem
04-27 11:24:36.090 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-27 11:24:36.090 D/SPRDENG (  156): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 11:24:36.090 D/SPRDENG (  156): AT > AT+SNVM=0,409
04-27 11:24:36.090 D/SPRDENG (  156): 41
04-27 11:24:36.090 D/SPRDENG (  156): 54
04-27 11:24:36.090 D/SPRDENG (  156): 2b
04-27 11:24:36.090 D/SPRDENG (  156): 53
04-27 11:24:36.090 D/SPRDENG (  156): 4e
04-27 11:24:36.090 D/SPRDENG (  156): 56
04-27 11:24:36.090 D/SPRDENG (  156): 4d
04-27 11:24:36.090 D/SPRDENG (  156): 3d
04-27 11:24:36.090 D/SPRDENG (  156): 30
04-27 11:24:36.090 D/SPRDENG (  156): 2c
04-27 11:24:36.090 D/SPRDENG (  156): 34
04-27 11:24:36.090 D/SPRDENG (  156): 30
04-27 11:24:36.090 D/SPRDENG (  156): 39
04-27 11:24:36.090 D/SPRDENG (  156): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 11:24:36.090 D/SPRDENG (  156): AT < 
04-27 11:24:36.090 D/SPRDENG (  156): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 11:24:36.090 D/SPRDENG (  156): 
04-27 11:24:36.090 D/SPRDENG (  156): OK
04-27 11:24:36.090 D/SPRDENG (  156): 
04-27 11:24:36.090 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-27 11:24:36.090 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 11:24:36.090 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 11:24:36.090 D/BTWIFIMAC(   93): 
04-27 11:24:36.090 D/BTWIFIMAC(   93): OK
04-27 11:24:36.090 D/BTWIFIMAC(   93): 
04-27 11:24:36.090 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 11:24:36.090 D/BTWIFIMAC(   93): bt_ok:0 wifi_ok:0 
04-27 11:24:36.090 D/BTWIFIMAC(   93): +mac_rand+
04-27 11:24:36.090 D/BTWIFIMAC(   93): mac_rand: /data/rand_mac.txt exists
04-27 11:24:36.090 D/BTWIFIMAC(   93): mac_rand: read /data/rand_mac.txt 00:c3:87:02:74:d3;00:b2:8b:a3:d0:dd
04-27 11:24:36.090 D/BTWIFIMAC(   93): mac_rand: read btmac=00:c3:87:02:74:d3, wifimac=00:b2:8b:a3:d0:dd
