--------- beginning of /dev/log/system
04-28 16:58:26.470 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-28 16:58:26.470 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 16:58:31.290 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-28 16:58:32.930 D/pskey_bt(  325): get_one_item(data) = 0x37007a
04-28 16:58:32.930 D/pskey_bt(  325): get_next_u32: here:37007a
04-28 16:58:32.930 D/pskey_bt(  325): char:3, 3
04-28 16:58:32.930 D/pskey_bt(  325): char:5, 5
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:3, 3
04-28 16:58:32.930 D/pskey_bt(  325): char:6, 6
04-28 16:58:32.930 D/pskey_bt(  325): get_one_item(data) = 0x350036
04-28 16:58:32.930 D/pskey_bt(  325): get_next_u32: here:350036
04-28 16:58:32.930 D/pskey_bt(  325): char:2, 2
04-28 16:58:32.930 D/pskey_bt(  325): char:9, 9
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:3, 3
04-28 16:58:32.930 D/pskey_bt(  325): char:4, 4
04-28 16:58:32.930 D/pskey_bt(  325): get_one_item(data) = 0x290034
04-28 16:58:32.930 D/pskey_bt(  325): get_next_u32: here:290034
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:A, A
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:2, 2
04-28 16:58:32.930 D/pskey_bt(  325): char:8, 8
04-28 16:58:32.930 D/pskey_bt(  325): get_one_item(data) = 0xa0028
04-28 16:58:32.930 D/pskey_bt(  325): get_next_u32: here:a0028
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:6, 6
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:0, 0
04-28 16:58:32.930 D/pskey_bt(  325): char:9, 9
04-28 16:58:32.930 D/pskey_bt(  325): get_one_item(data) = 0x60009
