--------- beginning of /dev/log/system
04-28 04:26:31.130 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-28 04:26:31.130 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 04:26:36.680 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-28 04:26:37.630 D/Sensors (   83): activate handle=3; drv=1
04-28 04:26:37.630 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-28 04:26:37.630 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
04-28 04:26:37.640 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-28 04:26:37.650 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-28 04:26:37.650 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-28 04:26:37.650 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-28 04:26:37.650 D/Sensors (   83): activate handle=4; drv=1
04-28 04:26:37.650 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-28 04:26:37.650 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-28 04:26:37.650 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-28 04:26:37.650 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-28 04:26:37.650 D/Sensors (   83): activate handle=0; drv=0
04-28 04:26:37.650 D/Sensors (   83): Lis3dhSensor: Control set 1
04-28 04:26:37.650 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-28 04:26:37.670 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-28 04:26:37.670 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-28 04:26:37.670 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-28 04:26:37.670 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-28 04:26:37.680 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-28 04:26:37.680 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-28 04:26:37.680 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-28 04:26:37.680 D/BTWIFIMAC(   93): send_to_modem
04-28 04:26:37.680 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-28 04:26:37.680 D/SPRDENG (  153): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 04:26:37.680 D/SPRDENG (  153): AT > AT+SNVM=0,409
04-28 04:26:37.680 D/SPRDENG (  153): 41
04-28 04:26:37.680 D/SPRDENG (  153): 54
04-28 04:26:37.680 D/SPRDENG (  153): 2b
04-28 04:26:37.680 D/SPRDENG (  153): 53
04-28 04:26:37.680 D/SPRDENG (  153): 4e
04-28 04:26:37.680 D/SPRDENG (  153): 56
04-28 04:26:37.680 D/SPRDENG (  153): 4d
04-28 04:26:37.680 D/SPRDENG (  153): 3d
04-28 04:26:37.680 D/SPRDENG (  153): 30
04-28 04:26:37.680 D/SPRDENG (  153): 2c
04-28 04:26:37.680 D/SPRDENG (  153): 34
04-28 04:26:37.680 D/SPRDENG (  153): 30
04-28 04:26:37.680 D/SPRDENG (  153): 39
04-28 04:26:37.680 D/SPRDENG (  153): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 04:26:37.680 D/SPRDENG (  153): AT < 
04-28 04:26:37.680 D/SPRDENG (  153): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 04:26:37.680 D/SPRDENG (  153): 
04-28 04:26:37.680 D/SPRDENG (  153): OK
04-28 04:26:37.680 D/SPRDENG (  153): 
04-28 04:26:37.680 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-28 04:26:37.680 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-28 04:26:37.680 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-28 04:26:37.680 D/BTWIFIMAC(   93): 
04-28 04:26:37.680 D/BTWIFIMAC(   93): OK
04-28 04:26:37.680 D/BTWIFIMAC(   93): 
04-28 04:26:37.680 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
