--------- beginning of /dev/log/system
04-27 20:24:30.530 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 20:24:30.530 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 20:24:35.360 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 20:24:36.360 I/EventHub(   84): New device: id=6, fd=57, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-27 20:24:36.370 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 20:24:36.370 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 20:24:36.370 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 20:24:36.370 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 20:24:36.370 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 20:24:36.820 D/BTWIFIMAC(   94): read_btwifimac_from_modem
04-27 20:24:36.820 D/BTWIFIMAC(   94): read_btwifimac_from_modem modem_fd=7
04-27 20:24:36.820 D/BTWIFIMAC(   94): ===========BT MAC===========
04-27 20:24:36.820 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 20:24:36.820 D/BTWIFIMAC(   94): send_to_modem
04-27 20:24:36.820 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-27 20:24:36.820 D/SPRDENG (  152): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 20:24:36.820 D/SPRDENG (  152): AT > AT+SNVM=0,401
04-27 20:24:36.820 D/SPRDENG (  152): 41
04-27 20:24:36.820 D/SPRDENG (  152): 54
04-27 20:24:36.820 D/SPRDENG (  152): 2b
04-27 20:24:36.820 D/SPRDENG (  152): 53
04-27 20:24:36.820 D/SPRDENG (  152): 4e
04-27 20:24:36.820 D/SPRDENG (  152): 56
04-27 20:24:36.820 D/SPRDENG (  152): 4d
04-27 20:24:36.820 D/SPRDENG (  152): 3d
04-27 20:24:36.820 D/SPRDENG (  152): 30
04-27 20:24:36.820 D/SPRDENG (  152): 2c
04-27 20:24:36.820 D/SPRDENG (  152): 34
04-27 20:24:36.820 D/SPRDENG (  152): 30
04-27 20:24:36.820 D/SPRDENG (  152): 31
04-27 20:24:36.820 D/SPRDENG (  152): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 20:24:36.820 D/SPRDENG (  152): AT < 
04-27 20:24:36.820 D/SPRDENG (  152): +SNVM: 8,FFFFFFFFFFFF2500
04-27 20:24:36.820 D/SPRDENG (  152): 
04-27 20:24:36.820 D/SPRDENG (  152): OK
04-27 20:24:36.820 D/SPRDENG (  152): 
04-27 20:24:36.820 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-27 20:24:36.820 D/BTWIFIMAC(   94): read_btwifimac_from_modem: BT timeout=35, response=
04-27 20:24:36.820 D/BTWIFIMAC(   94): +SNVM: 8,FFFFFFFFFFFF2500
04-27 20:24:36.820 D/BTWIFIMAC(   94): 
04-27 20:24:36.820 D/BTWIFIMAC(   94): OK
04-27 20:24:36.820 D/BTWIFIMAC(   94): 
04-27 20:24:36.930 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 20:24:36.930 D/BTWIFIMAC(   94): ===========WIFI MAC===========
04-27 20:24:36.930 D/BTWIFIMAC(   94): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 20:24:36.930 D/BTWIFIMAC(   94): send_to_modem
04-27 20:24:36.930 D/BTWIFIMAC(   94): recv_from_modem: Waiting modem response ... fd=7
04-27 20:24:36.930 D/SPRDENG (  152): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 20:24:36.930 D/SPRDENG (  152): AT > AT+SNVM=0,409
04-27 20:24:36.930 D/SPRDENG (  152): 41
04-27 20:24:36.930 D/SPRDENG (  152): 54
04-27 20:24:36.930 D/SPRDENG (  152): 2b
04-27 20:24:36.930 D/SPRDENG (  152): 53
04-27 20:24:36.930 D/SPRDENG (  152): 4e
04-27 20:24:36.930 D/SPRDENG (  152): 56
04-27 20:24:36.930 D/SPRDENG (  152): 4d
04-27 20:24:36.930 D/SPRDENG (  152): 3d
04-27 20:24:36.930 D/SPRDENG (  152): 30
04-27 20:24:36.930 D/SPRDENG (  152): 2c
04-27 20:24:36.930 D/SPRDENG (  152): 34
04-27 20:24:36.930 D/SPRDENG (  152): 30
04-27 20:24:36.930 D/SPRDENG (  152): 39
04-27 20:24:36.930 D/SPRDENG (  152): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 20:24:36.930 D/SPRDENG (  152): AT < 
04-27 20:24:36.930 D/SPRDENG (  152): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 20:24:36.930 D/SPRDENG (  152): 
04-27 20:24:36.930 D/SPRDENG (  152): OK
04-27 20:24:36.930 D/SPRDENG (  152): 
04-27 20:24:36.930 D/BTWIFIMAC(   94): recv_from_modem: Receive 1 Modem Response
04-27 20:24:36.930 D/BTWIFIMAC(   94): read_btwifimac_from_modem: WIFI timeout=60, response=
04-27 20:24:36.930 D/BTWIFIMAC(   94): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-27 20:24:36.930 D/BTWIFIMAC(   94): 
04-27 20:24:36.930 D/BTWIFIMAC(   94): OK
04-27 20:24:36.930 D/BTWIFIMAC(   94): 
04-27 20:24:36.930 D/BTWIFIMAC(   94): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 20:24:36.930 D/BTWIFIMAC(   94): bt_ok:0 wifi_ok:0 
04-27 20:24:36.930 D/BTWIFIMAC(   94): +mac_rand+
04-27 20:24:36.930 D/BTWIFIMAC(   94): mac_rand: /data/rand_mac.txt exists
04-27 20:24:36.930 D/BTWIFIMAC(   94): mac_rand: read /data/rand_mac.txt 00:c3:87:02:74:d3;00:b2:8b:a3:d0:dd
04-27 20:24:36.930 D/BTWIFIMAC(   94): mac_rand: read btmac=00:c3:87:02:74:d3, wifimac=00:b2:8b:a3:d0:dd
04-27 20:24:36.930 D/BTWIFIMAC(   94): property ro.mac.wifi=00:b2:8b:a3:d0:dd, ro.mac.bluetooth=00:c3:87:02:74:d3
04-27 20:24:36.930 D/BTWIFIMAC(   94): write_mac2file: mac=00:b2:8b:a3:d0:dd, fd[/data/wifimac.txt]=9
04-27 20:24:36.930 D/BTWIFIMAC(   94): write_mac2file: mac=00:c3:87:02:74:d3, fd[/data/btmac.txt]=9
04-27 20:24:36.940 D/BTWIFIMAC(   94): begin to run  trout_genpskey
04-27 20:24:36.940 D/BTWIFIMAC(   94): run trout_genpskey, ret=0
04-27 20:24:36.950 D/pskey_bt(  327): set BT mac
