--------- beginning of /dev/log/system
04-26 06:14:45.990 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 06:14:46.030 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 06:14:50.960 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 06:14:51.950 I/EventHub(   83): New device: id=6, fd=56, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 06:14:51.960 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 06:14:51.960 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 06:14:51.960 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 06:14:51.960 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 06:14:51.960 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 06:14:52.370 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 06:14:52.370 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 06:14:52.370 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 06:14:52.370 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 06:14:52.370 D/BTWIFIMAC(   93): send_to_modem
04-26 06:14:52.370 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 06:14:52.370 D/SPRDENG (  169): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 06:14:52.370 D/SPRDENG (  169): AT > AT+SNVM=0,401
04-26 06:14:52.370 D/SPRDENG (  169): 41
04-26 06:14:52.370 D/SPRDENG (  169): 54
04-26 06:14:52.370 D/SPRDENG (  169): 2b
04-26 06:14:52.370 D/SPRDENG (  169): 53
04-26 06:14:52.370 D/SPRDENG (  169): 4e
04-26 06:14:52.370 D/SPRDENG (  169): 56
04-26 06:14:52.370 D/SPRDENG (  169): 4d
04-26 06:14:52.370 D/SPRDENG (  169): 3d
04-26 06:14:52.370 D/SPRDENG (  169): 30
04-26 06:14:52.370 D/SPRDENG (  169): 2c
04-26 06:14:52.370 D/SPRDENG (  169): 34
04-26 06:14:52.370 D/SPRDENG (  169): 30
04-26 06:14:52.370 D/SPRDENG (  169): 31
04-26 06:14:52.370 D/SPRDENG (  169): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 06:14:52.370 D/SPRDENG (  169): AT < 
04-26 06:14:52.370 D/SPRDENG (  169): +SNVM: 8,FFFFFFFFFFFF2500
04-26 06:14:52.370 D/SPRDENG (  169): 
04-26 06:14:52.370 D/SPRDENG (  169): OK
04-26 06:14:52.370 D/SPRDENG (  169): 
04-26 06:14:52.370 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 06:14:52.370 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
04-26 06:14:52.370 D/BTWIFIMAC(   93): +SNVM: 8,FFFFFFFFFFFF2500
04-26 06:14:52.370 D/BTWIFIMAC(   93): 
04-26 06:14:52.370 D/BTWIFIMAC(   93): OK
04-26 06:14:52.370 D/BTWIFIMAC(   93): 
04-26 06:14:52.470 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 06:14:52.470 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-26 06:14:52.470 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 06:14:52.470 D/BTWIFIMAC(   93): send_to_modem
04-26 06:14:52.470 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 06:14:52.470 D/SPRDENG (  169): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 06:14:52.470 D/SPRDENG (  169): AT > AT+SNVM=0,409
04-26 06:14:52.470 D/SPRDENG (  169): 41
04-26 06:14:52.470 D/SPRDENG (  169): 54
04-26 06:14:52.470 D/SPRDENG (  169): 2b
04-26 06:14:52.470 D/SPRDENG (  169): 53
04-26 06:14:52.470 D/SPRDENG (  169): 4e
04-26 06:14:52.470 D/SPRDENG (  169): 56
04-26 06:14:52.470 D/SPRDENG (  169): 4d
04-26 06:14:52.470 D/SPRDENG (  169): 3d
04-26 06:14:52.470 D/SPRDENG (  169): 30
04-26 06:14:52.470 D/SPRDENG (  169): 2c
04-26 06:14:52.470 D/SPRDENG (  169): 34
04-26 06:14:52.470 D/SPRDENG (  169): 30
04-26 06:14:52.470 D/SPRDENG (  169): 39
04-26 06:14:52.470 D/SPRDENG (  169): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 06:14:52.470 D/SPRDENG (  169): AT < 
