--------- beginning of /dev/log/system
04-28 08:32:35.050 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-28 08:32:35.190 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-28 08:32:40.590 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-28 08:32:41.560 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-28 08:32:41.560 D/SPRDENG (  149): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-28 08:32:41.560 D/SPRDENG (  149): AT > AT+SNVM=0,401
04-28 08:32:41.560 D/SPRDENG (  149): 41
04-28 08:32:41.560 D/SPRDENG (  149): 54
04-28 08:32:41.560 D/SPRDENG (  149): 2b
04-28 08:32:41.560 D/SPRDENG (  149): 53
04-28 08:32:41.560 D/SPRDENG (  149): 4e
04-28 08:32:41.560 D/SPRDENG (  149): 56
04-28 08:32:41.560 D/SPRDENG (  149): 4d
04-28 08:32:41.560 D/SPRDENG (  149): 3d
04-28 08:32:41.560 D/SPRDENG (  149): 30
04-28 08:32:41.560 D/SPRDENG (  149): 2c
04-28 08:32:41.560 D/SPRDENG (  149): 34
04-28 08:32:41.560 D/SPRDENG (  149): 30
04-28 08:32:41.560 D/SPRDENG (  149): 31
04-28 08:32:41.560 D/SPRDENG (  149): eng_modem2server: use SIM1 /dev/CHNPTY13
04-28 08:32:41.570 D/SPRDENG (  149): AT < 
04-28 08:32:41.570 D/SPRDENG (  149): +SNVM: 8,FFFFFFFFFFFF2500
04-28 08:32:41.570 D/SPRDENG (  149): 
04-28 08:32:41.570 D/SPRDENG (  149): OK
04-28 08:32:41.570 D/SPRDENG (  149): 
04-28 08:32:41.570 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-28 08:32:41.570 D/BTWIFIMAC(   96): read_btwifimac_from_modem: BT timeout=35, response=
04-28 08:32:41.570 D/BTWIFIMAC(   96): +SNVM: 8,FFFFFFFFFFFF2500
04-28 08:32:41.570 D/BTWIFIMAC(   96): 
04-28 08:32:41.570 D/BTWIFIMAC(   96): OK
04-28 08:32:41.570 D/BTWIFIMAC(   96): 
04-28 08:32:41.600 E/filemap (   83): mmap(0,4096) failed: No such device
04-28 08:32:41.620 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-28 08:32:41.620 I/EventHub(   83): New device: id=6, fd=56, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-28 08:32:41.630 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-28 08:32:41.630 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-28 08:32:41.630 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-28 08:32:41.630 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
