--------- beginning of /dev/log/system
04-26 07:40:38.180 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 07:40:38.180 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 07:40:43.230 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 07:40:44.180 W/EventHub(   84): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 07:40:44.180 I/EventHub(   84): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 07:40:44.180 D/EventHub(   84): No input device configuration file found for device 'rohm_proximity'.
04-26 07:40:44.220 E/filemap (   84): mmap(0,4096) failed: No such device
04-26 07:40:44.230 W/EventHub(   84): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 07:40:44.230 I/EventHub(   84): New device: id=6, fd=58, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 07:40:44.240 I/InputReader(   84): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 07:40:44.240 I/InputReader(   84): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 07:40:44.240 I/InputReader(   84): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 07:40:44.240 I/InputReader(   84): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 07:40:44.240 I/InputReader(   84): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 07:40:44.690 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-26 07:40:44.690 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-26 07:40:44.690 D/BTWIFIMAC(   96): ===========BT MAC===========
04-26 07:40:44.690 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 07:40:44.690 D/BTWIFIMAC(   96): send_to_modem
04-26 07:40:44.690 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-26 07:40:44.690 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 07:40:44.690 D/SPRDENG (  160): AT > AT+SNVM=0,401
04-26 07:40:44.690 D/SPRDENG (  160): 41
04-26 07:40:44.690 D/SPRDENG (  160): 54
04-26 07:40:44.690 D/SPRDENG (  160): 2b
04-26 07:40:44.690 D/SPRDENG (  160): 53
04-26 07:40:44.690 D/SPRDENG (  160): 4e
04-26 07:40:44.690 D/SPRDENG (  160): 56
04-26 07:40:44.690 D/SPRDENG (  160): 4d
04-26 07:40:44.690 D/SPRDENG (  160): 3d
04-26 07:40:44.690 D/SPRDENG (  160): 30
04-26 07:40:44.690 D/SPRDENG (  160): 2c
04-26 07:40:44.690 D/SPRDENG (  160): 34
04-26 07:40:44.690 D/SPRDENG (  160): 30
04-26 07:40:44.690 D/SPRDENG (  160): 31
04-26 07:40:44.690 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 07:40:44.690 D/SPRDENG (  160): AT < 
04-26 07:40:44.690 D/SPRDENG (  160): +SNVM: 8,FFFFFFFFFFFF2500
04-26 07:40:44.690 D/SPRDENG (  160): 
04-26 07:40:44.690 D/SPRDENG (  160): OK
04-26 07:40:44.690 D/SPRDENG (  160): 
04-26 07:40:44.690 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-26 07:40:44.690 D/BTWIFIMAC(   96): read_btwifimac_from_modem: BT timeout=35, response=
04-26 07:40:44.690 D/BTWIFIMAC(   96): +SNVM: 8,FFFFFFFFFFFF2500
04-26 07:40:44.690 D/BTWIFIMAC(   96): 
04-26 07:40:44.690 D/BTWIFIMAC(   96): OK
04-26 07:40:44.690 D/BTWIFIMAC(   96): 
04-26 07:40:44.790 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 07:40:44.790 D/BTWIFIMAC(   96): ===========WIFI MAC===========
04-26 07:40:44.790 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 07:40:44.790 D/BTWIFIMAC(   96): send_to_modem
04-26 07:40:44.790 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-26 07:40:44.790 D/SPRDENG (  160): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 07:40:44.790 D/SPRDENG (  160): AT > AT+SNVM=0,409
04-26 07:40:44.790 D/SPRDENG (  160): 41
04-26 07:40:44.790 D/SPRDENG (  160): 54
04-26 07:40:44.790 D/SPRDENG (  160): 2b
04-26 07:40:44.790 D/SPRDENG (  160): 53
04-26 07:40:44.790 D/SPRDENG (  160): 4e
04-26 07:40:44.790 D/SPRDENG (  160): 56
04-26 07:40:44.790 D/SPRDENG (  160): 4d
04-26 07:40:44.790 D/SPRDENG (  160): 3d
04-26 07:40:44.790 D/SPRDENG (  160): 30
04-26 07:40:44.790 D/SPRDENG (  160): 2c
04-26 07:40:44.790 D/SPRDENG (  160): 34
04-26 07:40:44.790 D/SPRDENG (  160): 30
04-26 07:40:44.790 D/SPRDENG (  160): 39
04-26 07:40:44.790 D/SPRDENG (  160): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 07:40:44.800 D/SPRDENG (  160): AT < 
04-26 07:40:44.800 D/SPRDENG (  160): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 07:40:44.800 D/SPRDENG (  160): 
04-26 07:40:44.800 D/SPRDENG (  160): OK
04-26 07:40:44.800 D/SPRDENG (  160): 
04-26 07:40:44.800 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-26 07:40:44.800 D/BTWIFIMAC(   96): read_btwifimac_from_modem: WIFI timeout=60, response=
04-26 07:40:44.800 D/BTWIFIMAC(   96): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 07:40:44.800 D/BTWIFIMAC(   96): 
04-26 07:40:44.800 D/BTWIFIMAC(   96): OK
04-26 07:40:44.800 D/BTWIFIMAC(   96): 
04-26 07:40:44.800 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 07:40:44.800 D/BTWIFIMAC(   96): bt_ok:0 wifi_ok:0 
04-26 07:40:44.800 D/BTWIFIMAC(   96): +mac_rand+
04-26 07:40:44.800 D/BTWIFIMAC(   96): mac_rand: /data/rand_mac.txt exists
04-26 07:40:44.800 D/BTWIFIMAC(   96): mac_rand: read /data/rand_mac.txt 00:c3:87:02:74:d3;00:b2:8b:a3:d0:dd
04-26 07:40:44.800 D/BTWIFIMAC(   96): mac_rand: read btmac=00:c3:87:02:74:d3, wifimac=00:b2:8b:a3:d0:dd
