--------- beginning of /dev/log/system
04-27 13:03:44.290 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-27 13:03:44.290 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-27 13:03:49.160 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-27 13:03:50.180 I/EventHub(   83): New device: id=6, fd=56, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-27 13:03:50.190 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-27 13:03:50.190 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-27 13:03:50.190 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-27 13:03:50.190 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-27 13:03:50.190 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-27 13:03:50.650 D/BTWIFIMAC(   96): read_btwifimac_from_modem
04-27 13:03:50.650 D/BTWIFIMAC(   96): read_btwifimac_from_modem modem_fd=7
04-27 13:03:50.650 D/BTWIFIMAC(   96): ===========BT MAC===========
04-27 13:03:50.650 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-27 13:03:50.650 D/BTWIFIMAC(   96): send_to_modem
04-27 13:03:50.650 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-27 13:03:50.650 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 13:03:50.650 D/SPRDENG (  154): AT > AT+SNVM=0,401
04-27 13:03:50.650 D/SPRDENG (  154): 41
04-27 13:03:50.650 D/SPRDENG (  154): 54
04-27 13:03:50.650 D/SPRDENG (  154): 2b
04-27 13:03:50.650 D/SPRDENG (  154): 53
04-27 13:03:50.650 D/SPRDENG (  154): 4e
04-27 13:03:50.650 D/SPRDENG (  154): 56
04-27 13:03:50.650 D/SPRDENG (  154): 4d
04-27 13:03:50.650 D/SPRDENG (  154): 3d
04-27 13:03:50.650 D/SPRDENG (  154): 30
04-27 13:03:50.650 D/SPRDENG (  154): 2c
04-27 13:03:50.650 D/SPRDENG (  154): 34
04-27 13:03:50.650 D/SPRDENG (  154): 30
04-27 13:03:50.650 D/SPRDENG (  154): 31
04-27 13:03:50.650 D/SPRDENG (  154): eng_modem2server: use SIM1 /dev/CHNPTY13
04-27 13:03:50.650 D/SPRDENG (  154): AT < 
04-27 13:03:50.650 D/SPRDENG (  154): +SNVM: 8,FFFFFFFFFFFF2500
04-27 13:03:50.650 D/SPRDENG (  154): 
04-27 13:03:50.650 D/SPRDENG (  154): OK
04-27 13:03:50.650 D/SPRDENG (  154): 
04-27 13:03:50.650 D/BTWIFIMAC(   96): recv_from_modem: Receive 1 Modem Response
04-27 13:03:50.650 D/BTWIFIMAC(   96): read_btwifimac_from_modem: BT timeout=35, response=
04-27 13:03:50.650 D/BTWIFIMAC(   96): +SNVM: 8,FFFFFFFFFFFF2500
04-27 13:03:50.650 D/BTWIFIMAC(   96): 
04-27 13:03:50.650 D/BTWIFIMAC(   96): OK
04-27 13:03:50.650 D/BTWIFIMAC(   96): 
04-27 13:03:50.750 D/BTWIFIMAC(   96): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-27 13:03:50.750 D/BTWIFIMAC(   96): ===========WIFI MAC===========
04-27 13:03:50.750 D/BTWIFIMAC(   96): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-27 13:03:50.750 D/BTWIFIMAC(   96): send_to_modem
04-27 13:03:50.750 D/BTWIFIMAC(   96): recv_from_modem: Waiting modem response ... fd=7
04-27 13:03:50.750 D/SPRDENG (  154): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-27 13:03:50.750 D/SPRDENG (  154): AT > AT+SNVM=0,409
04-27 13:03:50.750 D/SPRDENG (  154): 41
04-27 13:03:50.750 D/SPRDENG (  154): 54
04-27 13:03:50.750 D/SPRDENG (  154): 2b
04-27 13:03:50.750 D/SPRDENG (  154): 53
