--------- beginning of /dev/log/system
04-26 23:44:51.710 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 23:44:51.840 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 23:44:56.950 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 23:44:58.430 D/pskey_bt(  326): char:3, 3
04-26 23:44:58.430 D/pskey_bt(  326): char:5, 5
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:3, 3
04-26 23:44:58.430 D/pskey_bt(  326): char:6, 6
04-26 23:44:58.430 D/pskey_bt(  326): get_one_item(data) = 0x350036
04-26 23:44:58.430 D/pskey_bt(  326): get_next_u32: here:350036
04-26 23:44:58.430 D/pskey_bt(  326): char:2, 2
04-26 23:44:58.430 D/pskey_bt(  326): char:9, 9
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:3, 3
04-26 23:44:58.430 D/pskey_bt(  326): char:4, 4
04-26 23:44:58.430 D/pskey_bt(  326): get_one_item(data) = 0x290034
04-26 23:44:58.430 D/pskey_bt(  326): get_next_u32: here:290034
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:A, A
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:2, 2
04-26 23:44:58.430 D/pskey_bt(  326): char:8, 8
04-26 23:44:58.430 D/pskey_bt(  326): get_one_item(data) = 0xa0028
04-26 23:44:58.430 D/pskey_bt(  326): get_next_u32: here:a0028
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
04-26 23:44:58.430 D/pskey_bt(  326): char:6, 6
04-26 23:44:58.430 D/pskey_bt(  326): char:0, 0
