--------- beginning of /dev/log/main
04-27 06:40:34.613 I/SprdSimpleOMXComponent(   88): useBuffer, push buffer, buffer=0xa1aea0,header=0xa1b110, pBuffer=0x4114b800
04-27 06:40:34.613 I/SprdSimpleOMXComponent(   88): useBuffer, push buffer, buffer=0xa1aea8,header=0xa1b288, pBuffer=0x4114dc00
04-27 06:40:34.843 I/Gecko   (   83): 
04-27 06:40:34.843 I/Gecko   (   83): ###!!! [Parent][MessageChannel] Error: Channel error: cannot send/recv
04-27 06:40:34.843 I/Gecko   (   83): 
04-27 06:40:34.893 I/GeckoDump(   83): Crash reporter : Can't fetch app.reportCrashes. Exception: [Exception... "Component returned failure code: 0x8000ffff (NS_ERROR_UNEXPECTED) [nsIPrefBranch.getBoolPref]"  nsresult: "0x8000ffff (NS_ERROR_UNEXPECTED)"  location: "JS frame :: chrome://browser/content/shell.js :: shell_reportCrash :: line 7"  data: no]
04-27 06:40:34.893 I/Gecko   (   83): [Parent 83] WARNING: waitpid failed pid:2271 errno:10: file ../../../gecko/ipc/chromium/src/base/process_util_posix.cc, line 254
04-27 06:40:35.033 I/Gecko   (   83): 1398606035041	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {16d2bf75-3f9d-4e9b-9046-62e5b1b654d1}, {16d2bf75-3f9d-4e9b-9046-62e5b1b654d1}
04-27 06:40:35.153 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb40, header: 0xa0f580, iRefCount: 0
04-27 06:40:35.153 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae90, header: 0xa1ae28, iRefCount: 0
04-27 06:40:35.153 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d070, header: 0xa0d5f8, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a060, header: 0xa19fe8, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d000, header: 0xa0f2a0, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d668, header: 0xa0f080, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f0, header: 0xa0f190, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb48, header: 0xa0fdd8, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb50, header: 0xa10530, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae98, header: 0xa1af98, iRefCount: 0
04-27 06:40:35.163 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d078, header: 0xa0fad8, iRefCount: 0
04-27 06:40:35.173 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea0, header: 0xa1b110, iRefCount: 0
04-27 06:40:35.173 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a068, header: 0xa1a168, iRefCount: 0
04-27 06:40:35.173 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d080, header: 0xa10218, iRefCount: 0
04-27 06:40:35.173 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d008, header: 0xa0f9c8, iRefCount: 0
04-27 06:40:35.183 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d670, header: 0xa0f7a8, iRefCount: 0
04-27 06:40:35.183 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d678, header: 0xa0fee8, iRefCount: 0
04-27 06:40:35.203 I/Gecko   (   83): 1398606035210	Marionette	INFO	sendToClient: {"from":"0","value":"app://{040210db-3974-4aed-b49e-c3c8a907e519}/index.htm"}, {b9026565-7ae9-46de-b08d-9c0834a71aac}, {b9026565-7ae9-46de-b08d-9c0834a71aac}
04-27 06:40:35.233 I/Gecko   (   83): 1398606035236	Marionette	DEBUG	Got request: execute, data: {"to":"0","sessionId":"3-b2g","name":"executeScript","parameters":{"specialPowers":false,"scriptTimeout":null,"newSandbox":true,"args":[],"filename":"app_checker.py","script":"return window.document.readyState;","line":191}}, id: {c285729c-823c-42ff-aacf-86d1f1bf92b6}
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a070, header: 0xa1a2e0, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d680, header: 0xa10640, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f8, header: 0xa0f8b8, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb58, header: 0xa11868, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb40, header: 0xa0f580, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea8, header: 0xa1b288, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f600, header: 0xa0fff8, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f608, header: 0xa10750, iRefCount: 0
04-27 06:40:35.233 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a078, header: 0xa1a458, iRefCount: 0
04-27 06:40:35.243 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d088, header: 0xa0ecb8, iRefCount: 0
04-27 06:40:35.243 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d010, header: 0xa10108, iRefCount: 0
04-27 06:40:35.243 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d018, header: 0xa10a70, iRefCount: 0
04-27 06:40:35.253 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb48, header: 0xa0fdd8, iRefCount: 0
04-27 06:40:35.263 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb50, header: 0xa10530, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae90, header: 0xa1ae28, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae98, header: 0xa1af98, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea0, header: 0xa1b110, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea8, header: 0xa1b288, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d000, header: 0xa0f2a0, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d008, header: 0xa0f9c8, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d010, header: 0xa10108, iRefCount: 0
04-27 06:40:35.273 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d018, header: 0xa10a70, iRefCount: 0
04-27 06:40:35.283 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a060, header: 0xa19fe8, iRefCount: 0
04-27 06:40:35.283 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a068, header: 0xa1a168, iRefCount: 0
