--------- beginning of /dev/log/system
04-26 03:21:26.890 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 03:21:26.890 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 03:21:31.940 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 03:21:33.400 D/BTWIFIMAC(   96): begin to run  trout_genpskey
04-26 03:21:33.400 D/BTWIFIMAC(   96): run trout_genpskey, ret=0
04-26 03:21:33.450 D/pskey_bt(  327): set BT mac
04-26 03:21:33.450 D/pskey_bt(  327): main, bt_mac from nv:
04-26 03:21:33.450 D/pskey_bt(  327): get_pskey_from_file
04-26 03:21:33.460 D/pskey_bt(  327): open bt pskey structure file fd=7
04-26 03:21:33.460 D/pskey_bt(  327): buf from pskey file:2048
04-26 03:21:33.460 D/pskey_bt(  327): parser_pskey_info
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x0
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u8: here:0
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u8: here:1
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u8: here:1
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u8: here:1
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): char:8, 8
04-26 03:21:33.460 D/pskey_bt(  327): char:C, C
04-26 03:21:33.460 D/pskey_bt(  327): char:B, B
04-26 03:21:33.460 D/pskey_bt(  327): char:A, A
04-26 03:21:33.460 D/pskey_bt(  327): char:8, 8
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x18cba80
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u32: here:18cba80
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): char:f, f
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x1f00
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u32: here:1f00
04-26 03:21:33.460 D/pskey_bt(  327): char:1, 1
04-26 03:21:33.460 D/pskey_bt(  327): char:E, E
04-26 03:21:33.460 D/pskey_bt(  327): get_one_item(data) = 0x1e
04-26 03:21:33.460 D/pskey_bt(  327): get_next_u32: here:1e
04-26 03:21:33.460 D/pskey_bt(  327): char:7, 7
04-26 03:21:33.460 D/pskey_bt(  327): char:B, B
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): char:0, 0
04-26 03:21:33.460 D/pskey_bt(  327): char:7, 7
