--------- beginning of /dev/log/system
04-26 13:18:44.990 I/Vold    (   77): Vold 2.1 (the revenge) firing up
04-26 13:18:44.990 D/Vold    (   77): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 13:18:50.030 D/VoldCmdListener(   77): volume list
--------- beginning of /dev/log/main
04-26 13:18:50.970 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 13:18:51.010 E/filemap (   83): mmap(0,4096) failed: No such device
04-26 13:18:51.020 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 13:18:51.020 I/EventHub(   83): New device: id=6, fd=56, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 13:18:51.030 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 13:18:51.030 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 13:18:51.030 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 13:18:51.030 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
04-26 13:18:51.030 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
04-26 13:18:51.430 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 13:18:51.430 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 13:18:51.430 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 13:18:51.430 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 13:18:51.430 D/BTWIFIMAC(   93): send_to_modem
04-26 13:18:51.430 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 13:18:51.430 D/SPRDENG (  162): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 13:18:51.430 D/SPRDENG (  162): AT > AT+SNVM=0,401
04-26 13:18:51.430 D/SPRDENG (  162): 41
04-26 13:18:51.430 D/SPRDENG (  162): 54
04-26 13:18:51.430 D/SPRDENG (  162): 2b
04-26 13:18:51.430 D/SPRDENG (  162): 53
04-26 13:18:51.430 D/SPRDENG (  162): 4e
04-26 13:18:51.430 D/SPRDENG (  162): 56
04-26 13:18:51.430 D/SPRDENG (  162): 4d
04-26 13:18:51.430 D/SPRDENG (  162): 3d
04-26 13:18:51.430 D/SPRDENG (  162): 30
04-26 13:18:51.430 D/SPRDENG (  162): 2c
04-26 13:18:51.430 D/SPRDENG (  162): 34
04-26 13:18:51.430 D/SPRDENG (  162): 30
04-26 13:18:51.430 D/SPRDENG (  162): 31
04-26 13:18:51.430 D/SPRDENG (  162): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 13:18:51.430 D/SPRDENG (  162): AT < 
04-26 13:18:51.430 D/SPRDENG (  162): +SNVM: 8,FFFFFFFFFFFF2500
04-26 13:18:51.430 D/SPRDENG (  162): 
04-26 13:18:51.430 D/SPRDENG (  162): OK
04-26 13:18:51.430 D/SPRDENG (  162): 
04-26 13:18:51.430 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 13:18:51.430 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
