--------- beginning of /dev/log/system
04-26 11:09:36.690 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 11:09:36.690 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 11:09:42.050 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 11:09:43.100 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 11:09:43.100 D/Sensors (   83): activate handle=4; drv=1
04-26 11:09:43.100 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 11:09:43.110 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 11:09:43.110 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 11:09:43.110 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-26 11:09:43.110 D/Sensors (   83): activate handle=0; drv=0
04-26 11:09:43.110 I/EventHub(   83): New device: id=2, fd=48, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 11:09:43.110 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-26 11:09:43.110 D/Sensors (   83): Lis3dhSensor: Control set 1
04-26 11:09:43.110 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-26 11:09:43.130 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-26 11:09:43.140 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 11:09:43.140 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 11:09:43.140 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 11:09:43.190 E/filemap (   83): mmap(0,4096) failed: No such device
04-26 11:09:43.200 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 11:09:43.200 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 11:09:43.200 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 11:09:43.200 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 11:09:43.200 D/BTWIFIMAC(   93): send_to_modem
04-26 11:09:43.200 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 11:09:43.200 D/SPRDENG (  152): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 11:09:43.200 D/SPRDENG (  152): AT > AT+SNVM=0,401
04-26 11:09:43.200 D/SPRDENG (  152): 41
04-26 11:09:43.200 D/SPRDENG (  152): 54
04-26 11:09:43.200 D/SPRDENG (  152): 2b
04-26 11:09:43.200 D/SPRDENG (  152): 53
04-26 11:09:43.200 D/SPRDENG (  152): 4e
04-26 11:09:43.200 D/SPRDENG (  152): 56
04-26 11:09:43.200 D/SPRDENG (  152): 4d
04-26 11:09:43.200 D/SPRDENG (  152): 3d
