--------- beginning of /dev/log/system
04-26 22:24:54.310 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 22:24:54.310 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 22:24:59.440 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 22:25:00.490 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 22:25:00.490 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 22:25:00.490 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 22:25:00.490 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-26 22:25:00.490 D/Sensors (   83): activate handle=0; drv=0
04-26 22:25:00.490 D/Sensors (   83): Lis3dhSensor: Control set 1
04-26 22:25:00.490 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-26 22:25:00.510 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-26 22:25:00.520 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 22:25:00.520 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 22:25:00.520 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 22:25:00.560 E/filemap (   83): mmap(0,4096) failed: No such device
04-26 22:25:00.570 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 22:25:00.570 I/EventHub(   83): New device: id=6, fd=57, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 22:25:00.580 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
04-26 22:25:00.580 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
04-26 22:25:00.580 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
04-26 22:25:00.580 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
