--------- beginning of /dev/log/system
04-26 01:17:17.280 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 01:17:17.340 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 01:17:22.550 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 01:17:23.590 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-26 01:17:23.600 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 01:17:23.600 I/EventHub(   83): New device: id=3, fd=51, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 01:17:23.600 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 01:17:23.660 E/Sensors (   83): couldn't find 'accelerometer' input device
04-26 01:17:23.660 E/Sensors (   83): Couldn't open /dev/lis3dh_acc (No such file or directory)
04-26 01:17:23.660 D/Sensors (   83): activate handle=0; drv=0
04-26 01:17:23.660 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
04-26 01:17:23.660 D/Sensors (   83): activate handle=3; drv=1
04-26 01:17:23.660 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-26 01:17:23.660 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-26 01:17:23.660 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 01:17:23.660 D/Sensors (   83): activate handle=4; drv=1
04-26 01:17:23.660 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 01:17:23.660 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 01:17:23.660 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 01:17:23.660 E/filemap (   83): mmap(0,4096) failed: No such device
04-26 01:17:23.670 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
04-26 01:17:23.670 D/Sensors (   83): activate handle=0; drv=0
04-26 01:17:23.670 E/Sensors (   83): Lis3dhSensor: IOCTL failed (Bad file number)
04-26 01:17:23.680 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 01:17:23.690 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 01:17:23.690 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 01:17:23.690 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 01:17:23.690 D/BTWIFIMAC(   93): send_to_modem
04-26 01:17:23.690 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 01:17:23.690 D/SPRDENG (  155): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
