--------- beginning of /dev/log/system
05-22 03:02:40.150 I/Vold    (   78): Vold 2.1 (the revenge) firing up
05-22 03:02:40.150 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
05-22 03:02:45.290 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
05-22 03:02:46.170 I/Gecko   (   83): 1400752966174	Marionette	INFO	Device detected is sp6821a_gonk
05-22 03:02:46.170 I/Gecko   (   83): 1400752966177	Marionette	INFO	Listening on port 2828
05-22 03:02:46.170 I/Gecko   (   83): 
05-22 03:02:46.170 I/Gecko   (   83): 1400752966177	Marionette	INFO	Marionette server ready
05-22 03:02:46.260 D/EventHub(   83): No input device configuration file found for device 'light sensor'.
05-22 03:02:46.320 D/Sensors (   83): activate handle=0; drv=0
05-22 03:02:46.320 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
05-22 03:02:46.320 D/Sensors (   83): activate handle=3; drv=1
05-22 03:02:46.320 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
05-22 03:02:46.320 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
05-22 03:02:46.340 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
05-22 03:02:46.340 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
05-22 03:02:46.340 D/Sensors (   83): activate handle=4; drv=1
05-22 03:02:46.340 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
05-22 03:02:46.340 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
05-22 03:02:46.340 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
05-22 03:02:46.340 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
05-22 03:02:46.340 I/EventHub(   83): New device: id=2, fd=51, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
05-22 03:02:46.340 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
05-22 03:02:46.340 D/Sensors (   83): activate handle=0; drv=0
05-22 03:02:46.340 D/Sensors (   83): Lis3dhSensor: Control set 1
05-22 03:02:46.340 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
05-22 03:02:46.360 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
05-22 03:02:46.370 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
05-22 03:02:46.370 I/EventHub(   83): New device: id=4, fd=56, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
05-22 03:02:46.370 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
05-22 03:02:46.410 E/filemap (   83): mmap(0,4096) failed: No such device
05-22 03:02:46.420 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event1: Function not implemented
05-22 03:02:46.420 I/EventHub(   83): New device: id=6, fd=58, path='/dev/input/event1', name='ms-msg21xx', classes=0x15, configuration='/system/usr/idc/ms-msg21xx.idc', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
05-22 03:02:46.430 I/InputReader(   83): Device added: id=-1, name='Virtual', sources=0x00000301
05-22 03:02:46.430 I/InputReader(   83): Device reconfigured: id=6, name='ms-msg21xx', size 320x480, orientation 0, mode 1, display id 0
05-22 03:02:46.430 I/InputReader(   83): Device added: id=6, name='ms-msg21xx', sources=0x00001103
05-22 03:02:46.430 I/InputReader(   83): Device added: id=0, name='sprd-keypad', sources=0x00000101
05-22 03:02:46.430 I/InputReader(   83): Device added: id=2, name='headset-keyboard', sources=0x00000101
05-22 03:02:46.520 D/BTWIFIMAC(   93): read_btwifimac_from_modem
05-22 03:02:46.520 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
05-22 03:02:46.520 D/BTWIFIMAC(   93): ===========BT MAC===========
05-22 03:02:46.520 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
05-22 03:02:46.520 D/BTWIFIMAC(   93): send_to_modem
05-22 03:02:46.520 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
