--------- beginning of /dev/log/system
04-26 22:34:51.310 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 22:34:51.310 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 22:34:56.470 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 22:34:57.340 I/Gecko   (   83): 1398576897347	Marionette	INFO	Marionette server ready
04-26 22:34:57.430 D/EventHub(   83): No input device configuration file found for device 'light sensor'.
04-26 22:34:57.490 D/Sensors (   83): activate handle=0; drv=0
04-26 22:34:57.490 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
04-26 22:34:57.490 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
04-26 22:34:57.490 D/Sensors (   83): activate handle=3; drv=1
04-26 22:34:57.490 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-26 22:34:57.510 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-26 22:34:57.510 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 22:34:57.510 D/Sensors (   83): activate handle=4; drv=1
04-26 22:34:57.510 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 22:34:57.510 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 22:34:57.510 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 22:34:57.510 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-26 22:34:57.510 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 22:34:57.510 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-26 22:34:57.510 D/Sensors (   83): activate handle=0; drv=0
