--------- beginning of /dev/log/system
04-12 12:48:02.700 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-12 12:48:02.700 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-12 12:48:07.980 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-12 12:48:09.350 D/pskey_bt(  332): parser_pskey_info
04-12 12:48:09.350 D/pskey_bt(  332): char:0, 0
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x0
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u8: here:0
04-12 12:48:09.350 D/pskey_bt(  332): char:1, 1
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x1
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u8: here:1
04-12 12:48:09.350 D/pskey_bt(  332): char:1, 1
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x1
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u8: here:1
04-12 12:48:09.350 D/pskey_bt(  332): char:1, 1
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x1
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u8: here:1
04-12 12:48:09.350 D/pskey_bt(  332): char:0, 0
04-12 12:48:09.350 D/pskey_bt(  332): char:1, 1
04-12 12:48:09.350 D/pskey_bt(  332): char:8, 8
04-12 12:48:09.350 D/pskey_bt(  332): char:C, C
04-12 12:48:09.350 D/pskey_bt(  332): char:B, B
04-12 12:48:09.350 D/pskey_bt(  332): char:A, A
04-12 12:48:09.350 D/pskey_bt(  332): char:8, 8
04-12 12:48:09.350 D/pskey_bt(  332): char:0, 0
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x18cba80
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u32: here:18cba80
04-12 12:48:09.350 D/pskey_bt(  332): char:1, 1
04-12 12:48:09.350 D/pskey_bt(  332): char:f, f
04-12 12:48:09.350 D/pskey_bt(  332): char:0, 0
04-12 12:48:09.350 D/pskey_bt(  332): char:0, 0
04-12 12:48:09.350 D/pskey_bt(  332): get_one_item(data) = 0x1f00
04-12 12:48:09.350 D/pskey_bt(  332): get_next_u32: here:1f00
