--------- beginning of /dev/log/system
04-25 22:11:27.730 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 22:11:27.770 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 22:11:32.920 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-25 22:11:34.240 D/SPRDENG (  155): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 22:11:34.240 D/SPRDENG (  155): AT < 
04-25 22:11:34.240 D/SPRDENG (  155): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 22:11:34.240 D/SPRDENG (  155): 
04-25 22:11:34.240 D/SPRDENG (  155): OK
04-25 22:11:34.240 D/SPRDENG (  155): 
04-25 22:11:34.240 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-25 22:11:34.240 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-25 22:11:34.240 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 22:11:34.240 D/BTWIFIMAC(   93): 
04-25 22:11:34.240 D/BTWIFIMAC(   93): OK
04-25 22:11:34.240 D/BTWIFIMAC(   93): 
04-25 22:11:34.240 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 22:11:34.240 D/BTWIFIMAC(   93): bt_ok:0 wifi_ok:0 
04-25 22:11:34.240 D/BTWIFIMAC(   93): +mac_rand+
04-25 22:11:34.240 D/BTWIFIMAC(   93): mac_rand: /data/rand_mac.txt exists
04-25 22:11:34.240 D/BTWIFIMAC(   93): mac_rand: read /data/rand_mac.txt 00:7a:7a:b0:1e:04;00:3f:8e:cc:98:8e
04-25 22:11:34.240 D/BTWIFIMAC(   93): mac_rand: read btmac=00:7a:7a:b0:1e:04, wifimac=00:3f:8e:cc:98:8e
04-25 22:11:34.240 D/BTWIFIMAC(   93): property ro.mac.wifi=00:3f:8e:cc:98:8e, ro.mac.bluetooth=00:7a:7a:b0:1e:04
04-25 22:11:34.240 D/BTWIFIMAC(   93): write_mac2file: mac=00:3f:8e:cc:98:8e, fd[/data/wifimac.txt]=9
