--------- beginning of /dev/log/system
04-26 04:14:07.360 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 04:14:07.410 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 04:14:12.570 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 04:14:13.590 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
04-26 04:14:13.590 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
04-26 04:14:13.590 D/Sensors (   83): activate handle=3; drv=1
04-26 04:14:13.590 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-26 04:14:13.590 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 04:14:13.600 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 04:14:13.600 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 04:14:13.600 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 04:14:13.600 D/BTWIFIMAC(   93): send_to_modem
04-26 04:14:13.600 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 04:14:13.600 D/SPRDENG (  163): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 04:14:13.600 D/SPRDENG (  163): AT > AT+SNVM=0,401
04-26 04:14:13.600 D/SPRDENG (  163): 41
04-26 04:14:13.600 D/SPRDENG (  163): 54
04-26 04:14:13.600 D/SPRDENG (  163): 2b
04-26 04:14:13.600 D/SPRDENG (  163): 53
04-26 04:14:13.600 D/SPRDENG (  163): 4e
04-26 04:14:13.600 D/SPRDENG (  163): 56
04-26 04:14:13.600 D/SPRDENG (  163): 4d
04-26 04:14:13.600 D/SPRDENG (  163): 3d
04-26 04:14:13.600 D/SPRDENG (  163): 30
04-26 04:14:13.600 D/SPRDENG (  163): 2c
04-26 04:14:13.600 D/SPRDENG (  163): 34
04-26 04:14:13.600 D/SPRDENG (  163): 30
04-26 04:14:13.600 D/SPRDENG (  163): 31
04-26 04:14:13.600 D/SPRDENG (  163): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 04:14:13.600 D/SPRDENG (  163): AT < 
04-26 04:14:13.600 D/SPRDENG (  163): +SNVM: 8,FFFFFFFFFFFF2500
04-26 04:14:13.600 D/SPRDENG (  163): 
04-26 04:14:13.600 D/SPRDENG (  163): OK
04-26 04:14:13.600 D/SPRDENG (  163): 
04-26 04:14:13.600 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 04:14:13.600 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
04-26 04:14:13.600 D/BTWIFIMAC(   93): +SNVM: 8,FFFFFFFFFFFF2500
04-26 04:14:13.600 D/BTWIFIMAC(   93): 
04-26 04:14:13.600 D/BTWIFIMAC(   93): OK
04-26 04:14:13.600 D/BTWIFIMAC(   93): 
04-26 04:14:13.610 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-26 04:14:13.610 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 04:14:13.610 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-26 04:14:13.610 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 04:14:13.610 D/Sensors (   83): activate handle=4; drv=1
04-26 04:14:13.610 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 04:14:13.610 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 04:14:13.610 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
