--------- beginning of /dev/log/system
08-09 07:32:32.030 I/Vold    (   78): Vold 2.1 (the revenge) firing up
08-09 07:32:32.060 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
08-09 07:32:37.310 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x1
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:1
08-09 07:32:38.780 D/pskey_bt(  327): char:1, 1
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x1
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:1
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:1, 1
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): char:C, C
08-09 07:32:38.780 D/pskey_bt(  327): char:B, B
08-09 07:32:38.780 D/pskey_bt(  327): char:A, A
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x18cba80
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:18cba80
08-09 07:32:38.780 D/pskey_bt(  327): char:1, 1
08-09 07:32:38.780 D/pskey_bt(  327): char:f, f
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x1f00
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:1f00
08-09 07:32:38.780 D/pskey_bt(  327): char:1, 1
08-09 07:32:38.780 D/pskey_bt(  327): char:E, E
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x1e
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:1e
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:B, B
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:C, C
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x7b007c
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:7b007c
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:A, A
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x37007a
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:37007a
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:5, 5
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:6, 6
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x350036
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:350036
08-09 07:32:38.780 D/pskey_bt(  327): char:2, 2
08-09 07:32:38.780 D/pskey_bt(  327): char:9, 9
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:4, 4
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x290034
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:290034
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:A, A
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:2, 2
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xa0028
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:a0028
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:6, 6
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:9, 9
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x60009
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:60009
08-09 07:32:38.780 D/pskey_bt(  327): end of buff, str=},
08-09 07:32:38.780 D/pskey_bt(  327): {0x0B,0x0A,0x09, 0x08, 0x07},
08-09 07:32:38.780 D/pskey_bt(  327): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
08-09 07:32:38.780 D/pskey_bt(  327):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
08-09 07:32:38.780 D/pskey_bt(  327): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
08-09 07:32:38.780 D/pskey_bt(  327): 0,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 5,
08-09 07:32:38.780 D/pskey_bt(  327): 0xE,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000000,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000150,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000150,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000154,
08-09 07:32:38.780 D/pskey_bt(  327): 0xFFFFFFFF,
08-09 07:32:38.780 D/pskey_bt(  327): 0x100,
08-09 07:32:38.780 D/pskey_bt(  327): 0xA0,
08-09 07:32:38.780 D/pskey_bt(  327): 0xDC,
08-09 07:32:38.780 D/pskey_bt(  327): 0x20,
08-09 07:32:38.780 D/pskey_bt(  327): 0x55,
08-09 07:32:38.780 D/pskey_bt(  327): 0x64,
08-09 07:32:38.780 D/pskey_bt(  327): 0,
08-09 07:32:38.780 D/pskey_bt(  327): 0x8,
08-09 07:32:38.780 D/pskey_bt(  327): 0x13C,
08-09 07:32:38.780 D/pskey_bt(  327): 0x2,
08-09 07:32:38.780 D/pskey_bt(  327): 0xD704,
08-09 07:32:38.780 D/pskey_bt(  327): 0x88888888,
08-09 07:32:38.780 D/pskey_bt(  327): 0x6,
08-09 07:32:38.780 D/pskey_bt(  327): 0x0,
08-09 07:32:38.780 D/pskey_bt(  327): {0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:B, B
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xb
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:b
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:A, A
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xa
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:a
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:9, 9
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x9
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:9
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x8
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:8
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x7
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u32: here:7
08-09 07:32:38.780 D/pskey_bt(  327): end of buff, str=},
08-09 07:32:38.780 D/pskey_bt(  327): {0xFF, 0xFF, 0x8D, 0xFE, 0x9B, 0x3F, 0x79, 0x83,
08-09 07:32:38.780 D/pskey_bt(  327):   0xFF, 0xA7, 0xFF, 0x7F, 0x00, 0xE0, 0xF7, 0x3E},
08-09 07:32:38.780 D/pskey_bt(  327): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
08-09 07:32:38.780 D/pskey_bt(  327): 0,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 5,
08-09 07:32:38.780 D/pskey_bt(  327): 0xE,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 1,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000000,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000150,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000150,
08-09 07:32:38.780 D/pskey_bt(  327): 0x50000154,
08-09 07:32:38.780 D/pskey_bt(  327): 0xFFFFFFFF,
08-09 07:32:38.780 D/pskey_bt(  327): 0x100,
08-09 07:32:38.780 D/pskey_bt(  327): 0xA0,
08-09 07:32:38.780 D/pskey_bt(  327): 0xDC,
08-09 07:32:38.780 D/pskey_bt(  327): 0x20,
08-09 07:32:38.780 D/pskey_bt(  327): 0x55,
08-09 07:32:38.780 D/pskey_bt(  327): 0x64,
08-09 07:32:38.780 D/pskey_bt(  327): 0,
08-09 07:32:38.780 D/pskey_bt(  327): 0x8,
08-09 07:32:38.780 D/pskey_bt(  327): 0x13C,
08-09 07:32:38.780 D/pskey_bt(  327): 0x2,
08-09 07:32:38.780 D/pskey_bt(  327): 0xD704,
08-09 07:32:38.780 D/pskey_bt(  327): 0x88888888,
08-09 07:32:38.780 D/pskey_bt(  327): 0x6,
08-09 07:32:38.780 D/pskey_bt(  327): 0x0,
08-09 07:32:38.780 D/pskey_bt(  327): {0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xff
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:ff
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xff
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:ff
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): char:D, D
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x8d
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:8d
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:E, E
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xfe
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:fe
08-09 07:32:38.780 D/pskey_bt(  327): char:9, 9
08-09 07:32:38.780 D/pskey_bt(  327): char:B, B
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x9b
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:9b
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x3f
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:3f
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:9, 9
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x79
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:79
08-09 07:32:38.780 D/pskey_bt(  327): char:8, 8
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x83
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:83
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xff
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:ff
08-09 07:32:38.780 D/pskey_bt(  327): char:A, A
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xa7
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:a7
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xff
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:ff
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x7f
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:7f
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x0
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:0
08-09 07:32:38.780 D/pskey_bt(  327): char:E, E
08-09 07:32:38.780 D/pskey_bt(  327): char:0, 0
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xe0
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:e0
08-09 07:32:38.780 D/pskey_bt(  327): char:F, F
08-09 07:32:38.780 D/pskey_bt(  327): char:7, 7
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0xf7
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:f7
08-09 07:32:38.780 D/pskey_bt(  327): char:3, 3
08-09 07:32:38.780 D/pskey_bt(  327): char:E, E
08-09 07:32:38.780 D/pskey_bt(  327): get_one_item(data) = 0x3e
08-09 07:32:38.780 D/pskey_bt(  327): get_next_u8: here:3e
08-09 07:32:38.780 D/pskey_bt(  327): end of buff, str=},
08-09 07:32:38.780 D/pskey_bt(  327): {0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF},
