--------- beginning of /dev/log/system
04-25 22:25:23.400 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-25 22:25:23.400 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-25 22:25:28.550 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-25 22:25:29.910 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 22:25:29.910 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-25 22:25:29.910 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-25 22:25:29.910 D/BTWIFIMAC(   93): send_to_modem
04-25 22:25:29.910 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-25 22:25:29.910 D/SPRDENG (  166): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-25 22:25:29.910 D/SPRDENG (  166): AT > AT+SNVM=0,409
04-25 22:25:29.910 D/SPRDENG (  166): 41
04-25 22:25:29.910 D/SPRDENG (  166): 54
04-25 22:25:29.910 D/SPRDENG (  166): 2b
04-25 22:25:29.910 D/SPRDENG (  166): 53
04-25 22:25:29.910 D/SPRDENG (  166): 4e
04-25 22:25:29.910 D/SPRDENG (  166): 56
04-25 22:25:29.910 D/SPRDENG (  166): 4d
04-25 22:25:29.910 D/SPRDENG (  166): 3d
04-25 22:25:29.910 D/SPRDENG (  166): 30
04-25 22:25:29.910 D/SPRDENG (  166): 2c
04-25 22:25:29.910 D/SPRDENG (  166): 34
04-25 22:25:29.910 D/SPRDENG (  166): 30
04-25 22:25:29.910 D/SPRDENG (  166): 39
04-25 22:25:29.910 D/SPRDENG (  166): eng_modem2server: use SIM1 /dev/CHNPTY13
04-25 22:25:29.910 D/SPRDENG (  166): AT < 
04-25 22:25:29.910 D/SPRDENG (  166): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 22:25:29.910 D/SPRDENG (  166): 
04-25 22:25:29.910 D/SPRDENG (  166): OK
04-25 22:25:29.910 D/SPRDENG (  166): 
04-25 22:25:29.910 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-25 22:25:29.910 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-25 22:25:29.910 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-25 22:25:29.910 D/BTWIFIMAC(   93): 
04-25 22:25:29.910 D/BTWIFIMAC(   93): OK
04-25 22:25:29.910 D/BTWIFIMAC(   93): 
04-25 22:25:29.910 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-25 22:25:29.910 D/BTWIFIMAC(   93): bt_ok:0 wifi_ok:0 
04-25 22:25:29.910 D/BTWIFIMAC(   93): +mac_rand+
04-25 22:25:29.910 D/BTWIFIMAC(   93): mac_rand: /data/rand_mac.txt exists
04-25 22:25:29.910 D/BTWIFIMAC(   93): mac_rand: read /data/rand_mac.txt 00:7a:7a:b0:1e:04;00:3f:8e:cc:98:8e
04-25 22:25:29.910 D/BTWIFIMAC(   93): mac_rand: read btmac=00:7a:7a:b0:1e:04, wifimac=00:3f:8e:cc:98:8e
04-25 22:25:29.910 D/BTWIFIMAC(   93): property ro.mac.wifi=00:3f:8e:cc:98:8e, ro.mac.bluetooth=00:7a:7a:b0:1e:04
04-25 22:25:29.910 D/BTWIFIMAC(   93): write_mac2file: mac=00:3f:8e:cc:98:8e, fd[/data/wifimac.txt]=9
04-25 22:25:29.910 D/BTWIFIMAC(   93): write_mac2file: mac=00:7a:7a:b0:1e:04, fd[/data/btmac.txt]=9
04-25 22:25:29.920 D/BTWIFIMAC(   93): begin to run  trout_genpskey
04-25 22:25:29.920 D/BTWIFIMAC(   93): run trout_genpskey, ret=0
04-25 22:25:29.940 D/pskey_bt(  327): set BT mac
04-25 22:25:29.940 D/pskey_bt(  327): main, bt_mac from nv:
04-25 22:25:29.940 D/pskey_bt(  327): get_pskey_from_file
04-25 22:25:29.940 D/pskey_bt(  327): open bt pskey structure file fd=7
04-25 22:25:29.940 D/pskey_bt(  327): buf from pskey file:2048
04-25 22:25:29.940 D/pskey_bt(  327): parser_pskey_info
04-25 22:25:29.940 D/pskey_bt(  327): char:0, 0
04-25 22:25:29.940 D/pskey_bt(  327): get_one_item(data) = 0x0
04-25 22:25:29.940 D/pskey_bt(  327): get_next_u8: here:0
04-25 22:25:29.950 D/pskey_bt(  327): char:1, 1
04-25 22:25:29.950 D/pskey_bt(  327): get_one_item(data) = 0x1
04-25 22:25:29.950 D/pskey_bt(  327): get_next_u8: here:1
04-25 22:25:29.950 D/pskey_bt(  327): char:1, 1
04-25 22:25:29.950 D/pskey_bt(  327): get_one_item(data) = 0x1
04-25 22:25:29.950 D/pskey_bt(  327): get_next_u8: here:1
04-25 22:25:29.950 D/pskey_bt(  327): char:1, 1
