--------- beginning of /dev/log/main
05-22 02:45:13.652 I/Gecko   (   83): 1400751913670	Marionette	INFO	Switched to frame: {"frameValue":"{7cb31a47-258a-4a58-8dd1-9f790cfc4d90}"}
05-22 02:45:13.672 I/Gecko   (   83): 1400751913685	Marionette	INFO	trying remote frame 0
05-22 02:45:13.672 I/Gecko   (   83): 1400751913686	Marionette	INFO	trying remote frame 1
05-22 02:45:13.672 I/Gecko   (   83): 1400751913687	Marionette	INFO	trying remote frame 2
05-22 02:45:13.682 I/Gecko   (   83): 1400751913698	Marionette	INFO	frame-manager load script: [object ChromeMessageSender]
05-22 02:45:14.502 I/Gecko   (   83): 1400751914516	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {da42c5f8-32df-4886-909a-e16d30cb6641}, {da42c5f8-32df-4886-909a-e16d30cb6641}
05-22 02:45:14.702 I/Gecko   (   83): 1400751914720	Marionette	INFO	sendToClient: {"from":"0","value":[]}, {f85d48f4-4883-46c7-a611-2dc4fd01588a}, {f85d48f4-4883-46c7-a611-2dc4fd01588a}
05-22 02:45:14.752 I/Gecko   (   83): 1400751914766	Marionette	INFO	sendToClient: {"from":"0","value":"app://homescreen.gaiamobile.org/index.html#root"}, {4bb700fa-f5b6-49e0-80a6-bc50d3c464f5}, {4bb700fa-f5b6-49e0-80a6-bc50d3c464f5}
05-22 02:45:14.762 I/Gecko   (   83): 1400751914772	Marionette	DEBUG	Got request: switchToFrame, data: {"to":"0","sessionId":"3-b2g","name":"switchToFrame","parameters":{"id":null,"focus":true}}, id: {2106afa5-f34f-4780-9091-59b4ced9915a}
05-22 02:45:14.782 I/Gecko   (   83): 1400751914792	Marionette	INFO	Switched to frame: {"frameValue":null}
05-22 02:45:14.882 I/Gecko   (   83): 1400751914895	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {2106afa5-f34f-4780-9091-59b4ced9915a}, {2106afa5-f34f-4780-9091-59b4ced9915a}
05-22 02:45:14.892 I/Gecko   (   83): 1400751914901	Marionette	DEBUG	Got request: switchToFrame, data: {"to":"0","sessionId":"3-b2g","name":"switchToFrame","parameters":{"id":null,"focus":true}}, id: {477ea7e1-9446-4097-af5d-56ad8767fe48}
05-22 02:45:14.892 I/Gecko   (   83): 1400751914903	Marionette	INFO	Switched to frame: {"frameValue":null}
05-22 02:45:15.002 I/Gecko   (   83): 1400751915013	Marionette	INFO	sendToClient: {"from":"0","ok":true}, {477ea7e1-9446-4097-af5d-56ad8767fe48}, {477ea7e1-9446-4097-af5d-56ad8767fe48}
05-22 02:45:15.002 I/Gecko   (   83): 1400751915020	Marionette	DEBUG	Got request: executeWithCallback, data: {"to":"0","sessionId":"3-b2g","name":"executeAsyncScript","parameters":{"specialPowers":false,"scriptTimeout":30000,"newSandbox":true,"args":[],"filename":"app_checker.py","script":"GaiaApps.launchWithManifestURL('https://marketplace.firefox.com/app/6fff683f-31a8-4559-ba05-2e0d2b350432/manifest.webapp')","line":106}}, id: {1d3d5427-64fb-4bc2-b756-596974ea6c9a}
05-22 02:45:15.102 E/GeckoConsole(   83): Content JS LOG at dummy file:334 in GaiaApps.launch: launching app with name '})Gateway'
05-22 02:45:15.212 I/Gecko   (   83): [Parent 83] WARNING: waitpid failed pid:1077 errno:10: file ../../../gecko/ipc/chromium/src/base/process_util_posix.cc, line 254
05-22 02:45:15.212 I/Gecko   (   83): [Parent 83] WARNING: Failed to deliver SIGKILL to 1077!(3).: file ../../../gecko/ipc/chromium/src/chrome/common/process_watcher_posix_sigchld.cc, line 118
05-22 02:45:15.212 I/Gonk    (   83): Setting nice for pid 1157 to 18
05-22 02:45:15.222 I/Gonk    (   83): Changed nice for pid 1157 from 18 to 18.
05-22 02:45:15.222 I/Gecko   (   83): [Parent 83] WARNING: waitpid failed pid:1157 errno:10: file ../../../gecko/ipc/chromium/src/base/process_util_posix.cc, line 254
05-22 02:45:15.222 I/Gonk    (   83): Setting nice for pid 1157 to 1
05-22 02:45:15.232 I/Gonk    (   83): Changed nice for pid 1157 from 18 to 1.
05-22 02:45:15.472 D/Sensors (   83): activate handle=0; drv=0
05-22 02:45:15.482 D/Sensors (   83): Lis3dhSensor: Control set 1
05-22 02:45:15.482 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
05-22 02:45:15.592 I/Gonk    (   83): Setting nice for pid 1122 to 18
05-22 02:45:15.592 I/Gonk    (   83): Changed nice for pid 1122 from 1 to 18.
05-22 02:45:16.352 I/Gecko   ( 1157): ###################################### forms.js loaded
05-22 02:45:16.372 I/Gecko   ( 1157): ############################### browserElementPanning.js loaded
05-22 02:45:16.402 I/Gecko   ( 1157): ######################## BrowserElementChildPreload.js loaded
05-22 02:45:17.102 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'speak'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 80 column: 7 source: "  speak: none;"}]
05-22 02:45:17.102 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-osx-font-smoothing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 86 column: 25 source: "  -moz-osx-font-smoothing: grayscale;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 166 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 229 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'transition'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 281 column: 44 source: "  transition: background-color 200ms linear 0;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 321 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 323 column: 17 source: "  -moz-box-shadow: 0px 1px 0 rgba(0, 0, 0, 0.1), inset 0px 0px 1px rgba(255, 255, 255, 0.5);"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 351 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 365 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 390 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 421 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 423 column: 20 source: "  -moz-border-radius: 0.6em;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-background-size'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 429 column: 22 source: "  -moz-background-size: 18px 18px;"}]
