--------- beginning of /dev/log/system
04-26 01:50:40.340 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 01:50:40.340 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 01:50:45.580 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 01:50:46.460 I/Gecko   (   83): 1398502246471	Marionette	INFO	Marionette server ready
04-26 01:50:46.560 D/EventHub(   83): No input device configuration file found for device 'light sensor'.
04-26 01:50:46.580 D/BTWIFIMAC(   93): read_btwifimac_from_modem
04-26 01:50:46.580 D/BTWIFIMAC(   93): read_btwifimac_from_modem modem_fd=7
04-26 01:50:46.580 D/BTWIFIMAC(   93): ===========BT MAC===========
04-26 01:50:46.580 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,401
04-26 01:50:46.580 D/BTWIFIMAC(   93): send_to_modem
04-26 01:50:46.580 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 01:50:46.580 D/SPRDENG (  164): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 01:50:46.580 D/SPRDENG (  164): AT > AT+SNVM=0,401
04-26 01:50:46.580 D/SPRDENG (  164): 41
04-26 01:50:46.580 D/SPRDENG (  164): 54
04-26 01:50:46.580 D/SPRDENG (  164): 2b
04-26 01:50:46.580 D/SPRDENG (  164): 53
04-26 01:50:46.580 D/SPRDENG (  164): 4e
04-26 01:50:46.580 D/SPRDENG (  164): 56
04-26 01:50:46.580 D/SPRDENG (  164): 4d
04-26 01:50:46.580 D/SPRDENG (  164): 3d
04-26 01:50:46.580 D/SPRDENG (  164): 30
04-26 01:50:46.580 D/SPRDENG (  164): 2c
04-26 01:50:46.580 D/SPRDENG (  164): 34
04-26 01:50:46.580 D/SPRDENG (  164): 30
04-26 01:50:46.580 D/SPRDENG (  164): 31
04-26 01:50:46.580 D/SPRDENG (  164): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 01:50:46.580 D/SPRDENG (  164): AT < 
04-26 01:50:46.580 D/SPRDENG (  164): +SNVM: 8,FFFFFFFFFFFF2500
04-26 01:50:46.580 D/SPRDENG (  164): 
04-26 01:50:46.580 D/SPRDENG (  164): OK
04-26 01:50:46.580 D/SPRDENG (  164): 
04-26 01:50:46.580 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 01:50:46.580 D/BTWIFIMAC(   93): read_btwifimac_from_modem: BT timeout=35, response=
04-26 01:50:46.580 D/BTWIFIMAC(   93): +SNVM: 8,FFFFFFFFFFFF2500
04-26 01:50:46.580 D/BTWIFIMAC(   93): 
04-26 01:50:46.580 D/BTWIFIMAC(   93): OK
04-26 01:50:46.580 D/BTWIFIMAC(   93): 
04-26 01:50:46.620 D/Sensors (   83): activate handle=0; drv=0
04-26 01:50:46.620 D/Sensors (   83): Lis3dhSensor: mEnabled = 0
04-26 01:50:46.620 D/Sensors (   83): activate handle=3; drv=1
04-26 01:50:46.620 D/EventHub(   83): No input device configuration file found for device 'headset-keyboard'.
04-26 01:50:46.620 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=0; mEnabled=0
04-26 01:50:46.630 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event4: Function not implemented
04-26 01:50:46.640 D/Sensors (   83): taos ---Light::TAOS_IOCTL_ALS_OFF=== err=0
04-26 01:50:46.640 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=0; mEnabled=0
04-26 01:50:46.640 D/Sensors (   83): activate handle=4; drv=1
04-26 01:50:46.640 D/Sensors (   83): SensorTMD2771::setEnable=0= en=0; newState=0; what=1; mEnabled=0
04-26 01:50:46.640 D/Sensors (   83): taos ---Proximity::TAOS_IOCTL_PROX_OFF=== err=0
04-26 01:50:46.640 D/Sensors (   83): SensorTMD2771::setEnable=1= en=0; newState=0; what=1; mEnabled=0
04-26 01:50:46.640 D/Sensors (   83): activate handle=0; drv=0
04-26 01:50:46.640 I/EventHub(   83): New device: id=2, fd=50, path='/dev/input/event4', name='headset-keyboard', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 01:50:46.640 D/EventHub(   83): No input device configuration file found for device 'accelerometer'.
04-26 01:50:46.640 D/Sensors (   83): Lis3dhSensor: Control set 1
04-26 01:50:46.640 D/Sensors (   83): Lis3dhSensor: mEnabled = 1
04-26 01:50:46.660 D/EventHub(   83): No input device configuration file found for device 'sprd-keypad'.
04-26 01:50:46.660 W/EventHub(   83): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
04-26 01:50:46.660 I/EventHub(   83): New device: id=4, fd=55, path='/dev/input/event0', name='sprd-keypad', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/sprd-keypad.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=true, usingSuspendBlockIoctl=false, usingClockIoctl=false
04-26 01:50:46.660 D/EventHub(   83): No input device configuration file found for device 'rohm_proximity'.
04-26 01:50:46.690 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 01:50:46.690 D/BTWIFIMAC(   93): ===========WIFI MAC===========
04-26 01:50:46.690 D/BTWIFIMAC(   93): read_btwifimac_from_modem: send 39,1,AT+SNVM=0,409
04-26 01:50:46.690 D/BTWIFIMAC(   93): send_to_modem
04-26 01:50:46.690 D/BTWIFIMAC(   93): recv_from_modem: Waiting modem response ... fd=7
04-26 01:50:46.690 D/SPRDENG (  164): eng_servermodem_comm: use SIM1 /dev/CHNPTY13
04-26 01:50:46.690 D/SPRDENG (  164): AT > AT+SNVM=0,409
04-26 01:50:46.690 D/SPRDENG (  164): 41
04-26 01:50:46.690 D/SPRDENG (  164): 54
04-26 01:50:46.690 D/SPRDENG (  164): 2b
04-26 01:50:46.690 D/SPRDENG (  164): 53
04-26 01:50:46.690 D/SPRDENG (  164): 4e
04-26 01:50:46.690 D/SPRDENG (  164): 56
04-26 01:50:46.690 D/SPRDENG (  164): 4d
04-26 01:50:46.690 D/SPRDENG (  164): 3d
04-26 01:50:46.690 D/SPRDENG (  164): 30
04-26 01:50:46.690 D/SPRDENG (  164): 2c
04-26 01:50:46.690 D/SPRDENG (  164): 34
04-26 01:50:46.690 D/SPRDENG (  164): 30
04-26 01:50:46.690 D/SPRDENG (  164): 39
04-26 01:50:46.690 D/SPRDENG (  164): eng_modem2server: use SIM1 /dev/CHNPTY13
04-26 01:50:46.690 D/SPRDENG (  164): AT < 
04-26 01:50:46.690 D/SPRDENG (  164): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 01:50:46.690 D/SPRDENG (  164): 
04-26 01:50:46.690 D/SPRDENG (  164): OK
04-26 01:50:46.690 D/SPRDENG (  164): 
04-26 01:50:46.690 D/BTWIFIMAC(   93): recv_from_modem: Receive 1 Modem Response
04-26 01:50:46.690 D/BTWIFIMAC(   93): read_btwifimac_from_modem: WIFI timeout=60, response=
04-26 01:50:46.690 D/BTWIFIMAC(   93): +SNVM: 20,FFFFFFFFFFFF0000000000000000000000000000
04-26 01:50:46.690 D/BTWIFIMAC(   93): 
04-26 01:50:46.690 D/BTWIFIMAC(   93): OK
04-26 01:50:46.690 D/BTWIFIMAC(   93): 
04-26 01:50:46.690 D/BTWIFIMAC(   93): get_macaddress: mac address is FF:FF:FF:FF:FF:FF
04-26 01:50:46.690 D/BTWIFIMAC(   93): bt_ok:0 wifi_ok:0 
04-26 01:50:46.690 D/BTWIFIMAC(   93): +mac_rand+
04-26 01:50:46.690 D/BTWIFIMAC(   93): mac_rand: /data/rand_mac.txt exists
04-26 01:50:46.690 D/BTWIFIMAC(   93): mac_rand: read /data/rand_mac.txt 00:7a:7a:b0:1e:04;00:3f:8e:cc:98:8e
04-26 01:50:46.690 D/BTWIFIMAC(   93): mac_rand: read btmac=00:7a:7a:b0:1e:04, wifimac=00:3f:8e:cc:98:8e
04-26 01:50:46.690 D/BTWIFIMAC(   93): property ro.mac.wifi=00:3f:8e:cc:98:8e, ro.mac.bluetooth=00:7a:7a:b0:1e:04
04-26 01:50:46.690 D/BTWIFIMAC(   93): write_mac2file: mac=00:3f:8e:cc:98:8e, fd[/data/wifimac.txt]=9
04-26 01:50:46.700 D/BTWIFIMAC(   93): write_mac2file: mac=00:7a:7a:b0:1e:04, fd[/data/btmac.txt]=9
04-26 01:50:46.700 D/BTWIFIMAC(   93): begin to run  trout_genpskey
04-26 01:50:46.700 D/BTWIFIMAC(   93): run trout_genpskey, ret=0
04-26 01:50:46.710 E/filemap (   83): mmap(0,4096) failed: No such device
